predmetna	predmetni	Agpfsny
promjena	promjena	Ncfsn
potkrepljuje	potkrepljivati	Vmr3s
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
će	htjeti	Var3p
za	za	Sa
zaprimljene	zaprimiti	Agpmpay
Zahtjeve	zahtjev	Ncmpa
za	za	Sa
odobrenje	odobrenje	Ncnsa
promjena	promjena	Ncfpg
iz	iz	Sg
stavaka	stavak	Ncmpg
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
provjeriti	provjeriti	Vmn
uvjete	uvjet	Ncmpa
i	i	Cc
kriterije	kriterij	Ncmpa
prihvatljivosti	prihvatljivost	Ncfsg
sukladno	sukladno	Rgp
ovom	ovaj	Pd-msl
Pravilniku	Pravilnik	Npmsl
,	,	Z
donijeti	donijeti	Vmn
Odluku	odluka	Ncfsa
o	o	Sl
odobrenju	odobrenje	Ncnsl
promjena	promjena	Ncfpg
ili	ili	Cc
Odluku	odluka	Ncfsa
o	o	Sl
odbijanju	odbijanje	Ncnsl
promjena	promjena	Ncfpg
te	te	Cc
po	po	Sl
potrebi	potreba	Ncfsl
donijeti	donijeti	Vmn
izmjenu	izmjena	Ncfsa
Odluke	odluka	Ncfsg
o	o	Sl
dodjeli	dodjela	Ncfsl
sredstava	sredstvo	Ncnpg
i	i	Cc
Ugovora	ugovor	Ncmsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Izmjenom	izmjena	Ncfsi
Odluke	odluka	Ncfsg
o	o	Sl
dodjeli	dodjela	Ncfsl
sredstava	sredstvo	Ncnpg
iz	iz	Sg
stavka	stavak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ne	ne	Qz
može	moći	Vmr3s
se	sebe	Px--sa
dodijeliti	dodijeliti	Vmn
iznos	iznos	Ncmsn
potpore	potpora	Ncfsg
veći	velik	Agcmsny
od	od	Sg
iznosa	iznos	Ncmsg
potpore	potpora	Ncfsg
koji	koji	Pi-msn
je	biti	Var3s
već	već	Rgp
određen	odrediti	Appmsnn
