oštećen	oštetiti	Appmsnn
za	za	Sa
iznos	iznos	Ncmsan
od	od	Sg
99,00	99,00	Mdc
kuna	kuna	Ncfpg
.	.	Z

Također	također	Rgp
,	,	Z
osnovano	osnovati	Appnsny
tužitelj	tužitelj	Ncmsn
u	u	Sl
tijeku	tijek	Ncmsl
upravnog	upravan	Agpmsgy
spora	spor	Ncmsg
navodi	navoditi	Vmr3s
da	da	Cs
tuženik	tuženik	Ncmsn
uopće	uopće	Rgp
nije	biti	Var3s
odlučio	odlučiti	Vmp-sm
o	o	Sl
njegovom	njegov	Ps3msl
prigovoru	prigovor	Ncmsl
istaknutom	istaknuti	Appmsly
u	u	Sl
zahtjevu	zahtjev	Ncmsl
za	za	Sa
rješavanje	rješavanje	Ncnsa
spora	spor	Ncmsg
između	između	Sg
korisnika	korisnik	Ncmpg
i	i	Cc
operatera	operater	Ncmpg
,	,	Z
koji	koji	Pi-msn
se	sebe	Px--sa
tiče	ticati	Vmr3s
izmjene	izmjena	Ncfpa
Uvjeta	uvjet	Ncmpg
korištenja	korištenje	Ncnsg
Smart	smari	Agpfsgy
tarife	tarifa	Ncfsg
sa	sa	Si
Zimskom	zimski	Agpfsiy
opcijom	opcija	Ncfsi
za	za	Sa
korisnike	korisnik	Ncmpa
Tele2	Tele	Npmpg
bonova	bon	Ncmpg
.	.	Z

Naime	naime	Qo
,	,	Z
tuženik	tuženik	Ncmsn
je	biti	Var3s
u	u	Sl
podnesku	podnesak	Ncmsl
zaprimljenim	zaprimiti	Appnply
kod	kod	Sg
ovog	ovaj	Pd-msg
Suda	sud	Ncmsg
20.	20.	Mdo
listopada	listopad	Ncmsg
2014.	2014.	Mdo
na	na	Sa
listu	lista	Ncfsa
4	4	Mdc
naveo	navesti	Vmp-sm
,	,	Z
da	da	Cs
tužitelj	tužitelj	Ncmsn
uopće	uopće	Rgp
nije	biti	Var3s
spominjao	spominjati	Vmp-sm
u	u	Sl
svom	svoj	Px-msl
zahtjevu	zahtjev	Ncmsl
za	za	Sa
rješavanje	rješavanje	Ncnsa
spora	spor	Ncmsg
