omogućilo	omogućiti	Vmp-sn
učinkovitije	učinkovit	Agcnsay
planiranje	planiranje	Ncnsa
,	,	Z
organizacija	organizacija	Ncfsn
i	i	Cc
financiranje	financiranje	Ncnsa
bolničkog	bolnički	Agpmsgy
sustava	sustav	Ncmsg
,	,	Z
razvoj	razvoj	Ncmsn
bolničkih	bolnički	Agpfpgy
ustanova	ustanova	Ncfpg
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
zasnivat	zasnivati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
na	na	Sl
spomenutim	spomenuti	Agpfply
četirima	četiri	Ncfpl
regijama	regija	Ncfpl
zdravstvenog	zdravstven	Agpnsgy
planiranja	planiranje	Ncnsg
,	,	Z
a	a	Cc
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
gravitirajućim	gravitirajući	Agpnpiy
područjima	područje	Ncnpi
svojih	svoj	Px-mpg
kliničkih	klinički	Agpmpgy
bolničkih	bolnički	Agpmpgy
centara	centar	Ncmpg
(	(	Z
KBC	KBC	Npmsn
)	)	Z
:	:	Z
2	2	Mdc
KBC-a	kbc-	Ncmsg
u	u	Sl
Središnjoj	Središnja	Npfsl
i	i	Cc
sjevernoj	sjeverni	Agpfsly
regiji	regija	Ncfsl
(	(	Z
u	u	Sl
Zagrebu	Zagreb	Npmsl
)	)	Z
,	,	Z
1	1	Mdc
KBC	KBC	Npmsn
u	u	Sl
Istočnoj	istočni	Agpfsly
regiji	regija	Ncfsl
(	(	Z
u	u	Sl
Osijeku	osijek	Ncmsl
)	)	Z
,	,	Z
1	1	Mdc
KBC	KBC	Npmsn
u	u	Sl
Južnoj	južan	Agpfsly
regiji	regija	Ncfsl
(	(	Z
u	u	Sl
Splitu	Split	Npmsl
)	)	Z
i	i	Cc
1	1	Mdc
KBC	KBC	Npmsn
u	u	Sl
Zapadnoj	zapadni	Agpfsly
regiji	regija	Ncfsl
(	(	Z
u	u	Sl
Rijeci	Rijeka	Npfsl
)	)	Z
.	.	Z

Podjela	podjela	Ncfsn
regija	regija	Ncfsn
zdravstvenog	zdravstven	Agpnsgy
planiranja	planiranje	Ncnsg
operativna	operativan	Agpfsny
je	biti	Var3s
i	i	Qo
nema	nemati	Vmr3s
formalno-pravno	formalno-pravni	Agpnsny
značenje	značenje	Ncnsn
.	.	Z

Nacionalni	nacionalan	Agpmsny
plan	plan	Ncmsn
u	u	Sl
iznimnim	izniman	Agpmply
slučajevima	slučaj	Ncmpl
predviđa	predviđati	Vmr3s
i	i	Cc
funkcionalnu	funkcionalan	Agpfsay
integraciju	integracija	Ncfsa
bolnica	bolnica	Ncfpg
iz	iz	Sg
dviju	dva	Ncfpg
različitih	različit	Agpfpgy
regija	regija	Ncfpg
zdravstvenog	zdravstven	Agpnsgy
planiranja	planiranje	Ncnsg
.	.	Z

Detalji	detalj	Ncmpn
funkcionalne	funkcionalan	Agpfsgy
integracije	integracija	Ncfsg
bit	biti	Van
će	htjeti	Var3p
definirani	definirati	Appmpny
u	u	Sl
Nacionalnom	nacionalan	Agpmsly
registru	registar	Ncmsl
pružatelja	pružatelj	Ncmpg
zdravstvene	zdravstven	Agpfsgy
zaštite	zaštita	Ncfsg
za	za	Sa
2016.	2016.	Mdo
godinu	godina	Ncfsa
.	.	Z

Klinički	klinički	Agpmpny
bolnički	bolnički	Agpmpny
centri	centar	Ncmpn
u	u	Sl
regijama	regija	Ncfpl
planiranja	planiranje	Ncnsg
predstavljaju	predstavljati	Vmr3p
krovnu	krovni	Agpfsay
instituciju	institucija	Ncfsa
regije	regija	Ncfsg
.	.	Z

Sve	sav	Agpfpny
bolnice	bolnica	Ncfpn
na	na	Sl
sekundarnoj	sekundaran	Agpfsly
i	i	Cc
tercijarnoj	tercijaran	Agpfsly
razini	razina	Ncfsl
trebaju	trebati	Vmr3p
se	sebe	Px--sa
vertikalno	vertikalno	Rgp
povezati	povezati	Vmn
s	sa	Si
pripadajućim	pripadajući	Agpmpiy
regionalnim	regionalan	Agpmpiy
Kliničkim	klinički	Agpmpiy
bolničkim	bolnički	Agpmpiy
centrima	centar	Ncmpi
,	,	Z
neovisno	neovisno	Rgp
jesu	biti	Var3p
li	li	Qq
s	sa	Si
njima	oni	Pp3-pi
funkcionalno	funkcionalno	Rgp
integrirani	integrirati	Appmpny
ili	ili	Cc
ne	ne	Qz
;	;	Z
a	a	Cc
sve	sav	Agpnsny
u	u	Sl
cilju	cilj	Ncmsl
provođenja	provođenje	Ncnsg
dijagnostičko	dijagnostički	Agpnsny
terapijskih	terapijski	Agpmpgy
postupaka	postupak	Ncmpg
najviše	mnogo	Rgs
razine	razina	Ncfsg
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
najbolje	dobro	Rgs
iskoristio	iskoristiti	Vmp-sm
njihov	njihov	Ps3msan
klinički	klinički	Agpmsayn
i	i	Cc
znanstveno	znanstveno	Rgp
nastavni	nastavni	Agpmsny
potencijal	potencijal	Ncmsn
.	.	Z

Administrativne	administrativan	Agpfpny
granice	granica	Ncfpn
jedinica	jedinica	Ncfsn
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfsgy
)	)	Z
samouprave	samouprava	Ncfpn
nisu	biti	Var3p
ograničavajući	ograničavajući	Agpmsny
čimbenik	čimbenik	Ncmsn
u	u	Sl
funkcionalnoj	funkcionalan	Agpfsly
integraciji	integracija	Ncfsl
bolnica	bolnica	Ncfpg
budući	budući	Cs
da	da	Cs
bolnice	bolnica	Ncfpn
do	do	Sg
daljnjega	daljnji	Agpnsgy
ne	ne	Qz
mijenjaju	mijenjati	Vmr3p
svoj	svoj	Px-msan
formalno-pravni	formalno-pravni	Agpmsayn
oblik	oblik	Ncmsan
.	.	Z

S	sa	Si
postupnim	postupan	Agpnsiy
usklađivanjem	usklađivanje	Ncnsi
politika	politika	Ncfpg
i	i	Cc
praksa	praksa	Ncfsn
