makroregionalne	makroregionalan	Agpfsgy
suradnje	suradnja	Ncfsg
te	te	Cc
drugih	drugi	Mlompg
oblika	oblik	Ncmpg
regionalne	regionalan	Agpfsgy
suradnje	suradnja	Ncfsg
u	u	Sl
okviru	okvir	Ncmsl
politika	politika	Ncfsn
EU	E	Npmsg
;	;	Z
prati	pratiti	Vmr3s
pitanja	pitanje	Ncnpa
vezana	vezan	Agpnpay
uz	uz	Sa
EU	EU	Npmsan
fondove	fond	Ncmpa
,	,	Z
priprema	pripremati	Vmr3s
,	,	Z
nadzire	nadzirati	Vmr3s
i	i	Cc
odgovara	odgovarati	Vmr3s
za	za	Sa
izradu	izrada	Ncfsa
projekata	projekat	Ncmpg
koje	koji	Pi-nsn
kandidira	kandidirati	Vmr3s
Ministarstvo	ministarstvo	Ncnsa
u	u	Sl
područjima	područje	Ncnpl
iz	iz	Sg
nadležnosti	nadležnost	Ncfsg
Uprave	uprava	Ncfsg
za	za	Sa
europske	europski	Agpmpay
poslove	posao	Ncmpa
,	,	Z
te	te	Cc
obavlja	obavljati	Vmr3s
i	i	Cc
druge	drugi	Mlompa
poslove	posao	Ncmpa
iz	iz	Sg
svog	svoj	Px-msg
djelokruga	djelokrug	Ncmsg
.	.	Z

3.3.4.	3.3.4.	Mdo

Služba	služba	Ncfsn
za	za	Sa
potporu	potpora	Ncfsa
koordinacije	koordinacija	Ncfsg
europskih	europski	Agpmpgy
poslova	posao	Ncmpg

Članak	članak	Ncmsn
27.	27.	Mdo

Služba	služba	Ncfsn
za	za	Sa
potporu	potpora	Ncfsa
koordinacije	koordinacija	Ncfsg
europskih	europski	Agpmpgy
poslova	posao	Ncmpg
pruža	pružati	Vmr3s
stručnu	stručan	Agpfsay
,	,	Z
administrativnu	administrativan	Agpfsay
i	i	Cc
tehničku	tehnički	Agpfsay
podršku	podrška	Ncfsa
ostalim	ostali	Agpfpiy
nadležnim	nadležan	Agpfpiy
službama	služba	Ncfpi
u	u	Sl
poslovima	posao	Ncmpl
koordinacije	koordinacija	Ncfsg
EU	E	Npmsg
poslova	posao	Ncmpg
,	,	Z
a	a	Cc
posebice	posebice	Agpmpay
poslove	posao	Ncmpa
vezane	vezan	Agpmpay
uz	uz	Sa
operativni	operativan	Agpmsayn
rad	rad	Ncmsan
Međuresorne	međuresorni	Agpfsgy
radne	radni	Agpfsgy
skupine	skupina	Ncfsg
za	za	Sa
europske	europski	Agpmpay
poslove	posao	Ncmpa
;	;	Z
u	u	Sl
suradnji	suradnja	Ncfsl
s	sa	Si
drugim	drugi	Mlofpi
nadležnim	nadležan	Agpfpiy
službama	služba	Ncfpi
koordinira	koordinirati	Vmr3s
izradu	izrada	Ncfsa
priprema	priprema	Ncfpg
i	i	Cc
drugih	drugi	Mlompg
materijala	materijal	Ncmpg
za	za	Sa
Koordinaciju	koordinacija	Ncfsa
za	za	Sa
vanjsku	vanjski	Agpfsay
i	i	Cc
europsku	europski	Agpfsay
politiku	politika	Ncfsa
Vlade	vlada	Ncfsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
kao	kao	Cs
i	i	Qo
Hrvatskoga	hrvatski	Agpmsgy
sabora	sabor	Ncmsg
,	,	Z
a	a	Cc
temeljem	temelj	Ncmsi
obveza	obveza	Ncfpg
koje	koji	Pi-fpn
proizlaze	proizlaziti	Vmr3p
iz	iz	Sg
Odluke	odluka	Ncfsg
o	o	Sl
osnivanju	osnivanje	Ncnsl
Međuresorne	međuresorni	Agpfsgy
radne	radni	Agpfsgy
skupine	skupina	Ncfsg
za	za	Sa
europske	europski	Agpmpay
poslove	posao	Ncmpa
kao	kao	Cs
i	i	Qo
Zakona	zakon	Ncmsg
o	o	Sl
suradnji	suradnja	Ncfsl
Hrvatskoga	hrvatski	Agpmsgy
sabora	sabor	Ncmsg
i	i	Cc
Vlade	vlada	Ncfsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
u	u	Sl
europskim	europski	Agpmply
poslovima	posao	Ncmpl
;	;	Z
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
vezane	vezan	Agpmpay
uz	uz	Sa
upravljanje	upravljanje	Ncnsa
bazom	baza	Ncfsi
podataka	podatak	Ncmpg
za	za	Sa
koordinaciju	koordinacija	Ncfsa
izrade	izrada	Ncfsg
i	i	Cc
pripremu	priprema	Ncfsa
nacionalnih	nacionalan	Agpnpgy
stajališta	stajalište	Ncnpg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
;	;	Z
u	u	Sl
suradnji	suradnja	Ncfsl
s	sa	Si
drugim	drugi	Mlofpi
nadležnim	nadležan	Agpfpiy
službama	služba	Ncfpi
Sektora	sektor	Ncmsg
prema	prema	Sl
potrebi	potreba	Ncfsl
koordinira	koordinirati	Vmr3s
izradu	izrada	Ncfsa
priprema	priprema	Ncfpg
i	i	Cc
drugih	drugi	Mlompg
materijala	materijal	Ncmpg
,	,	Z
te	te	Cc
obavlja	obavljati	Vmr3s
i	i	Cc
druge	drugi	Mlompa
poslove	posao	Ncmpa
iz	iz	Sg
svog	svoj	Px-msg
djelokruga	djelokrug	Ncmsg
.	.	Z

4.	4.	Mdo
UPRAVA	uprava	Ncfsn
ZA	za	Sa
POLITIČKE	politički	Agpmpay
POSLOVE	posao	Ncmpa

Članak	članak	Ncmsn
28.	28.	Mdo

Uprava	uprava	Ncfsn
za	za	Sa
političke	politički	Agpmpay
poslove	posao	Ncmpa
prati	pratiti	Vmr3s
,	,	Z
vodi	voditi	Vmr3s
i	i	Cc
koordinira	koordinirati	Vmr3s
ukupne	ukupan	Agpmpay
bilateralne	bilateralan	Agpmpay
odnose	odnos	Ncmpa
sa	sa	Si
zemljama	zemlja	Ncfpi
Sjeverne	sjeverni	Agpfsgy
,	,	Z
Srednje	srednji	Agpfsgy
i	i	Cc
Južne	južan	Agpfsgy
Amerike	Amerika	Npfsg
,	,	Z
Afrike	Afrika	Npfsg
,	,	Z
Azije	Azija	Npfsg
,	,	Z
Oceanije	Oceanija	Npfsg
,	,	Z
zemljama	zemlja	Ncfpl
Istočnog	istočni	Agpnsgy
partnerstva	partnerstvo	Ncnsg
te	te	Cc
Ruskom	ruski	Agpfsiy
Federacijom	federacija	Ncfsi
i	i	Cc
Australijom	Australija	Npfsi
;	;	Z
skrbi	skrbiti	Vmr3s
o	o	Sl
unaprjeđenju	unaprjeđenje	Ncnsl
odnosa	odnos	Ncmsg
i	i	Cc
potiče	poticati	Vmr3s
rješavanje	rješavanje	Ncnsa
