suvlasničkim	suvlasnički	Agpmsiy
dijelom	dio	Ncmsi
cijele	cijel	Agpfsgy
nekretnine	nekretnina	Ncfsg
čest	čest	Agpmsnn
.	.	Z
zgr	zgr	Rgp
.	.	Z
331	331	Mdc
,	,	Z
sve	sav	Agpnsny
za	za	Sa
kupoprodajnu	kupoprodajni	Agpfsay
cijenu	cijena	Ncfsa
od	od	Sg
220.000,00	220.000,00	Mdc
eura	euro	Ncmpg
;	;	Z

–	–	Z
da	da	Cs
je	biti	Var3s
trgovačko	trgovački	Agpnsny
društvo	društvo	Ncnsn
Pronto	pronto	Aspmsnn
servis	servis	Ncmsn
d.o.o.	d.o.o.	Y
,	,	Z
zastupano	zastupati	Appnsny
po	po	Sl
direktoru	direktor	Ncmsl
Damiru	Damir	Npmsl
Dobroslaviću	Dobroslavić	Npmsl
iz	iz	Sg
Dubrovnika	Dubrovnik	Npmsg
,	,	Z
Janjinska	Janjinska	Npfsn
14	14	Mdc
,	,	Z
s	sa	Si
Damirom	Damir	Npmsi
Dobroslavićem	Dobroslavić	Npmsi
iz	iz	Sg
Dubrovnika	Dubrovnik	Npmsg
,	,	Z
Janjinska	janjinska	Ncfsn
14	14	Mdc
i	i	Cc
podnositeljicom	podnositeljica	Ncfsi
,	,	Z
Janjinska	Janjinska	Npfsn
14	14	Mdc
,	,	Z
zaključilo	zaključiti	Vmp-sn
Ugovor	ugovor	Ncmsan
kojim	koji	Pi-msi
je	biti	Var3s
utvrđeno	utvrditi	Appnsny
da	da	Cs
Damir	Damir	Npmsn
Dobroslavić	Dobroslavić	Npmsn
ima	imati	Vmr3s
prema	prema	Sl
Pronto	pronto	Agpmsly
servisu	servis	Ncmsl
d.o.o.	d.o.oi	Agpnsay
potraživanje	potraživanje	Ncnsa
u	u	Sl
iznosu	iznos	Ncmsl
od	od	Sg
650.000,00	650.000,00	Mdc
kuna	kuna	Ncfpg
,	,	Z
na	na	Sl
temelju	temelj	Ncmsl
dva	dva	Mlc
ugovora	ugovor	Ncmsg
o	o	Sl
kratkoročnim	kratkoročan	Agpfply
pozajmicama	pozajmica	Ncfpl
od	od	Sg
6.	6.	Mdo
studenoga	studeni	Ncmsg
2007.	2007.	Mdo
,	,	Z
a	a	Cc
da	da	Cs
su	biti	Var3p
Damir	Damir	Npmsn
Dobroslavić	Dobroslavić	Npmsn
i	i	Cc
podnositeljica	podnositeljica	Ncfsn
bračni	bračni	Agpmpny
