Ako	ako	Cs
podnositelj	podnositelj	Ncmsn
zahtjeva	zahtjev	Ncmpg
ne	ne	Qz
udovolji	udovoljiti	Vmr3s
pozivu	poziv	Ncfsa
,	,	Z
a	a	Cc
po	po	Sl
zahtjevu	zahtjev	Ncmsl
se	sebe	Px--sa
ne	ne	Qz
može	moći	Vmr3s
postupiti	postupiti	Vmn
,	,	Z
nadležno	nadležan	Agpnsny
tijelo	tijelo	Ncnsn
će	htjeti	Var3s
zahtjev	zahtjev	Ncmsn
odbaciti	odbaciti	Vmn
kao	kao	Cs
nepotpun	nepotpun	Agpmsnn
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
mora	morati	Vmr3s
sadržavati	sadržavati	Vmn
:	:	Z

a	a	Cc
)	)	Z
dokaz	dokaz	Ncmsan
o	o	Sl
državljanstvu	državljanstvo	Ncnsl
kandidata	kandidat	Ncmpg
i	i	Cc

b	b	Npmsn
)	)	Z
dokaz	dokaz	Ncmsan
o	o	Sl
ispunjavanju	ispunjavanje	Ncnsl
uvjeta	uvjet	Ncmpg
za	za	Sa
priznavanje	priznavanje	Ncnsa
inozemnih	inozeman	Agpfpgy
stručnih	stručan	Agpfpgy
kvalifikacija	kvalifikacija	Ncfpg
(	(	Z
potvrda	potvrda	Ncfsn
kompetentnosti	kompetentnost	Ncfsg
,	,	Z
dokaz	dokaz	Ncmsn
o	o	Sl
obrazovnoj	obrazovni	Agpfsly
,	,	Z
odnosno	odnosno	Rgp
stručnoj	stručan	Agpfsly
kvalifikaciji	kvalifikacija	Ncfsl
te	te	Cc
stručnom	stručan	Agpnsly
iskustvu	iskustvo	Ncnsl
gdje	gdje	Rgp
je	biti	Var3s
to	taj	Pd-nsn
primjereno	primjeriti	Appnsny
)	)	Z
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Uz	uz	Sa
dokaze	dokaz	Ncmpa
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
nadležno	nadležan	Agpnsny
tijelo	tijelo	Ncnsn
može	moći	Vmr3s
zatražiti	zatražiti	Vmn
od	od	Sg
kandidata	kandidat	Ncmpg
da	da	Cs
dostavi	dostaviti	Vmr3s
i	i	Cc
druge	drugi	Mlompa
dokaze	dokaz	Ncmpa
sukladno	sukladno	Rgp
Prilogu	prilog	Ncmsd
VII	vii	Mrc
.	.	Z

Direktive	direktiva	Ncfpn
,	,	Z
a	a	Cc
dokazi	dokaz	Ncmpn
iz	iz	Sg
točaka	točka	Ncfpg
1.	1.	Mdo
d	d	X
)	)	Z
,	,	Z
e	e	I
)	)	Z
i	i	Cc
f	i	Agpnsny
)	)	Z
Priloga	prilog	Ncmsg
VII	vii	Mrc
.	.	Z

Direktive	direktiva	Ncfpn
ne	ne	Qz
mogu	moći	Vmr3p
biti	biti	Van
stariji	star	Agcmpny
od	od	Sg
tri	tri	Mlc
mjeseca	mjesec	Ncmsg
na	na	Sa
dan	dan	Ncmsan
njihova	njihov	Ps3nsg
podnošenja	podnošenje	Ncnsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
opravdane	opravdati	Agpfsgy
sumnje	sumnja	Ncfsg
,	,	Z
nadležno	nadležan	Agpnsny
tijelo	tijelo	Ncnsn
može	moći	Vmr3s
zatražiti	zatražiti	Vmn
od	od	Sg
nadležnih	nadležan	Agpnpgy
tijela	tijelo	Ncnpg
države	država	Ncfsg
članice	članica	Ncfsg
potvrdu	potvrda	Ncfsa
o	o	Sl
autentičnosti	autentičnost	Ncfsl
dokaza	dokaz	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
točke	točka	Ncfsg
b	b	X
)	)	Z
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
izdanih	izdati	Appmpgy
u	u	Sl
drugoj	drugi	Mlofsl
državi	država	Ncfsl
članici	članica	Ncfsl
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
opravdane	opravdati	Agpfsgy
sumnje	sumnja	Ncfsg
,	,	Z
kada	kada	Cs
je	biti	Var3s
dokaz	dokaz	Ncmsn
o	o	Sl
formalnom	formalan	Agpnsly
obrazovanju	obrazovanje	Ncnsl
izdala	izdati	Vmp-sf
nadležna	nadležan	Agpfsny
pravna	pravni	Agpfsny
osoba	osoba	Ncfsn
jedne	jedan	Mlcfsg
države	država	Ncfsg
članice	članica	Ncfsg
,	,	Z
a	a	Cc
uključuje	uključivati	Vmr3s
osposobljavanje	osposobljavanje	Ncnsa
provedeno	provesti	Appnsny
u	u	Sl
cijelosti	cijelost	Ncfsl
ili	ili	Cc
djelomično	djelomično	Rgp
u	u	Sl
pravnoj	pravni	Agpfsly
osobi	osoba	Ncfsl
osnovanoj	osnovati	Appfsly
na	na	Sl
području	područje	Ncnsl
druge	drugi	Mlofsg
države	država	Ncfsg
članice	članica	Ncfsg
,	,	Z
nadležno	nadležan	Agpnsny
tijelo	tijelo	Ncnsn
ima	imati	Vmr3s
pravo	pravo	Ncnsa
od	od	Sg
nadležne	nadležan	Agpfsgy
pravne	pravni	Agpfsgy
osobe	osoba	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
izdala	izdati	Vmp-sf
dokaz	dokaz	Ncmsan
zatražiti	zatražiti	Vmn
potvrdu	potvrda	Ncfsa
o	o	Sl
tome	taj	Pd-nsl
:	:	Z

a	a	Cc
)	)	Z
je	biti	Var3s
li	li	Qq
program	program	Ncmsn
osposobljavanja	osposobljavanje	Ncnsg
proveden	provesti	Appmsnn
u	u	Sl
pravnoj	pravni	Agpfsly
osobi	osoba	Ncfsl
jedne	jedan	Mlcfsg
države	država	Ncfsg
članice	članica	Ncfsg
potvrdila	potvrditi	Vmp-sf
nadležna	nadležan	Agpfsny
pravna	pravni	Agpfsny
osoba	osoba	Ncfsn
druge	drugi	Mlofsg
države	država	Ncfsg
članice	članica	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
izdala	izdati	Vmp-sf
dokaz	dokaz	Ncmsan

b	b	Npmsn
)	)	Z
je	biti	Var3s
li	li	Qq
dokaz	dokaz	Ncmsn
o	o	Sl
formalnom	formalan	Agpnsly
obrazovanju	obrazovanje	Ncnsl
jednak	jednak	Agpmsnn
onome	onaj	Pd-nsd
koji	koji	Pi-msn
bi	biti	Vaa3s
bio	biti	Vap-sm
izdan	izdan	Agpmsnn
da	da	Cs
je	biti	Var3s
osposobljavanje	osposobljavanje	Ncnsn
u	u	Sl
cijelosti	cijelost	Ncfsl
izvedeno	izvesti	Appnsny
u	u	Sl
državi	država	Ncfsl
članici	članica	Ncfsl
koja	koji	Pi-fsn
je	biti	Var3s
izdala	izdati	Vmp-sf
dokaz	dokaz	Ncmsan
i	i	Cc

c	C	Npmsn
)	)	Z
dodjeljuju	dodjeljivati	Vmr3p
li	li	Cs
se	sebe	Px--sa
dokazom	dokaz	Ncmsi
o	o	Sl
formalnom	formalan	Agpnsly
obrazovanju	obrazovanje	Ncnsl
jednaka	jednak	Agpnpay
prava	pravo	Ncnpa
na	na	Sl
području	područje	Ncnsl
države	država	Ncfsg
članice	članica	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
izdala	izdati	Vmp-sf
dokaz	dokaz	Ncmsan
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
opravdane	opravdati	Agpfsgy
sumnje	sumnja	Ncfsg
,	,	Z
nadležno	nadležan	Agpnsny
tijelo	tijelo	Ncnsn
može	moći	Vmr3s
od	od	Sg
nadležnog	nadležan	Agpnsgy
tijela	tijelo	Ncnsg
matične	matičan	Agpfsgy
države	država	Ncfsg
članice	članica	Ncfsg
putem	put	Sg
IMI	IM	Npmsg
sustava	sustav	Ncmsg
zatražiti	zatražiti	Vmn
potvrdu	potvrda	Ncfsa
da	da	Cs
kandidat	kandidat	Ncmsn
nema	nemati	Vmr3s
prekid	prekid	Ncmsan
ili	ili	Cc
zabranu	zabrana	Ncfsa
obavljanja	obavljanje	Ncnsg
profesije	profesija	Ncfsg
zbog	zbog	Sg
teže	teža	Ncfsg
