istima	isti	Agpmpdy
uputa	uputa	Ncfpg
na	na	Sa
koji	koji	Pi-msan
način	način	Ncmsan
svjedočiti	svjedočiti	Vmn
,	,	Z
a	a	Cc
sve	sav	Agpmpay
u	u	Sl
cilju	cilj	Ncmsl
da	da	Cs
on	on	Pp3msn
umanji	umanjiti	Vmr3s
ili	ili	Cc
izbjegne	izbjeći	Vmr3s
kaznenopravnu	kaznenopravni	Agpfsay
odgovornost	odgovornost	Ncfsa
,	,	Z
dakle	dakle	Cc
o	o	Sl
postojanju	postojanje	Ncnsl
realne	realan	Agpfsgy
opasnosti	opasnost	Ncfsg
da	da	Cs
bi	biti	Vaa3p
takve	takav	Pd-fpn
nedozvoljene	nedozvoljen	Agpfsgy
radnje	radnja	Ncfsg
mogao	moći	Vmp-sm
poduzeti	poduzeti	Vmn
i	i	Cc
prema	prema	Sl
drugim	drugi	Agpmply
svjedocima	svjedok	Ncmpl
koje	koji	Pi-mpa
je	biti	Var3s
tijekom	tijekom	Sg
ovog	ovaj	Pd-msg
postupka	postupak	Ncmsg
još	još	Rgp
potrebno	potreban	Agpnsny
ispitati	ispitati	Vmn
.	.	Z

Ovdje	ovdje	Rgp
treba	trebati	Vmr3s
napomenuti	napomenuti	Vmn
da	da	Cs
svjedokinja	svjedokinja	Ncfsn
Vida	Vida	Npfsn
Demarin	Demarin	Npfsn
nije	biti	Var3s
bila	biti	Vap-sf
obuhvaćena	obuhvatiti	Appfsny
mjerama	mjera	Ncfpi
opreza	oprez	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
98.	98.	Mdo
stavak	stavak	Ncmsn
2.	2.	Mdo
točka	točka	Ncfsn
5.	5.	Mdo
i	i	Cc
6.	6.	Mdo
ZKP	ZKP	Si
određenim	određen	Agpfpiy
I	i	Cc
okrivljeniku	okrivljenik	Ncmsl
,	,	Z
međutim	međutim	Rgp
takvo	takav	Pd-nsn
postupanje	postupanje	Ncnsn
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
tu	taj	Pd-fsa
svjedokinju	svjedokinja	Ncfsa
ukazuje	ukazivati	Vmr3s
na	na	Sa
opasnost	opasnost	Ncfsa
takvog	takav	Pd-nsg
postupanja	postupanje	Ncnsg
prema	prema	Sl
drugim	drugi	Agpmply
svjedocima	svjedok	Ncmpl
za	za	Sa
koje	koji	Pi-mpa
je	biti	Var3s
utvrđeno	utvrditi	Appnsny
postojanje	postojanje	Ncnsn
koluzione	koluzion	Agpfsgy
opasnosti	opasnost	Ncfsg
ranijim	ran	Agcnsiy
rješenjem	rješenje	Ncnsi
Suda	sud	Ncmsg
.	.	Z

(...)	(...)	Ncfsn

Također	također	Rgp
obzirom	obzir	Ncmsi
na	na	Sa
činjenicu	činjenica	Ncfsa
da	da	Cs
rješenjem	rješenje	Ncnsi
o	o	Sl
provođenju	provođenje	Ncnsl
i	i	Cc
proširenju	proširenje	Ncnsl
istrage	istraga	Ncfsg
od	od	Sg
09.	09.	Mdo
ožujka	ožujak	Ncmsg
2015.	2015.	Mdo

I	i	Cc
okr	okr	Ncmsan
.	.	Z

Milanu	Milan	Npmsd
Bandiću	Bandić	Npmsd
stavlja	stavljati	Vmr3s
na	na	Sa
teret	teret	Ncmsan
i	i	Cc
da	da	Cs
je	biti	Var3s
krivotvorio	krivotvoriti	Vmp-sm
dokaz	dokaz	Ncmsn
koji	koji	Pi-msn
je	biti	Var3s
upotrijebio	upotrijebiti	Vmp-sm
u	u	Sl
žalbenom	žalbeni	Agpmsly
postupku	postupak	Ncmsl
pred	pred	Si
sudom	sud	Ncmsi
,	,	Z
isto	isto	Rgp
predstavlja	predstavljati	Vmr3s
opravdani	opravdati	Agpmsayn
razlog	razlog	Ncmsan
za	za	Sa
zaključak	zaključak	Ncmsan
o	o	Sl
postojanju	postojanje	Ncnsl
sumnje	sumnja	Ncfsg
da	da	Cs
bi	biti	Vaa3s
I	i	Qo
okr	okr	Agpfpny
.	.	Z

Milan	Milan	Npmsn
Bandić	Bandić	Npmsn
boravkom	boravak	Ncmsi
na	na	Sl
slobodi	sloboda	Ncfsl
,	,	Z
usprkos	usprkos	Sl
određenom	određen	Agpnsly
jamstvu	jamstvo	Ncnsl
,	,	Z
mogao	moći	Vmp-sm
izmijeniti	izmijeniti	Vmn
ili	ili	Cc
krivotvoriti	krivotvoriti	Vmn
i	i	Cc
druge	drugi	Mlompa
dokaze	dokaz	Ncmpa
,	,	Z
a	a	Cc
sve	sav	Agpmpay
u	u	Sl
cilju	cilj	Ncmsl
izbjegavanja	izbjegavanje	Ncnsg
kaznenopravne	kaznenopravni	Agpfsgy
odgovornosti	odgovornost	Ncfsg
.	.	Z

I	i	Cc
okr	okr	Ncmsan
.	.	Z

Milan	Milan	Npmsn
Bandić	Bandić	Npmsn
je	biti	Var3s
i	i	Cc
nadalje	nadalje	Rgp
na	na	Sl
