propisanim	propisati	Appmsiy
ovim	ovaj	Pd-msi
Zakonom	zakon	Ncmsi
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Obiteljska	obiteljski	Agpfsny
medijacija	medijacija	Ncfsn
je	biti	Var3s
postupak	postupak	Ncmsn
u	u	Sl
kojemu	koji	Pi-nsl
članovi	član	Ncmpn
obitelji	obitelj	Ncfsg
sudjeluju	sudjelovati	Vmr3p
dobrovoljno	dobrovoljno	Rgp
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
obvezan	obvezan	Agpmsnn
je	biti	Var3s
prvi	prvi	Mlomsn
sastanak	sastanak	Ncmsn
obiteljske	obiteljski	Agpfsgy
medijacije	medijacija	Ncfsg
prije	prije	Sg
pokretanja	pokretanje	Ncnsg
postupka	postupak	Ncmsg
radi	radi	Sg
razvoda	razvod	Ncmsg
braka	brak	Ncmsg
.	.	Z

I.	I.	Y
OBVEZNO	obvezan	Agpnsny
SAVJETOVANJE	savjetovanje	Ncnsn

1.	1.	Mdo
OPĆE	opći	Agpfsgy
ODREDBE	odredba	Ncfsg

Svrha	svrha	Ncfsn
i	i	Cc
provedba	provedba	Ncfsn
obveznog	obvezan	Agpnsgy
savjetovanja	savjetovanje	Ncnsg

Članak	članak	Ncmsn
321.	321.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Obvezno	obvezan	Agpnsny
savjetovanje	savjetovanje	Ncnsn
je	biti	Var3s
oblik	oblik	Ncmsn
pomoći	pomoći	Vmn
članovima	član	Ncmpd
obitelji	obitelj	Ncfsg
da	da	Cs
donesu	donijeti	Vmr3p
sporazumne	sporazuman	Agpfpay
odluke	odluka	Ncfpa
o	o	Sl
obiteljskim	obiteljski	Agpmply
odnosima	odnos	Ncmpl
vodeći	vodeći	Agpmsny
posebnu	poseban	Agpfsay
brigu	briga	Ncfsa
o	o	Sl
zaštiti	zaštita	Ncfsl
obiteljskih	obiteljski	Agpmpgy
odnosa	odnos	Ncmpg
u	u	Sl
kojima	koji	Pi-mpl
sudjeluje	sudjelovati	Vmr3s
dijete	dijete	Ncnsa
te	te	Cc
o	o	Sl
pravnim	pravni	Agpfply
posljedicama	posljedica	Ncfpl
nepostizanja	nepostizanje	Ncnsg
sporazuma	sporazum	Ncmsg
i	i	Cc
pokretanju	pokretanje	Ncnsl
sudskih	sudski	Agpmpgy
postupaka	postupak	Ncmpg
u	u	Sl
kojima	koji	Pi-mpl
se	sebe	Px--sa
odlučuje	odlučivati	Vmr3s
o	o	Sl
osobnim	osoban	Agpnply
pravima	pravo	Ncnpl
djeteta	dijete	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Obvezno	obvezan	Agpnsny
savjetovanje	savjetovanje	Ncnsn
provodi	provoditi	Vmr3s
stručni	stručan	Agpmsayn
tim	tim	Ncmsan
centra	centar	Ncmsg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
nadležnog	nadležan	Agpnsgy
prema	prema	Sl
mjestu	mjesto	Ncnsl
djetetova	djetetov	Ncmpg
prebivališta	prebivalište	Ncnsg
,	,	Z
odnosno	odnosno	Rgp
