Arapski	arapski	Agpmpny
Emirati	emirat	Ncmpn
,	,	Z
Kina	Kina	Npfsn
,	,	Z
Japan	Japan	Npmsn
,	,	Z
Mongolija	Mongolija	Npfsn
,	,	Z
Demokratska	demokratski	Agpfsny
Narodna	narodni	Agpfsny
Republika	republika	Ncfsn
Koreja	Koreja	Npfsn
,	,	Z
Republika	republika	Ncfsn
Koreja	Koreja	Npfsn
,	,	Z
Indonezija	Indonezija	Npfsn
,	,	Z
Malezija	Malezija	Npfsn
,	,	Z
Filipini	Filipina	Npfsl
,	,	Z
Bruneji	Bruneja	Npfsl
Darussalam	Darussalam	Npmsn
,	,	Z
Singapur	Singapur	Npmsn
,	,	Z
Tajland	Tajland	Npmsn
,	,	Z
Laos	Laos	Npmsn
,	,	Z
Vijetnam	Vijetnam	Npmsn
,	,	Z
Kambodža	Kambodž	Npmsg
,	,	Z
Mjanmar	Mjanmar	Npmsn
,	,	Z
Istočni	istočni	Agpmsny
Timor	timor	Ncmsn
,	,	Z
Iran	Iran	Npmsn
,	,	Z
Pakistan	Pakistan	Npmsn
,	,	Z
Afganistan	Afganistan	Npmsn
,	,	Z
Indija	Indija	Npfsn
,	,	Z
Nepal	Nepal	Npmsn
,	,	Z
Butan	butan	Ncmsn
,	,	Z
Šri	Šri	Npfsn
Lanka	Lanka	Npfsn
,	,	Z
Bangladeš	Bangladeš	Npfsn
,	,	Z
Maldivi	Maldiva	Npfsl
,	,	Z
Kazahstan	Kazahstan	Npmsn
,	,	Z
Kirgistan	Kirgistan	Npmsn
,	,	Z
Turkmenistan	Turkmenistan	Npmsn
,	,	Z
Uzbekistan	Uzbekistan	Npmsn
,	,	Z
Tadžikistan	Tadžikistan	Npmsn
,	,	Z
Australija	Australija	Npfsn
,	,	Z
Fidži	Fidži	Npfsn
,	,	Z
Kiribati	Kiribata	Npfsl
,	,	Z
Maršalovo	maršalov	Aspnsay
Otočje	otočje	Ncnsa
,	,	Z
Mikronezija	Mikronezija	Npfsn
,	,	Z
Nauru	Naur	Npmsl
,	,	Z
Novi	nov	Agpmsny
Zeland	Zeland	Npmsn
,	,	Z
Palau	Palau	Npmsn
,	,	Z
Papua	Papua	Npfsn
Nova	Nova	Npfsn
Gvineja	Gvineja	Npfsn
,	,	Z
Salomonovo	salomonov	Agpnsny
Otočje	otočje	Ncnsn
,	,	Z
Samoa	Samo	Npmsg
,	,	Z
Tonga	Toi	Npmsg
,	,	Z
Tuvalu	Tuval	Npmsl
i	i	Cc
Vanuatu	Vanuat	Npmsl
,	,	Z
Rusija	Rusija	Npfsn
,	,	Z
Kazahstan	Kazahstan	Npmsn
,	,	Z
Kirgistan	Kirgistan	Npmsn
,	,	Z
Tadžikistan	Tadžikistan	Npmsn
,	,	Z
Turkmenistan	Turkmenistan	Npmsn
,	,	Z
Uzbekistan	Uzbekistan	Npmsn
,	,	Z
Armenija	Armeni	Npmsg
,	,	Z
Azerbajdžan	Azerbajdžan	Npmsn
,	,	Z
Bjelarus	Bjelarus	Npmsn
,	,	Z
Gruzija	Gruzija	Npfsn
,	,	Z
Moldova	Moldova	Npfsn
i	i	Cc
Ukrajina	Ukrajina	Npfsn
)	)	Z
;	;	Z
prati	pratiti	Vmr3s
ukupnu	ukupan	Agpfsay
politiku	politika	Ncfsa
pojedinih	pojedini	Agpfpgy
država	država	Ncfpg
iz	iz	Sg
nadležnosti	nadležnost	Ncfsg
Sektora	sektor	Ncmsg
prema	prema	Ncmpg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
i	i	Cc
priprema	pripremati	Vmr3s
i	i	Cc
potiče	poticati	Vmr3s
odgovarajuće	odgovarajući	Agpfpay
analize	analiza	Ncfpa
,	,	Z
rasprave	rasprava	Ncfpa
i	i	Cc
prijedloge	prijedlog	Ncmpa
radi	radi	Sg
utvrđivanja	utvrđivanje	Ncnsg
političkih	politički	Agpmpgy
stavova	stav	Ncmpg
i	i	Cc
inicijativa	inicijativa	Ncfsn
Ministarstva	ministarstvo	Ncnsg
;	;	Z
priprema	pripremati	Vmr3s
potrebnu	potreban	Agpfsay
stručnu	stručan	Agpfsay
podlogu	podloga	Ncfsa
za	za	Sa
koordinaciju	koordinacija	Ncfsa
i	i	Cc
usvajanje	usvajanje	Ncnsa
odgovarajućih	odgovarajući	Agpfpgy
političkih	politički	Agpfpgy
odluka	odluka	Ncfpg
povezanih	povezan	Agpfpgy
s	sa	Si
unaprjeđenjem	unaprjeđenje	Ncnsi
uzajamnih	uzajaman	Agpmpgy
odnosa	odnos	Ncmpg
ili	ili	Cc
rješavanjem	rješavanje	Ncnsi
pojedinih	pojedini	Agpnpgy
pitanja	pitanje	Ncnpg
u	u	Sl
odnosima	odnos	Ncmpl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
sa	sa	Si
zemljama	zemlja	Ncfpi
iz	iz	Sg
nadležnosti	nadležnost	Ncfsg
Sektora	sektor	Ncmsg
;	;	Z
prati	pratiti	Vmr3s
unutarnjopolitički	unutarnjopolitički	Agpmsayn
razvoj	razvoj	Ncmsan
,	,	Z
gospodarsko	gospodarski	Agpnsay
stanje	stanje	Ncnsa
i	i	Cc
društvene	društven	Agpfsgy
prilike	prilika	Ncfsg
u	u	Sl
zemljama	zemlja	Ncfpl
iz	iz	Sg
nadležnosti	nadležnost	Ncfsg
Sektora	sektor	Ncmsg
i	i	Cc
procjenjuje	procjenjivati	Vmr3s
njihov	njihov	Ps3msan
utjecaj	utjecaj	Ncmsan
na	na	Sa
uzajamne	uzajaman	Agpmpay
odnose	odnos	Ncmpa
s	sa	Sg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
;	;	Z
prati	pratiti	Vmr3s
uzajamne	uzajaman	Agpmpay
odnose	odnos	Ncmpa
između	između	Sg
država	država	Ncfpg
iz	iz	Sg
nadležnosti	nadležnost	Ncfsg
Sektora	sektor	Ncmsg
i	i	Cc
utjecaj	utjecaj	Ncmsn
tih	taj	Pd-mpg
odnosa	odnos	Ncmpg
na	na	Sa
bilateralne	bilateralan	Agpmpay
odnose	odnos	Ncmpa
s	sa	Sg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
analizira	analizirati	Vmr3s
podatke	podatak	Ncmpa
,	,	Z
informacije	informacija	Ncfpa
i	i	Cc
saznanja	saznanje	Ncnsg
iz	iz	Sg
javnih	javan	Agpnpgy
,	,	Z
diplomatskih	diplomatski	Agpmpgy
i	i	Cc
drugih	drugi	Mlompg
izvora	izvor	Ncmpg
,	,	Z
te	te	Cc
priprema	priprema	Ncfsn
izvješća	izvješće	Ncnsg
,	,	Z
analize	analiza	Ncfsg
i	i	Cc
drugu	drugi	Mlofsa
dokumentaciju	dokumentacija	Ncfsa
potrebnu	potreban	Agpfsay
za	za	Sa
diplomatsko	diplomatski	Agpnsay
djelovanje	djelovanje	Ncnsa
,	,	Z
vodeći	vodeći	Agpmsny
računa	računati	Vmr3s
o	o	Sl
ukupnim	ukupan	Agpmply
prioritetima	prioritet	Ncmpl
i	i	Cc
ciljevima	cilj	Ncmpi
državne	državni	Agpfsgy
politike	politika	Ncfsg
prema	prema	Sl
zemljama	zemlja	Ncfpl
Afrike	Afrika	Npfsg
,	,	Z
Azije	Azija	Npfsg
,	,	Z
Oceanije	Oceanija	Npfsg
i	i	Cc
Ruske	ruski	Agpfsgy
Federacije	federacija	Ncfsg
,	,	Z
kao	kao	Cs
sastavnici	sastavnica	Ncmpn
razvijanja	razvijanje	Ncnsg
bilateralnih	bilateralan	Agpmpgy
odnosa	odnos	Ncmpg
sa	sa	Si
zemljama	zemlja	Ncfpi
iz	iz	Sg
nadležnosti	nadležnost	Ncfsg
Sektora	sektor	Ncmsg
;	;	Z
predlaže	predlagati	Vmr3s
mjere	mjera	Ncfpa
i	i	Cc
priprema	pripremati	Vmr3s
prijedloge	prijedlog	Ncmpa
za	za	Sa
odgovarajuće	odgovarajući	Agpnsay
praćenje	praćenje	Ncnsa
stanja	stanje	Ncnsg
u	u	Sl
pojedinim	pojedini	Agpfply
državama	država	Ncfpl
iz	iz	Sg
nadležnosti	nadležnost	Ncfsg
Sektora	sektor	Ncmsg
,	,	Z
uključujući	uključivati	Rr
razrađenu	razraditi	Appfsay
i	i	Cc
koordiniranu	koordinirati	Ncmsl
suradnju	suradnja	Ncfsa
s	sa	Si
DM		Npmsi
/	/	Z
KU	K	Npmsl
u	u	Sl
zemljama	zemlja	Ncfpl
iz	iz	Sg
nadležnosti	nadležnost	Ncfsg
Sektora	sektor	Ncmsg
;	;	Z
surađuje	surađivati	Vmr3s
s	sa	Si
drugim	drugi	Agpfpiy
ustrojstvenim	ustrojstven	Agpfpiy
jedinicama	jedinica	Ncfpi
Ministarstva	ministarstvo	Ncnsg
u	u	Sl
pripremi	priprema	Ncfsl
cjelovite	cjelovit	Agpfsgy
i	i	Cc
usklađene	uskladiti	Agpfpay
međuresorske	međuresorski	Agpfpay
aktivnosti	aktivnost	Ncfpa
i	i	Cc
nastupa	nastup	Ncmpg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
prema	prema	Sl
zemljama	zemlja	Ncfpl
iz	iz	Sg
nadležnosti	nadležnost	Ncfsg
Sektora	sektor	Ncmsg
;	;	Z
prati	pratiti	Vmr3s
politiku	politika	Ncfsa
i	i	Cc
odnose	odnos	Ncmpa
Europske	europski	Agpfsgy
unije	unija	Ncfsg
prema	prema	Sl
spomenutim	spomenuti	Agpfply
zemljama	zemlja	Ncfpl
;	;	Z
u	u	Sa
svrhu	svrha	Ncfsa
ukupnog	ukupan	Agpnsgy
promicanja	promicanje	Ncnsg
interesa	interes	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
surađuje	surađivati	Vmr3s
sa	sa	Si
stranim	stran	Agpfpiy
diplomatskim	diplomatski	Agpfpiy
misijama	misija	Ncfpi
u	u	Sl
zemlji	zemlja	Ncfsl
,	,	Z
prati	pratiti	Vmr3s
politiku	politika	Ncfsa
i	i	Cc
odnose	odnos	Ncmpa
Europske	europski	Agpfsgy
unije	unija	Ncfsg
prema	prema	Sl
spomenutim	spomenuti	Agpfply
zemljama	zemlja	Ncfpl
;	;	Z
potiče	poticati	Vmr3s
i	i	Cc
pruža	pružati	Vmr3s
pomoć	pomoć	Ncfsa
u	u	Sl
suradnji	suradnja	Ncfsl
državnih	državni	Agpnpgy
tijela	tijelo	Ncnpg
s	sa	Si
inozemstvom	inozemstvo	Ncnsi
u	u	Sl
političkim	politički	Agpfply
,	,	Z
gospodarskim	gospodarski	Agpfply
,	,	Z
kulturnim	kulturan	Agpnsiy
,	,	Z
znanstvenim	znanstven	Agpfply
i	i	Cc
drugim	drugi	Agpnply
područjima	područje	Ncnpl
;	;	Z
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
države	država	Ncfpa
iz	iz	Sg
nadležnosti	nadležnost	Ncfsg
Sektora	sektor	Ncmsg
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
u	u	Sl
vezi	veza	Ncfsl
zaštite	zaštita	Ncfsg
prava	pravo	Ncnsg
i	i	Cc
interesa	interes	Ncmsg
državljana	državljanin	Ncmpg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
koji	koji	Pi-mpn
prebivaju	prebivati	Vmr3p
ili	ili	Cc
borave	boraviti	Vmr3p
u	u	Sl
inozemstvu	inozemstvo	Ncnsl
te	te	Cc
promicanja	promicanje	Ncnsg
njihovih	njihov	Ps3fpg
veza	veza	Ncfpg
s	sa	Si
domovinom	domovina	Ncfsi
;	;	Z
pruža	pružati	Vmr3s
osobitu	osobit	Agpfsay
skrb	skrb	Ncfsa
i	i	Cc
zaštitu	zaštita	Ncfsa
dijelova	dio	Ncmpg
hrvatskoga	hrvatski	Agpmsgy
naroda	narod	Ncmsg
u	u	Sl
drugim	drugi	Mlofpl
državama	država	Ncfpl
;	;	Z
promiče	promicati	Vmr3s
,	,	Z
uspostavlja	uspostavljati	Vmr3s
i	i	Cc
održava	održavati	Vmr3s
veze	veza	Ncfpa
s	sa	Si
hrvatskim	hrvatski	Agpmpiy
iseljenicima	iseljenik	Ncmpi
i	i	Cc
manjinama	manjina	Ncfpl
kao	kao	Cs
i	i	Qo
s	sa	Si
njihovim	njihov	Agpfpiy
udrugama	udruga	Ncfpi
u	u	Sl
njihovim	njihov	Agpfply
državama	država	Ncfpl
;	;	Z
te	te	Cc
obavlja	obavljati	Vmr3s
i	i	Cc
druge	drugi	Mlompa
poslove	posao	Ncmpa
iz	iz	Sg
svog	svoj	Px-msg
djelokruga	djelokrug	Ncmsg
.	.	Z

U	u	Sl
Sektoru	sektor	Ncmsl
za	za	Sa
Afriku	Afrika	Npfsa
,	,	Z
Aziju	Azija	Npfsa
,	,	Z
Oceaniju	Oceanija	Npfsa
,	,	Z
Rusku	ruski	Agpfsay
Federaciju	federacija	Ncfsa
i	i	Cc
Istočno	istočni	Agpnsny
partnerstvo	partnerstvo	Ncnsn
ustrojavaju	ustrojavati	Vmr3p
se	sebe	Px--sa
:	:	Z

4.2.1.	4.2.1.	Mdo

Služba	služba	Ncfsn
za	za	Sa
Aziju	Azija	Npfsa
i	i	Cc
Oceaniju	Oceanija	Npfsa
;	;	Z

4.2.2.	4.2.2.	Mdo

Služba	služba	Ncfsn
za	za	Sa
Afriku	Afrika	Npfsa
i	i	Cc
Bliski	blizak	Agpmsny
istok	istok	Ncmsn
;	;	Z

4.2.3.	4.2.3.	Mdo

Služba	služba	Ncfsn
za	za	Sa
Rusku	ruski	Agpfsay
Federaciju	federacija	Ncfsa
,	,	Z
Srednju	Srednja	Npfsa
Aziju	Azija	Npfsa
i	i	Cc
Istočno	istočni	Agpnsny
partnerstvo	partnerstvo	Ncnsn
.	.	Z

4.2.1.	4.2.1.	Mdo

