primjenjiv	primjenjiv	Agpmsnn
,	,	Z
prednost	prednost	Ncfsn
ima	imati	Vmr3s
starija	star	Agcfsny
osoba	osoba	Ncfsn
prema	prema	Sl
datumu	datum	Ncmsl
rođenja	rođenje	Ncnsg
.	.	Z

Članak	članak	Ncmsn
9.	9.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsan
će	htjeti	Var3s
se	sebe	Px--sa
smatrati	smatrati	Vmn
potpunim	potpun	Agpmsiy
uz	uz	Sa
sljedeću	sljedeći	Pd-fsa
priloženu	priložen	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
(	(	Z
izvornik	izvornik	Ncmsn
ili	ili	Cc
preslika	preslika	Ncfsn
)	)	Z
:	:	Z

–	–	Agpmsny
dokaz	dokaz	Ncmsn
o	o	Sl
posjedovanju	posjedovanje	Ncnsl
važećeg	važeći	Agpnsgy
odobrenja	odobrenje	Ncnsg
za	za	Sa
mali	mali	Agpmsayn
ribolov	ribolov	Ncmsan
,	,	Z

–	i	Agpfsny
identifikacijska	identifikacijski	Agpfsny
isprava	isprava	Ncfsn
,	,	Z

–	–	Z
važeća	važeći	Agpfsny
ispravu	isprava	Ncfsa
o	o	Sl
plovilu	plovilo	Ncnsl
za	za	Sa
koje	koji	Pi-mpa
se	sebe	Px--sa
traži	tražiti	Vmr3s
izdavanje	izdavanje	Ncnsn
povlastice	povlastica	Ncfsg
koje	koji	Pi-nsn
je	biti	Var3s
upisano	upisati	Appnsny
u	u	Sa
registar	registar	Ncmsan
ribarske	ribarski	Agpfsgy
flote	flota	Ncfsg
RH	RH	Npfsg
i	i	Cc
kojem	koji	Pi-msd
je	biti	Var3s
dodijeljen	dodijeliti	Appmsnn
CFR	CFR	Npmsn
broj	broj	Ncmsn
,	,	Z

–	–	Agpmsny
dokaz	dokaz	Ncmsn
o	o	Sl
vlasništvu	vlasništvo	Ncnsl
plovila	plovilo	Ncnsg
ili	ili	Cc
ugovor	ugovor	Ncmsan
o	o	Sl
najmu	najam	Ncmsl
plovila	plovilo	Ncnsg
ukoliko	ukoliko	Cs
podnositelj	podnositelj	Ncmsn
zahtjeva	zahtjev	Ncmpg
nije	biti	Var3s
vlasnik	vlasnik	Ncmsn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Uz	uz	Sa
dokumentaciju	dokumentacija	Ncfsa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
podnositelj	podnositelj	Ncmsn
zahtjeva	zahtjev	Ncmpg
treba	trebati	Vmr3s
priložiti	priložiti	Vmn
dokaze	dokaz	Ncmpa
o	o	Sl
ispunjavanju	ispunjavanje	Ncnsl
kriterija	kriterij	Ncmsg
za	za	Sa
rang-listu	rang-lista	Ncfsa
iz	iz	Sg
članka	članak	Ncmsg
8.	8.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
(	(	Z
izvornik	izvornik	Ncmsn
ili	ili	Cc
preslika	preslika	Ncfsn
)	)	Z
:	:	Z

–	i	Agpfpay
potvrde	potvrda	Ncfpa
Porezne	porezni	Agpfsgy
uprave	uprava	Ncfsg
o	o	Sl
visini	visina	Ncfsl
prihoda	prihod	Ncmpg
za	za	Sa
podnositelja	podnositelj	Ncmpg
zahtjeva	zahtjev	Ncmpg
i	i	Cc
članove	član	Ncmpa
kućanstva	kućanstvo	Ncnsg
u	u	Sl
2013.	2013.	Mdo
godini	godina	Ncfsl
,	,	Z

–	i	Agpnsny
uvjerenje	uvjerenje	Ncnsn
o	o	Sl
prebivalištu	prebivalište	Ncnsl
i	i	Cc
njegovu	njegov	Ps3nsl
trajanju	trajanje	Ncnsl
podnositelja	podnositelj	Ncmpg
zahtjeva	zahtjev	Ncmpg
izdano	izdati	Appnsny
od	od	Sg
nadležnog	nadležan	Agpnsgy
tijela	tijelo	Ncnsg
(	(	Z
Ministarstvo	ministarstvo	Ncnsn
unutarnjih	unutarnji	Agpmpgy
poslova	posao	Ncmpg
)	)	Z
,	,	Z

–	i	Agpnsny
uvjerenje	uvjerenje	Ncnsn
o	o	Sl
prebivalištu	prebivalište	Ncnsl
članova	član	Ncmpg
kućanstva	kućanstvo	Ncnsg
izdano	izdati	Appnsny
od	od	Sg
nadležnog	nadležan	Agpnsgy
tijela	tijelo	Ncnsg
(	(	Z
Ministarstvo	ministarstvo	Ncnsn
unutarnjih	unutarnji	Agpmpgy
poslova	posao	Ncmpg
)	)	Z
,	,	Z

–	i	Agpfsay
potvrdu	potvrda	Ncfsa
o	o	Sl
nezaposlenosti	nezaposlenost	Ncfsl
i	i	Cc
njegovu	njegov	Ps3nsl
trajanju	trajanje	Ncnsl
izdanu	izdati	Appfsay
od	od	Sg
nadležnog	nadležan	Agpnsgy
tijela	tijelo	Ncnsg
(	(	Z
Hrvatski	hrvatski	Agpmsny
zavod	zavod	Ncmsn
za	za	Sa
zapošljavanje	zapošljavanje	Ncnsa
)	)	Z
,	,	Z

–	i	Agpnsny
rješenje	rješenje	Ncnsn
ili	ili	Cc
potvrdu	potvrda	Ncfsa
o	o	Sl
stupnju	stupanj	Ncmsl
invalidnosti	invalidnost	Ncfsg
izdanu	izdati	Appfsay
od	od	Sg
nadležnog	nadležan	Agpnsgy
tijela	tijelo	Ncnsg
,	,	Z

–	–	Sa
braniteljsku	braniteljski	Agpfsay
iskaznicu	iskaznica	Ncfsa
ili	ili	Cc
potvrdu	potvrda	Ncfsa
o	o	Sl
braniteljskom	braniteljski	Agpmsly
statusu	status	Ncmsl
izdanu	izdati	Appfsay
od	od	Sg
nadležnog	nadležan	Agpnsgy
tijela	tijelo	Ncnsg
(	(	Z
Ministarstvo	ministarstvo	Ncnsn
branitelja	branitelj	Ncmpg
)	)	Z
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sl
postupku	postupak	Ncmsl
izdavanja	izdavanje	Ncnsg
umirovljenom	umirovljen	Agpmsly
ovlašteniku	ovlaštenik	Ncmsl
povlastice	povlastica	Ncfsg
za	za	Sa
gospodarski	gospodarski	Agpmsayn
ribolov	ribolov	Ncmsan
na	na	Sl
moru	more	Ncnsl
ili	ili	Cc
povlastice	povlastica	Ncfsg
za	za	Sa
uzgoj	uzgoj	Ncmsan
riba	riba	Ncfpg
i	i	Cc
drugih	drugi	Mlompg
morskih	morski	Agpmpgy
organizama	organizam	Ncmpg
potrebno	potreban	Agpnsny
je	biti	Var3s
dostaviti	dostaviti	Vmn
:	:	Z

–	i	Agpfsay
identifikacijsku	identifikacijski	Agpfsay
ispravu	isprava	Ncfsa
,	,	Z

–	–	Agpmsny
dokaz	dokaz	Ncmsn
o	o	Sl
umirovljenju	umirovljenje	Ncnsl
podnositelja	podnositelj	Ncmpg
zahtjeva	zahtjev	Ncmpg
,	,	Z

–	–	Mlomsn
dokaz	dokaz	Ncmsn
da	da	Cs
je	biti	Var3s
podnositelj	podnositelj	Ncmsn
bio	biti	Vap-sm
ovlaštenik	ovlaštenik	Ncmsn
