imovinom	imovina	Ncfsi
,	,	Z
odnosno	odnosno	Rgp
imovinskim	imovinski	Agpnpiy
pravima	pravo	Ncnpi
sukladno	sukladno	Rgp
članku	članak	Ncmsd
98.	98.	Mdo
stavku	stavak	Ncmsl
3.	3.	Mdo
i	i	Cc
članku	članak	Ncmsl
101.	101.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

5.	5.	Mdo
neslaganju	neslaganje	Ncnsl
roditelja	roditelj	Ncmpg
o	o	Sl
odlukama	odluka	Ncfpl
koje	koji	Pi-fpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
bitna	bitan	Agpnpay
osobna	osoban	Agpnpay
prava	pravo	Ncnpa
djeteta	dijete	Ncnsg
sukladno	sukladno	Rgp
članku	članak	Ncmsd
100.	100.	Mdo
stavku	stavak	Ncmsl
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

6.	6.	Mdo
neslaganju	neslaganje	Ncnsl
roditelja	roditelj	Ncmpg
o	o	Sl
odlukama	odluka	Ncfpl
koje	koji	Pi-fpn
su	biti	Var3p
bitne	bitan	Agpfpny
za	za	Sa
dijete	dijete	Ncnsa
sukladno	sukladan	Agpnsay
članku	članak	Ncfsa
109.	109.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
postupku	postupak	Ncmsl
radi	radi	Sg
mirovanja	mirovanje	Ncnsg
ostvarivanja	ostvarivanje	Ncnsg
roditeljske	roditeljski	Agpfsgy
skrbi	skrb	Ncfsg
zbog	zbog	Sg
pravnih	pravni	Agpmpgy
ili	ili	Cc
stvarnih	stvaran	Agpfpgy
zapreka	zapreka	Ncfpg
odlučuje	odlučivati	Vmr3s
se	sebe	Px--sa
o	o	Sl
:	:	Z

1.	1.	Mdo
neslaganju	neslaganje	Ncnsl
roditelja	roditelj	Ncmpg
ili	ili	Cc
roditelja	roditelj	Ncmpg
i	i	Cc
djetetova	djetetov	Ncmpg
skrbnika	skrbnik	Ncmpg
oko	oko	Sg
zastupanja	zastupanje	Ncnsg
djeteta	dijete	Ncnsg
u	u	Sl
slučaju	slučaj	Ncmsl
mirovanja	mirovanje	Ncnsg
ostvarivanja	ostvarivanje	Ncnsg
roditeljske	roditeljski	Agpfsgy
skrbi	skrb	Ncfsg
zbog	zbog	Sg
pravnih	pravni	Agpfpgy
zapreka	zapreka	Ncfpg
sukladno	sukladno	Rgp
članku	članak	Ncmsd
114.	114.	Mdo
stavku	stavak	Ncmsl
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

2.	2.	Mdo
mirovanju	mirovanje	Ncnsl
ostvarivanja	ostvarivanje	Ncnsg
roditeljske	roditeljski	Agpfsgy
skrbi	skrb	Ncfsg
zbog	zbog	Sg
stvarnih	stvaran	Agpfpgy
zapreka	zapreka	Ncfpg
te	te	Cc
njegovu	njegov	Ps3fsa
prestanku	prestanak	Ncmsl
sukladno	sukladan	Agpnsny
članku	članak	Ncmsl
115.	115.	Mdo
stavcima	stavak	Ncmpi
1.	1.	Mdo
i	i	Cc
4.	4.	Mdo
ovoga	ovaj	Pd-nsg
Zakona	zakon	Ncmsg
i	i	Cc

3.	3.	Mdo
povjeravanju	povjeravanje	Ncnsl
ostvarivanja	ostvarivanje	Ncnsg
roditeljske	roditeljski	Agpfsgy
skrbi	skrb	Ncfsg
drugom	drugi	Mlomsl
roditelju	roditelj	Ncmsl
u	u	Sl
slučaju	slučaj	Ncmsl
mirovanja	mirovanje	Ncnsg
ostvarivanja	ostvarivanje	Ncnsg
roditeljske	roditeljski	Agpfsgy
skrbi	skrb	Ncfsg
zbog	zbog	Sg
stvarnih	stvaran	Agpfpgy
zapreka	zapreka	Ncfpg
sukladno	sukladno	Rgp
članku	članak	Ncmsd
115.	115.	Mdo
stavku	stavak	Ncmsl
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sl
postupku	postupak	Ncmsl
radi	radi	Sg
povjeravanja	povjeravanje	Ncnsg
ostvarivanja	ostvarivanje	Ncnsg
roditeljske	roditeljski	Agpfsgy
skrbi	skrb	Ncfsg
zbog	zbog	Sg
smrti	smrt	Ncfsg
roditelja	roditelj	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
samostalno	samostalno	Rgp
ostvarivao	ostvarivati	Vmp-sm
roditeljsku	roditeljski	Agpfsay
skrb	skrb	Ncfsa
odlučuje	odlučivati	Vmr3s
se	sebe	Px--sa
o	o	Sl
povjeravanju	povjeravanje	Ncnsl
roditeljske	roditeljski	Agpfsgy
skrbi	skrb	Ncfsg
drugom	drugi	Mlomsl
roditelju	roditelj	Ncmsl
sukladno	sukladno	Rgp
članku	članak	Ncmsd
116.	116.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
U	u	Sl
postupku	postupak	Ncmsl
radi	radi	Sg
ostvarivanja	ostvarivanje	Ncnsg
osobnih	osoban	Agpmpgy
odnosa	odnos	Ncmpg
odlučuje	odlučivati	Vmr3s
se	sebe	Px--sa
o	o	Sl
:	:	Z

1.	1.	Mdo
pravu	pravo	Ncnsl
na	na	Sa
informacije	informacija	Ncfpa
o	o	Sl
bitnim	bitan	Agpfply
okolnostima	okolnost	Ncfpl
vezanim	vezan	Agpfply
uz	uz	Sa
osobna	osoban	Agpnpay
prava	pravo	Ncnpa
djeteta	dijete	Cc
sukladno	sukladno	Rgp
članku	članak	Ncmsd
112.	112.	Mdo
stavcima	stavak	Ncmpi
2.	2.	Mdo
i	i	Cc
4.	4.	Mdo
te	te	Cc
članku	članak	Ncmsl
121.	121.	Mdo
stavku	stavak	Ncmsl
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

2.	2.	Mdo
ostvarivanju	ostvarivanje	Ncnsl
osobnih	osoban	Agpmpgy
odnosa	odnos	Ncmpg
djeteta	dijete	Ncnsg
sa	sa	Si
srodnicima	srodnik	Ncmpi
i	i	Cc
drugim	drugi	Mlofpl
osobama	osoba	Ncfpl
iz	iz	Sg
članka	članak	Ncmsg
120.	120.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
i	i	Cc

3.	3.	Mdo
ograničenju	ograničenje	Ncnsd
ili	ili	Cc
zabrani	zabrana	Ncfsl
ostvarivanja	ostvarivanje	Ncnsg
osobnih	osoban	Agpmpgy
odnosa	odnos	Ncmpg
s	sa	Si
djetetom	dijete	Ncnsi
sukladno	sukladno	Rgp
članku	članak	Ncmsd
123.	123.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
i	i	Cc
članku	članak	Ncmsl
125.	125.	Mdo
stavku	stavak	Ncmsl
4.	4.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
i	i	Cc

4.	4.	Mdo
nadzoru	nadzor	Ncmsl
nad	nad	Si
ostvarivanjem	ostvarivanje	Ncnsi
osobnih	osoban	Agpmpgy
odnosa	odnos	Ncmpg
s	sa	Si
djetetom	dijete	Ncnsi
sukladno	sukladno	Rgp
članku	članak	Ncmsd
124.	124.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

Stranke	stranka	Ncfpn
u	u	Sl
postupku	postupak	Ncmsl

Članak	članak	Ncmsn
479.	479.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Postupke	postupak	Ncmpa
radi	radi	Sg
ostvarivanja	ostvarivanje	Ncnsg
pojedinih	pojedini	Agpmpgy
sadržaja	sadržaj	Ncmpg
roditeljske	roditeljski	Agpfsgy
skrbi	skrb	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
478.	478.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
mogu	moći	Vmr3p
pokrenuti	pokrenuti	Vmn
dijete	dijete	Ncnsa
ili	ili	Cc
roditelji	roditelj	Ncmpn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Postupke	postupak	Ncmpa
radi	radi	Sg
mirovanja	mirovanje	Ncnsg
ostvarivanja	ostvarivanje	Ncnsg
roditeljske	roditeljski	Agpfsgy
skrbi	skrb	Ncfsg
zbog	zbog	Sg
pravnih	pravni	Agpmpgy
razloga	razlog	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
478.	478.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
točke	točka	Ncfsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
mogu	moći	Vmr3p
pokrenuti	pokrenuti	Vmn
dijete	dijete	Ncnsa
,	,	Z
roditelji	roditelj	Ncmpn
ili	ili	Cc
skrbnik	skrbnik	Ncmsn
djeteta	dijete	Ncnsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Postupke	postupak	Ncmpa
radi	radi	Sg
mirovanja	mirovanje	Ncnsg
ostvarivanja	ostvarivanje	Ncnsg
roditeljske	roditeljski	Agpfsgy
skrbi	skrb	Ncfsg
zbog	zbog	Sg
stvarnih	stvaran	Agpmpgy
razloga	razlog	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
478.	478.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
točaka	točka	Ncfpg
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
mogu	moći	Vmr3p
pokrenuti	pokrenuti	Vmn
dijete	dijete	Ncnsa
,	,	Z
roditelji	roditelj	Ncmpn
ili	ili	Cc
centar	centar	Ncmsan
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Postupak	postupak	Ncmsn
radi	radi	Sg
povjeravanja	povjeravanje	Ncnsg
ostvarivanja	ostvarivanje	Ncnsg
roditeljske	roditeljski	Agpfsgy
skrb	skrb	Ncfsa
zbog	zbog	Sg
smrti	smrt	Ncfsg
roditelja	roditelj	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
samostalno	samostalno	Rgp
ostvarivao	ostvarivati	Vmp-sm
roditeljsku	roditeljski	Agpfsay
skrb	skrb	Ncfsa
iz	iz	Sg
članka	članak	Ncmsg
478.	478.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
mogu	moći	Vmr3p
pokrenuti	pokrenuti	Vmn
dijete	dijete	Ncnsa
,	,	Z
drugi	drugi	Mlomsn
roditelj	roditelj	Ncmsn
,	,	Z
ili	ili	Cc
centar	centar	Ncmsan
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Postupak	postupak	Ncmsn
radi	radi	Sg
ostvarivanja	ostvarivanje	Ncnsg
prava	pravo	Ncnsg
na	na	Sa
informacije	informacija	Ncfpa
o	o	Sl
bitnim	bitan	Agpfply
okolnostima	okolnost	Ncfpl
vezanim	vezan	Agpfply
uz	uz	Sa
osobna	osoban	Agpnpay
prava	pravo	Ncnpa
djeteta	dijete	Ncnsg
iz	iz	Sg
članka	članak	Ncmsg
478.	478.	Mdo
stavka	stavak	Ncmsg
4.	4.	Mdo
točke	točka	Ncfsg
1.	1.	Mdo
mogu	moći	Vmr3p
pokretati	pokretati	Vmn
dijete	dijete	Ncnsa
,	,	Z
roditelji	roditelj	Ncmpn
ili	ili	Cc
osobe	osoba	Ncfpn
koje	koji	Pi-fpn
imaju	imati	Vmr3p
pravo	pravo	Ncnsa
na	na	Sa
informaciju	informacija	Ncfsa
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Postupak	postupak	Ncmsn
radi	radi	Sg
ostvarivanja	ostvarivanje	Ncnsg
osobnih	osoban	Agpmpgy
odnosa	odnos	Ncmpg
djeteta	dijete	Ncnsg
sa	sa	Si
srodnicima	srodnik	Ncmpi
i	i	Cc
drugim	drugi	Mlofpl
osobama	osoba	Ncfpl
iz	iz	Sg
članka	članak	Ncmsg
478.	478.	Mdo
stavka	stavak	Ncmsg
4.	4.	Mdo
točke	točka	Ncfsg
2.	2.	Mdo
mogu	moći	Vmr3p
pokrenuti	pokrenuti	Vmn
dijete	dijete	Ncnsa
,	,	Z
roditelji	roditelj	Ncmpn
,	,	Z
srodnik	srodnik	Ncmsn
ili	ili	Cc
druge	drugi	Mlofsg
osobe	osoba	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
120.	120.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Postupke	postupak	Ncmpa
radi	radi	Sg
ograničenja	ograničenje	Ncnsg
ili	ili	Cc
zabrane	zabrana	Ncfsg
ostvarivanja	ostvarivanje	Ncnsg
osobnih	osoban	Agpmpgy
odnosa	odnos	Ncmpg
djeteta	dijete	Ncnsg
s	sa	Si
roditeljem	roditelj	Ncmsi
kao	kao	Cs
i	i	Cc
o	o	Sl
nadzoru	nadzor	Ncmsl
nad	nad	Si
njihovim	njihov	Agpnsiy
ostvarivanjem	ostvarivanje	Ncnsi
iz	iz	Sg
članka	članak	Ncmsg
478.	478.	Mdo
stavka	stavak	Ncmsg
4.	4.	Mdo
točaka	točka	Ncfpg
3.	3.	Mdo
i	i	Cc
4.	4.	Mdo
mogu	moći	Vmr3p
pokrenuti	pokrenuti	Vmn
dijete	dijete	Ncnsa
,	,	Z
roditelj	roditelj	Ncmsn
ili	ili	Cc
centar	centar	Ncmsan
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Dijete	dijete	Ncnsn
je	biti	Var3s
stranka	stranka	Ncfsn
postupka	postupak	Ncmsg
iz	iz	Sg
stavaka	stavak	Ncmpg
1.	1.	Mdo
do	do	Sg
7.	7.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
neovisno	neovisno	Rgp
o	o	Sl
tome	taj	Pd-nsl
je	biti	Var3s
li	li	Qq
ga	on	Pp3msa
pokrenulo	pokrenuti	Vmp-sn
.	.	Z

Mjesna	mjesni	Agpfsny
nadležnost	nadležnost	Ncfsn

Članak	članak	Ncmsn
480.	480.	Mdo

Za	za	Sa
suđenje	suđenje	Ncnsa
u	u	Sl
postupcima	postupak	Ncmpl
iz	iz	Sg
članka	članak	Ncmsg
478.	478.	Mdo
ovoga	ovaj	Pd-nsg
Zakona	zakon	Ncmsg
nadležan	nadležan	Agpmsnn
je	biti	Var3s
sud	sud	Ncmsn
koji	koji	Pi-msn
je	biti	Var3s
opće	opći	Agpnsny
mjesno	mjesno	Rgp
nadležan	nadležan	Agpmsnn
za	za	Sa
dijete	dijete	Ncnsa
.	.	Z

Podnošenje	podnošenje	Ncnsn
