precrtanih	precrtati	Appmpgy
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
se	sebe	Px--sa
radi	raditi	Vmr3s
o	o	Sl
većim	velik	Agcfply
pogreškama	pogreška	Ncfpl
,	,	Z
ispravljanje	ispravljanje	Ncnsa
upisa	upis	Ncmsg
se	sebe	Px--sa
vrši	vršiti	Vmr3s
na	na	Sa
način	način	Ncmsan
da	da	Cs
se	sebe	Px--sa
upis	upis	Ncmsn
poništava	poništavati	Vmr3s
precrtavanjem	precrtavanje	Ncnsi
cjelokupne	cjelokupan	Agpfsgy
rubrike	rubrika	Ncfsg
crvenom	crven	Agpfsiy
kosom	kosa	Ncfsi
crtom	crta	Ncfsi
te	te	Cc
se	sebe	Px--sa
upis	upis	Ncmsn
obavlja	obavljati	Vmr3s
u	u	Sl
prvoj	prvi	Mlofsl
slobodnoj	slobodan	Agpfsly
rubrici	rubrika	Ncfsl
.	.	Z

Način	način	Ncmsn
upisa	upis	Ncmsg
promjena	promjena	Ncfpg
u	u	Sa
registar	registar	Ncmsan

Članak	članak	Ncmsn
8.	8.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Promjene	promjena	Ncfpn
koje	koji	Pi-fpn
su	biti	Var3p
nastale	nastati	Vmp-pf
nakon	nakon	Sg
prvog	prvi	Mlomsg
upisa	upis	Ncmsg
u	u	Sa
registar	registar	Ncmsan
upisuju	upisivati	Vmr3p
se	sebe	Px--sa
u	u	Sa
prvu	prvi	Mlofsa
slobodnu	slobodan	Agpfsay
rubriku	rubrika	Ncfsa
redom	red	Ncmsi
kojim	koji	Pi-msi
su	biti	Var3p
prijavljene	prijaviti	Appfpny
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
kada	kada	Cs
su	biti	Var3p
rubrike	rubrika	Ncfpn
u	u	Sl
potpunosti	potpunost	Ncfsl
ispunjene	ispunjen	Agpfsgy
te	te	Cc
u	u	Sl
slučaju	slučaj	Ncmsl
kada	kada	Cs
udruga	udruga	Ncfsn
mijenja	mijenjati	Vmr3s
naziv	naziv	Ncmsn
,	,	Z
upis	upis	Ncmsn
se	sebe	Px--sa
nastavlja	nastavljati	Vmr3s
na	na	Sl
prvoj	prvi	Mlofsl
slobodnoj	slobodan	Agpfsly
stranici	stranica	Ncfsl
,	,	Z
na	na	Sa
koju	koji	Pi-fsa
se	sebe	Px--sa
prenosi	prenositi	Vmr3s
registarski	registarski	Agpmsny
broj	broj	Ncmsn
i	i	Cc
upisuje	upisivati	Vmr3s
ime	ime	Ncnsa
udruge	udruga	Ncfsg
,	,	Z
naznaka	naznaka	Ncfsn
prijenosa	prijenos	Ncmsg
uz	uz	Sa
naziv	naziv	Ncmsan
i	i	Cc
redni	redni	Agpmsayn
broj	broj	Ncmsan
knjige	knjiga	Ncfsg
