navedene	navesti	Appfpny
u	u	Sl
ovlaštenju	ovlaštenje	Ncnsl
.	.	Z

4.	4.	Mdo
MODUL	modul	Ncmsn
C2	c	Ncmsg
:	:	Z
SUKLADNOST	sukladnost	Ncfsn
S	sa	Si
TIPOM	tip	Ncmsi
NA	na	Sl
TEMELJU	temelj	Ncmsl
UNUTARNJE	unutarnji	Agpfsgy
KONTROLE	kontrola	Ncfsg
PROIZVODNJE	proizvodnja	Ncfsg
I	i	Cc
NADZIRANIH	nadzirati	Agpfpgy
PROVJERA	provjera	Ncfpg
TLAČNE	tlačni	Agpfsgy
OPREME	oprema	Ncfsg
U	u	Sl
NASUMIČNO	nasumično	Rgp
ODABRANIM	odabrati	Agpmply
VREMENSKIM	vremenski	Agpmply
RAZMACIMA	razmak	Ncmpl

1.	1.	Mdo
Sukladnost	sukladnost	Ncfsn
s	sa	Si
tipom	tip	Ncmsi
na	na	Sl
temelju	temelj	Ncmsl
unutarnje	unutarnji	Agpfsgy
kontrole	kontrola	Ncfsg
proizvodnje	proizvodnja	Ncfsg
i	i	Cc
nadziranih	nadzirati	Agpfpgy
provjera	provjera	Ncfpg
tlačne	tlačni	Agpfsgy
opreme	oprema	Ncfsg
u	u	Sl
nasumično	nasumično	Rgp
odabranim	odabrati	Agpmply
vremenskim	vremenski	Agpmply
razmacima	razmak	Ncmpl
dio	dio	Ncmsn
je	biti	Var3s
postupka	postupak	Ncmsg
ocjenjivanja	ocjenjivanje	Ncnsg
sukladnosti	sukladnost	Ncfsg
u	u	Sl
kojem	koji	Pi-msl
proizvođač	proizvođač	Ncmsn
ispunjava	ispunjavati	Vmr3s
obveze	obveza	Ncfpa
iz	iz	Sg
točaka	točka	Ncfpg
2.	2.	Mdo
,	,	Z
3.	3.	Mdo
i	i	Cc
4.	4.	Mdo
te	te	Cc
jamči	jamčiti	Vmr3s
i	i	Cc
izjavljuje	izjavljivati	Vmr3s
na	na	Sa
vlastitu	vlastit	Agpfsay
odgovornost	odgovornost	Ncfsa
da	da	Cs
je	biti	Var3s
dotična	dotičan	Agpfsny
tlačna	tlačni	Agpfsny
oprema	oprema	Ncfsn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
tipom	tip	Ncmsi
opisanim	opisati	Appmsiy
u	u	Sl
certifikatu	certifikat	Ncmsl
o	o	Sl
EU-pregledu	eu-pregled	Ncmsl
tipa	tip	Ncmsg
i	i	Cc
da	da	Cs
ispunjavaju	ispunjavati	Vmr3p
zahtjeve	zahtjev	Ncmpa
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmpg
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
isti	isti	Agpmsayn
.	.	Z

2.	2.	Mdo
Proizvodnja	proizvodnja	Ncfsn

Proizvođač	proizvođač	Ncmsn
poduzima	poduzimati	Vmr3s
sve	sav	Agpfpay
potrebne	potreban	Agpfpay
mjere	mjera	Ncfpa
kako	kako	Cs
bi	biti	Vaa3p
se	sebe	Px--sa
postupkom	postupak	Ncmsi
proizvodnje	proizvodnja	Ncfsg
i	i	Cc
njegovim	njegov	Agpnsiy
praćenjem	praćenje	Ncnsi
zajamčila	zajamčiti	Vmp-sf
sukladnost	sukladnost	Ncfsn
proizvedene	proizvesti	Agpfsgy
tlačne	tlačni	Agpfsgy
opreme	oprema	Ncfsg
s	sa	Si
tipom	tip	Ncmsi
opisanim	opisati	Appmsiy
u	u	Sl
certifikatu	certifikat	Ncmsl
o	o	Sl
EU-pregledu	eu-pregled	Ncmsl
tipa	tip	Ncmsg
i	i	Cc
sa	sa	Si
zahtjevima	zahtjev	Ncmpi
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
isti	isti	Agpmsayn
.	.	Z
3.	3.	Mdo
Završno	završan	Agpnsny
ocjenjivanje	ocjenjivanje	Ncnsn
i	i	Cc
provjere	provjera	Ncfsg
tlačne	tlačni	Agpfsgy
opreme	oprema	Ncfsg

Prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
koje	koji	Pi-nsn
je	biti	Var3s
izabrao	izabrati	Vmp-sm
proizvođač	proizvođač	Ncmsn
provodi	provoditi	Vmr3s
ili	ili	Cc
daje	davati	Vmr3s
provesti	provesti	Vmn
provjere	provjera	Ncfpa
u	u	Sl
nasumično	nasumično	Rgp
odabranim	odabrati	Agpmply
vremenskim	vremenski	Agpmply
razmacima	razmak	Ncmpi
koje	koji	Pi-mpa
odredi	odrediti	Vmr3s
to	taj	Pd-nsa
tijelo	tijelo	Ncnsa
,	,	Z
radi	radi	Sg
provjere	provjera	Ncfsg
kvalitete	kvaliteta	Ncfsg
završnog	završan	Agpnsgy
ocjenjivanja	ocjenjivanje	Ncnsg
i	i	Cc
unutarnjih	unutarnji	Agpfpgy
provjera	provjera	Ncfpg
tlačne	tlačni	Agpfsgy
opreme	oprema	Ncfsg
,	,	Z
uzimajući	uzimati	Rr
u	u	Sa
obzir	obzir	Ncmsan
između	između	Sg
ostalog	ostali	Agpnsgy
njezinu	njezin	Ps3fsa
tehnološku	tehnološki	Agpfsay
složenost	složenost	Ncfsa
i	i	Cc
količinu	količina	Ncfsa
proizvodnje	proizvodnja	Ncfsg
.	.	Z

Prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
utvrđuje	utvrđivati	Vmr3s
da	da	Cs
proizvođač	proizvođač	Ncmsn
uistinu	uistinu	Rgp
provodi	provoditi	Vmr3s
završnu	završan	Agpfsay
ocjenu	ocjena	Ncfsa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
točkom	točka	Ncfsi
3.2.	3.2.	Mds

Dodatka	dodatak	Ncmsg
I.	I.	Sg
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Prije	prije	Sg
stavljanja	stavljanje	Ncnsg
na	na	Sa
tržište	tržište	Ncnsa
pregledava	pregledavati	Vmr3s
se	sebe	Px--sa
odgovarajući	odgovarajući	Agpmsny
uzorak	uzorak	Ncmsn
gotove	gotov	Agpfsgy
tlačne	tlačni	Agpfsgy
opreme	oprema	Ncfsg
koju	koji	Pi-fsa
to	taj	Pd-nsa
prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
uzima	uzimati	Vmr3s
na	na	Sl
licu	lice	Ncnsl
mjesta	mjesto	Ncnsg
te	te	Cc
se	sebe	Px--sa
provode	provoditi	Vmr3p
odgovarajuća	odgovarajući	Agpnpay
ispitivanja	ispitivanje	Ncnpa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
relevantnim	relevantan	Agpmpiy
dijelovima	dio	Ncmpi
usklađenih	uskladiti	Agpfpgy
norma	norma	Ncfpg
