najkraćem	kratak	Agsmsly
roku	rok	Ncmsl
izvijestiti	izvijestiti	Vmn
Upravu	uprava	Ncfsa
za	za	Sa
veterinarstvo	veterinarstvo	Ncnsa
i	i	Cc
sigurnost	sigurnost	Ncfsa
hrane	hrana	Ncfsg
,	,	Z
nadležnu	nadležan	Agpfsay
ispostavu	ispostava	Ncfsa
veterinarskog	veterinarski	Agpmsgy
ureda	ured	Ncmsg
i	i	Cc
Laboratorij	laboratorij	Ncmsn
za	za	Sa
transmisivne	transmisivan	Agpfpay
spongiformne	spongiformni	Agpfpay
encefalopatije	encefalopatija	Ncfpa
HVI-a	HVI	Npmsg
u	u	Sl
Zagrebu	Zagreb	Npmsl
.	.	Z

Sumnja	sumnja	Ncfsn
na	na	Sa
grebež	grebea	Ncfpa
ovaca	ovca	Ncfpg
postavlja	postavljati	Vmr3s
se	sebe	Px--sa
u	u	Sl
svim	sav	Agpmply
slučajevima	slučaj	Ncmpl
pojave	pojava	Ncfsg
sljedećih	sljedeći	Agpmpgy
simptoma	simptom	Ncmpg
:	:	Z
neuobičajeno	neuobičajen	Agpnsny
ponašanje	ponašanje	Ncnsn
,	,	Z
odvajanje	odvajanje	Ncnsa
od	od	Sg
stada	stado	Ncnsg
,	,	Z
intenzivno	intenzivan	Agpnsny
žvakanje	žvakanje	Ncnsn
,	,	Z
ataksija	ataksija	Ncfsn
,	,	Z
neurološki	neurološki	Agpmpny
znakovi	znak	Ncmpn
,	,	Z
izraziti	izrazit	Agpmsny
svrbež	svrbež	Ncmsn
i	i	Cc
posljedični	posljedičan	Agpmsny
gubitak	gubitak	Ncmsn
vune	vuna	Ncfsg
(	(	Z
dlake	dlaka	Ncfpn
)	)	Z
te	te	Cc
u	u	Sl
kasnijoj	kasan	Agcfsly
fazi	faza	Ncfsl
bolesti	bolest	Ncfsg
,	,	Z
lezije	lezija	Ncfsg
na	na	Sl
koži	koža	Ncfsl
,	,	Z
gubitak	gubitak	Ncmsn
težine	težina	Ncfsg
,	,	Z
gubitak	gubitak	Ncmsn
apetita	apetit	Ncmsg
,	,	Z
letargija	letargija	Ncfsn
i	i	Cc
grčevi	grč	Ncmpn
.	.	Z

Prilikom	prilikom	Sg
postavljanja	postavljanje	Ncnsg
sumnje	sumnja	Ncfsg
na	na	Sa
bjesnoću	bjesnoća	Ncfsa
u	u	Sa
ovce	ovca	Ncfpa
ili	ili	Cc
koze	koza	Ncfsg
obavezno	obavezan	Agpnsny
je	biti	Var3s
isključivanje	isključivanje	Ncnsn
grebeža	grebeža	Ncfpg
ovaca	ovca	Ncfpg
u	u	Sa
sumnjive	sumnjiv	Agpfpay
životinje	životinja	Ncfpa
.	.	Z

O	o	Sl
dostavi	dostava	Ncfsl
lešine	lešina	Ncfsg
sumnjive	sumnjiv	Agpfsgy
životinje	životinja	Ncfsg
u	u	Sa
sabiralište	sabiralište	Ncnsa
ili	ili	Cc
objekt	objekt	Ncmsan
za	za	Sa
preradu	prerada	Ncfsa
nusproizvoda	nusproizvod	Ncmsg
Kategorije	kategorija	Ncfsg
1	1	Mdc
(	(	Z
lešina	lešina	Ncfsn
)	)	Z
,	,	Z
obavezno	obavezan	Agpnsny
je	biti	Var3s
izvijestiti	izvijestiti	Vmn
nadležnog	nadležan	Agpmsgy
veterinarskog	veterinarski	Agpmsgy
inspektora	inspektor	Ncmsg
za	za	Sa
uzimanje	uzimanje	Ncnsa
uzoraka	uzorak	Ncmpg
na	na	Sa
kontakt	kontakt	Ncmsan
telefon	telefon	Ncmsn
objavljen	objaviti	Appmsnn
na	na	Sl
službenoj	služben	Agpfsly
web-stranici	web-stranica	Ncfsl
Uprave	uprava	Ncfsg
:	:	Z
www.veterinarstvo.hr	www.veterinarstvo.hr	X
.	.	Z

13.	13.	Mdo

ENZOOTSKI	enzootski	Agpmsny
POBAČAJ	pobačaj	Ncmsn
OVACA	ovca	Ncfpg

U	u	Sl
slučaju	slučaj	Ncmsl
pobačaja	pobačaj	Ncmsg
ovce	ovca	Ncfsg
ili	ili	Cc
koze	koza	Ncfsg
