učinkovitog	učinkovit	Agpmsgy
i	i	Cc
ekonomičnog	ekonomičan	Agpnsgy
uređenja	uređenje	Ncnsg
položaja	položaj	Ncmsg
robe	roba	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
se	sebe	Px--sa
niti	niti	Qo
nakon	nakon	Sg
provedene	provesti	Agpfsgy
treće	treći	Ncfsg
dražbe	dražba	Ncfsg
ne	ne	Qz
može	moći	Vmr3s
odrediti	odrediti	Vmn
da	da	Cs
je	biti	Var3s
dražba	dražba	Ncfsn
uspjela	uspjeti	Vmp-sf
,	,	Z
Povjerenstvo	povjerenstvo	Ncnsn
utvrđuje	utvrđivati	Vmr3s
da	da	Cs
se	sebe	Px--sa
neće	htjeti	Var3s
ponovno	ponovno	Rgp
provoditi	provoditi	Vmn
dražba	dražba	Ncfsn
i	i	Cc
određuje	određivati	Vmr3s
daljnje	daljnji	Agpfsgy
radnje	radnja	Ncfsg
radi	radi	Sg
uređenja	uređenje	Ncnsg
položaja	položaj	Ncmsg
robe	roba	Ncfsg
.	.	Z

ODJELJAK	odjeljak	Ncmsn
3.	3.	Mdo
ELEKTRONIČKA	elektronički	Agpfsny
JAVNA	javan	Agpfsny
DRAŽBA	dražba	Ncfsn

Elektronička	elektronički	Agpfsny
javna	javan	Agpfsny
dražba	dražba	Ncfsn

Članak	članak	Ncmsn
25.	25.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Na	na	Sl
elektroničkoj	elektronički	Agpfsly
javnoj	javan	Agpfsly
dražbi	dražba	Ncfsl
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
e-dražba	e-dražba	Ncfsn
)	)	Z
roba	roba	Ncfsn
se	sebe	Px--sa
prodaje	prodaja	Ncfsg
ponuditelju	ponuditelj	Ncmsd
koji	koji	Pi-msn
je	biti	Var3s
elektroničkim	elektronički	Agpmsiy
putem	put	Ncmsi
ponudio	ponuditi	Vmp-sm
najvišu	visok	Ncfsa
