Hrvatske	Hrvatska	Npfsg
,	,	Z
koje	koji	Pi-nsn
se	sebe	Px--sa
nalazi	nalaziti	Vmr3s
izvan	izvan	Sg
građevinskih	građevinski	Agpnpgy
područja	područje	Ncnpg
i	i	Cc
usklađeno	uskladiti	Appnsny
je	biti	Var3s
s	sa	Si
drugim	drugi	Agpfpiy
površinama	površina	Ncfpi
državnog	državni	Agpmsgy
značaja	značaj	Ncmsg
.	.	Z

DIO	dio	Ncmsn
PETI	peti	Mlomsn
MJERILA	mjeriti	Vmp-sf
KARTOGRAFSKIH	kartografski	Agpmpgy
PRIKAZA	prikaz	Ncmpg
PLANA	plan	Ncmsg

Podloga	podloga	Ncfsn
za	za	Sa
izradu	izrada	Ncfsa
grafičkog	grafički	Agpmsgy
dijela	dio	Ncmsg
Plana	plan	Ncmsg

Članak	članak	Ncmsn
14.	14.	Mdo

Podloga	podloga	Ncfsn
za	za	Sa
izradu	izrada	Ncfsa
grafičkog	grafički	Agpmsgy
dijela	dio	Ncmsg
Plana	plan	Ncmsg
je	biti	Var3s
službena	služben	Agpfsny
digitalna	digitalan	Agpfsny
ortofoto	ortofoto	Agpfsny
karta	karta	Ncfsn
izrađena	izraditi	Appfsny
na	na	Sl
temelju	temelj	Ncmsl
aerofotogrametrijskog	aerofotogrametrijski	Agpnsgy
snimanja	snimanje	Ncnsg
.	.	Z

Grafički	grafički	Agpmsny
dio	dio	Ncmsn
Plana	plan	Ncmsg
u	u	Sl
elektroničkom	elektronički	Agpmsly
obliku	oblik	Ncmsl

Članak	članak	Ncmsn
15.	15.	Mdo

Grafički	grafički	Agpmsny
dio	dio	Ncmsn
Plana	plan	Ncmsg
učitan	učitati	Appmsnn
pomoću	pomoć	Sg
modula	modul	Ncmpg
ePlanovi	eplanov	Ncfsg
prikazuje	prikazivati	Vmr3s
se	sebe	Px--sa
u	u	Sl
informacijskom	informacijski	Agpmsly
sustavu	sustav	Ncmsl
prostornog	prostoran	Agpnsgy
uređenja	uređenje	Ncnsg
u	u	Sl
promjenjivom	promjenjiv	Agpnsly
mjerilu	mjerilo	Ncnsl
u	u	Sl
rasponu	raspon	Ncmsl
od	od	Sg
1:500	1:500	Mdc
do	do	Sg
1:2.500.000	1:2.500.000	Mdc
s	sa	Si
mogućnošću	mogućnost	Ncfsi
preklapanja	preklapanje	Ncnsg
s	sa	Si
različitim	različit	Agpfpiy
službenim	služben	Agpfpiy
kartama	karta	Ncfpi
.	.	Z

Analogni	analogan	Agpmsny
ispis	ispis	Ncmsn
kartografskog	kartografski	Agpmsgy
prikaza	prikaz	Ncmsg
Plana	plan	Ncmsg

Članak	članak	Ncmsn
16.	16.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Analogni	analogan	Agpmsny
ispis	ispis	Ncmsn
kartografskog	kartografski	Agpmsgy
prikaza	prikaz	Ncmsg
Plana	plan	Ncmsg
stvara	stvarati	Vmr3s
se	sebe	Px--sa
iz	iz	Sg
modula	modul	Ncmsg
ePlanovi	eplanov	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Analogni	analogan	Agpmsny
ispis	ispis	Ncmsn
kartografskog	kartografski	Agpmsgy
prikaza	prikaz	Ncmsg
Plana	plan	Ncmsg
ispisuje	ispisivati	Vmr3s
se	sebe	Px--sa
u	u	Sl
mjerilu	mjerilo	Ncnsl
1:250.000	1:250.000	Mdc
preko	preko	Sg
topografske	topografski	Agpfsgy
karte	karta	Ncfsg
,	,	Z
osim	osim	Sg
kartografskog	kartografski	Agpmsgy
prikaza	prikaz	Ncmsg
na	na	Sl
kojemu	koji	Pi-msl
se	sebe	Px--sa
određuju	određivati	Vmr3p
građevinska	građevinski	Agpnpny
područja	područje	Ncnpn
državnog	državni	Agpmsgy
značaja	značaj	Ncmsg
koji	koji	Pi-msn
se	sebe	Px--sa
ispisuje	ispisivati	Vmr3s
u	u	Sl
mjerilu	mjerilo	Ncnsl
1:5.000	1:5.000	Mdc
preko	preko	Sg
katastarskog	katastarski	Agpmsgy
plana	plan	Ncmsg
,	,	Z
službene	služben	Agpfsgy
digitalne	digitalan	Agpfsgy
ortofoto	ortofoto	Agpfsgy
karte	karta	Ncfsg
i	i	Cc
/	/	Z
ili	ili	Cc
hrvatske	hrvatski	Agpfsgy
osnovne	osnovan	Agpfsgy
karte	karta	Ncfsg
.	.	Z

DIO	dio	Ncmsn
ŠESTI	šesti	Mlomsn
STANDARD	standard	Ncmsn
ELABORATA	elaborat	Ncmpg
I	i	Cc
ELEKTRONIČKI	elektronički	Agpmsny
STANDARD	standard	Ncmsn
PLANA	plan	Ncmsg

Izrada	izrada	Ncfsn
elaborata	elaborat	Ncmpg
Plana	plan	Ncmsg

Članak	članak	Ncmsn
17.	17.	Mdo

Elaborat	elaborat	Ncmsn
Plana	plan	Ncmsg
se	sebe	Px--sa
izrađuje	izrađivati	Vmr3s
u	u	Sl
elektroničkom	elektronički	Agpmsly
obliku	oblik	Ncmsl
kao	kao	Cs
vektorski	vektorski	Agpmsny
topološki	topološki	Agpmsny
pravilno	pravilno	Rgp
uređen	urediti	Appmsnn
prikaz	prikaz	Ncmsn
podataka	podatak	Ncmpg
povezan	povezati	Appmsnn
s	sa	Si
pripadajućim	pripadajući	Agpmpiy
tekstualnim	tekstualan	Agpmpiy
opisima	opis	Ncmpi
,	,	Z
izrađen	izraditi	Appmsnn
preko	preko	Sg
podloge	podloga	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
14.	14.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Grafički	grafički	Agpmsny
dio	dio	Ncmsn
Plana	plan	Ncmsg

Članak	članak	Ncmsn
18.	18.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Grafički	grafički	Agpmsny
dio	dio	Ncmsn
Plana	plan	Ncmsg
u	u	Sl
elektroničkom	elektronički	Agpmsly
obliku	oblik	Ncmsl
izrađuju	izrađivati	Vmr3p
se	sebe	Px--sa
u	u	Sl
aplikacijama	aplikacija	Ncfpl
koje	koji	Pi-fpn
omogućavaju	omogućavati	Vmr3p
izradu	izrada	Ncfsa
zapisa	zapis	Ncmpg
u	u	Sl
formatu	format	Ncmsl
