nepoljoprivrednih	nepoljoprivredni	Agpfpgy
djelatnosti	djelatnost	Ncfpg
su	biti	Var3p
:	:	Z

1.	1.	Mdo
zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
prve	prvi	Mlofsg
rate	rata	Ncfsg
podnosi	podnositi	Vmr3s
se	sebe	Px--sa
nakon	nakon	Sg
zaprimanja	zaprimanje	Ncnsg
odluke	odluka	Ncfsg
o	o	Sl
dodjeli	dodjela	Ncfsl
potpore	potpora	Ncfsg
,	,	Z

2.	2.	Mdo
zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
druge	drugi	Mlofsg
/	/	Z
zadnje	zadnji	Agpfsgy
rate	rata	Ncfsg
podnosi	podnositi	Vmr3s
se	sebe	Px--sa
nakon	nakon	Sg
provedenih	provesti	Agpfpgy
aktivnosti	aktivnost	Ncfpg
prikazanih	prikazan	Agpmpgy
u	u	Sl
Poslovnom	poslovan	Agpmsly
planu	plan	Ncmsl
,	,	Z
ali	ali	Cc
ne	ne	Qz
kasnije	kasno	Rgc
od	od	Sg
tri	tri	Mlc
godine	godina	Ncfsg
od	od	Sg
odluke	odluka	Ncfsg
o	o	Sl
dodjeli	dodjela	Ncfsl
potpore	potpora	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Rokovi	rok	Ncmpn
podnošenja	podnošenje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
po	po	Sl
ratama	rata	Ncfpl
za	za	Sa
tip	tip	Ncmsan
operacije	operacija	Ncfsg
6.3.1.	6.3.1.	Mds

Potpora	potpora	Ncfsn
razvoju	razvoj	Ncmsd
malih	mali	Agpnpgy
poljoprivrednih	poljoprivredni	Agpnpgy
gospodarstava	gospodarstvo	Ncnpg
su	biti	Var3p
:	:	Z

1.	1.	Mdo
zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
prve	prvi	Mlofsg
rate	rata	Ncfsg
podnosi	podnositi	Vmr3s
se	sebe	Px--sa
nakon	nakon	Sg
zaprimanja	zaprimanje	Ncnsg
odluke	odluka	Ncfsg
o	o	Sl
dodjeli	dodjela	Ncfsl
potpore	potpora	Ncfsg
,	,	Z

2.	2.	Mdo
zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
druge	drugi	Mlofsg
/	/	Z
zadnje	zadnji	Agpfsgy
rate	rata	Ncfsg
podnosi	podnositi	Vmr3s
se	sebe	Px--sa
nakon	nakon	Sg
provedenih	provesti	Agpfpgy
aktivnosti	aktivnost	Ncfpg
prikazanih	prikazan	Agpmpgy
u	u	Sl
poslovnom	poslovan	Agpmsly
planu	plan	Ncmsl
,	,	Z
ali	ali	Cc
ne	ne	Qz
kasnije	kasno	Rgc
od	od	Sg
tri	tri	Mlc
godine	godina	Ncfsg
od	od	Sg
odluke	odluka	Ncfsg
o	o	Sl
dodjeli	dodjela	Ncfsl
potpore	potpora	Ncfsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
dostaviti	dostaviti	Vmn
zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
svake	svaki	Pi-fsg
rate	rata	Ncfsg
u	u	Sl
elektronskom	elektronski	Agpmsly
obliku	oblik	Ncmsl
putem	put	Sg
AGRONET	AGRONE	Npmsg
sustava	sustav	Ncmsg
koji	koji	Pi-msn
se	sebe	Px--sa
nalazi	nalaziti	Vmr3s
na	na	Sl
mrežnim	mrežni	Agpfply
stranicama	stranica	Ncfpl
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
(	(	Z
www.apprrr.hr	www.apprrr.hr	X
)	)	Z
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Način	način	Ncmsan
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
pojašnjen	pojasniti	Appmsnn
je	biti	Var3s
u	u	Sl
Vodiču	vodič	Ncmsl
za	za	Sa
korisnike	korisnik	Ncmpa
koji	koji	Pi-msn
