odgođena	odgoditi	Appfsny
te	te	Cc
je	biti	Var3s
određeno	odrediti	Appnsny
da	da	Cs
će	htjeti	Var3s
se	sebe	Px--sa
dopunski	dopunski	Agpmsny
saslušati	saslušati	Agpmsny
podnositelj	podnositelj	Ncmsn
i	i	Cc
svjedok	svjedok	Ncmsn
,	,	Z
zatim	zatim	Rgp
podnositelju	podnositelj	Ncmsl
je	biti	Var3s
naloženo	naložiti	Appnsny
da	da	Cs
specificira	specificirati	Vmr3s
tužbeni	tužbeni	Agpmsayn
zahtjev	zahtjev	Ncmsan
te	te	Cc
je	biti	Var3s
određeno	odrediti	Appnsny
da	da	Cs
se	sebe	Px--sa
ponovno	ponovno	Rgp
zatraže	zatražiti	Vmr3p
određeni	određen	Agpmpny
podaci	podatak	Ncmpn
;	;	Z

–	i	Agpnsly
na	na	Sl
ročištu	ročište	Ncnsl
održanom	održan	Agpnsly
18.	18.	Mdo
listopada	listopad	Ncmsg
2004.	2004.	Mdo
saslušan	saslušati	Appmsnn
je	biti	Var3s
podnositelj	podnositelj	Ncmsn
,	,	Z
zatim	zatim	Rgp
raspravnim	raspravni	Agpnsiy
rješenjem	rješenje	Ncnsi
je	biti	Var3s
dopušteno	dopustiti	Appnsny
preinačenje	preinačenje	Ncnsn
tužbe	tužba	Ncfsg
te	te	Cc
je	biti	Var3s
sud	sud	Ncmsn
zaključio	zaključiti	Vmp-sm
glavnu	glavni	Agpfsay
raspravu	rasprava	Ncfsa
i	i	Cc
odlučio	odlučiti	Vmp-sm
donijeti	donijeti	Vmn
međupresudu	međupresuda	Ncfsa
;	;	Z

–	i	Agpnsly
na	na	Sl
ročištu	ročište	Ncnsl
održanom	održan	Agpnsly
28.	28.	Mdo
listopada	listopad	Ncmsg
2004.	2004.	Mdo
sud	sud	Ncmsn
je	biti	Var3s
objavio	objaviti	Vmp-sm
djelomičnu	djelomičan	Agpfsay
presudu	presuda	Ncfsa
kojom	koji	Pi-fsi
je	biti	Var3s
