primjeren	primjeriti	Appmsnn
uredski	uredski	Agpmsny
prostor	prostor	Ncmsn
(	(	Z
telefon	telefon	Ncmsn
,	,	Z
osobno	osoban	Agpnsay
računalo	računalo	Ncnsa
s	sa	Si
priključkom	priključak	Ncmsi
na	na	Sa
Internet	internet	Ncmsan
,	,	Z
soba	soba	Ncfsn
za	za	Sa
sastanke	sastanak	Ncmpa
)	)	Z
Da	da	Cs
Ne	ne	Qz
N	N	Y
/	/	Z
p	p	Agpmsny
Predlagatelj	predlagatelj	Ncmsn
upisa	upis	Ncmsg
Datum	datum	Ncmsn
/	/	Z
potpis	potpis	Ncmsn
ovlaštene	ovlašten	Agpfsgy
osobe	osoba	Ncfsg
i	i	Cc
pečat	pečat	Ncmsan
Odluka	odluka	Ncfsn
o	o	Sl
upisu	upis	Ncmsl
(	(	Z
popunjava	popunjavati	Vmr3s
Tijelo	tijelo	Ncnsn
)	)	Z
Predloženi	predložen	Agpmsny
regionalni	regionalan	Agpmsny
koordinator	koordinator	Ncmsn
☐	☐	Z
udovoljava	udovoljavati	Vmr3s
uvjetima	uvjet	Ncmpd
za	za	Sa
upis	upis	Ncmsan
u	u	Sa
Upisnik	upisnik	Ncmsan
☐	☐	Z
ne	ne	Qz
udovoljava	udovoljavati	Vmr3s
uvjetima	uvjet	Ncmpd
za	za	Sa
upis	upis	Ncmsan
u	u	Sa
Upisnik	upisnik	Ncmsan
Datum	datum	Ncmsan
/	/	Z
potpis	potpis	Ncmsn
ovlaštene	ovlašten	Agpfsgy
osobe	osoba	Ncfsg
i	i	Cc
pečat	pečat	Ncmsan
Obrazloženje	obrazloženje	Ncnsn
(	(	Z
popunjava	popunjavati	Vmr3s
Tijelo	tijelo	Ncnsn
)	)	Z

PRILOG	prilog	Ncmsn
2	2	Mdc

IZJAVA	izjava	Ncfsn
ČELNIKA	čelnik	Ncmpg
TIJELA	tijelo	Ncnsg
PODNOSITELJA	podnositelj	Ncmpg
ZAHTJEVA	zahtjev	Ncmpg
*	*	Z
[	[	Z
1	1	Mdc
]	]	Z

Kojom	koji	Pi-fsi
_____________________________________________	_____________________________________________	Z
(	(	Z
ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
,	,	Z
OIB	OIB	Npmsn
)	)	Z
kao	kao	Cs
_______________________________	_______________________________	Npmsn
(	(	Z
župan	župan	Ncmsn
/	/	Z
gradonačelnik	gradonačelnik	Ncmsn
/	/	Z
načelnik	načelnik	Ncmsn
)	)	Z
__________________________	__________________________	Qr
(	(	Z
naziv	naziv	Ncmsn
jedinice	jedinica	Ncfsg
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfsgy
)	)	Z
samouprave	samouprava	Ncfsg
/	/	Z
jedinice	jedinica	Ncfsg
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
)	)	Z

IZJAVLJUJEM	izjavljivati	Vmr1s

Da	da	Cs
je	biti	Var3s
_________________________________	________________________________i	Agpnsny
(	(	Z
naziv	naziv	Ncmsn
regionalnog	regionalan	Agpmsgy
koordinatora	koordinator	Ncmsg
/	/	Z
lokalne	lokalan	Agpfsgy
razvojne	razvojan	Agpfsgy
agencije	agencija	Ncfsg
i	i	Cc
sjedište	sjedište	Ncnsa
)	)	Z
ovlašten	ovlašten	Agpmsnn
/	/	Z
a	a	Cc

predstavljati	predstavljati	Vmn
____________________________	____________________________	Ncmsan
(	(	Z
naziv	naziv	Ncmsn
jedinice	jedinica	Ncfsg
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfsgy
)	)	Z
samouprave	samouprava	Ncfsg
/	/	Z
jedinice	jedinica	Ncfsg
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
)	)	Z

kao	kao	Cs
__________________	__________________	Ncmsn
(	(	Z
regionalni	regionalan	Agpmsny
koordinator	koordinator	Ncmsn
/	/	Z
lokalna	lokalan	Agpfsny
razvojna	razvojan	Agpfsny
agencija	agencija	Ncfsn
)	)	Z
;	;	Z

Da	da	Cs
će	htjeti	Var3s
predloženom	predložen	Agpmsly
/	/	Z
oj	oj	I
_______________________________	_______________________________	Z
(	(	Z
regionalnom	regionalan	Agpmsly
koordinatoru	koordinator	Ncmsl
/	/	Z
lokalnoj	lokalan	Agpfsly
razvojnoj	razvojan	Agpfsly
agenciji	agencija	Ncfsl
)	)	Z
biti	biti	Van
osigurani	osigurati	Appmpny
svi	sav	Agpmpny

uvjeti	uvjet	Ncmpn
za	za	Sa
obavljanje	obavljanje	Ncnsa
poslova	posao	Ncmpg
iz	iz	Sg
___________________	__________________a	Ncfsg
(	(	Z
članka	članak	Ncmsg
25.	25.	Mdo
stavak	stavak	Ncmsn
1.	1.	Mdo
/	/	Z
članka	članak	Ncmsg
30.	30.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
)	)	Z
Zakona	zakon	Ncmsg
o	o	Sl
regionalnom	regionalan	Agpmsly
razvoju	razvoj	Ncmsl

Republike	republika	Ncfpn
Hrvatske	Hrvatska	Npfsg
.	.	Z

_________________________	_________________________	Qr
(	(	Z
potpis	potpis	Ncmsn
i	i	Cc
pečat	pečat	Ncmsn
ovlaštene	ovlašten	Agpfsgy
osobe	osoba	Ncfsg
)	)	Z

[	[	Z
1	1	Mdc
]	]	Z
*	*	Z
Ova	ovaj	Pd-fsn
Izjava	izjava	Ncfsn
izdaje	izdavati	Vmr3s
se	sebe	Px--sa
u	u	Sl
pisanom	pisan	Agpmsly
obliku	oblik	Ncmsl
,	,	Z
na	na	Sl
obrascu	obrazac	Ncmsl
s	sa	Si
memorandumom	memorandum	Ncmsi
nadležnog	nadležan	Agpnsgy
tijela	tijelo	Ncnsg
,	,	Z
potpisana	potpisati	Appfsny
od	od	Sg
ovlaštene	ovlašten	Agpfsgy
osobe	osoba	Ncfsg
te	te	Cc
ovjerena	ovjeriti	Appfsny
pečatom	pečat	Ncmsi

