odgovarajući	odgovarajući	Agpmsny
postupak	postupak	Ncmsn
ocjenjivanja	ocjenjivanje	Ncnsg
sukladnosti	sukladnost	Ncfsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
14.	14.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Osiguravaju	osiguravati	Vmr3p
da	da	Cs
je	biti	Var3s
proizvođač	proizvođač	Ncmsn
sastavio	sastaviti	Vmp-sm
tehničku	tehnički	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
,	,	Z
da	da	Cs
tlačna	tlačni	Agpfsny
oprema	oprema	Ncfsn
ili	ili	Cc
sklopovi	sklop	Ncmpn
nose	nositi	Vmr3p
oznaku	oznaka	Ncfsa
CE	CE	Npmsn
i	i	Cc
da	da	Cs
su	biti	Var3p
im	oni	Pp3-pd
priložene	priložen	Agpfpny
upute	uputa	Ncfpn
i	i	Cc
podaci	podatak	Ncmpn
o	o	Sl
sigurnosti	sigurnost	Ncfsl
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
točkama	točka	Ncfpi
3.3.	3.	Agpfpiy
i	i	Cc
3.4.	3.4.	Mds

Dodatka	dodatak	Ncmsg
I.	I.	Sg
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
te	te	Cc
da	da	Cs
je	biti	Var3s
proizvođač	proizvođač	Ncmsn
udovoljio	udovoljiti	Vmp-sm
zahtjevima	zahtjev	Ncmpi
iz	iz	Sg
članka	članak	Ncmsg
6.	6.	Mdo
stavaka	stavak	Ncmpg
5.	5.	Mdo
i	i	Cc
6.	6.	Mdo
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Prije	prije	Sg
stavljanja	stavljanje	Ncnsg
na	na	Sa
tržište	tržište	Ncnsa
tlačne	tlačni	Agpfsgy
opreme	oprema	Ncfsg
i	i	Cc
sklopova	sklop	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
4.	4.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
uvoznici	uvoznik	Ncmpn
osiguravaju	osiguravati	Vmr3p
da	da	Cs
je	biti	Var3s
proizvođač	proizvođač	Ncmsn
sastavio	sastaviti	Vmp-sm
tehničku	tehnički	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
,	,	Z
da	da	Cs
su	biti	Var3p
uz	uz	Sa
tlačnu	tlačni	Agpfsay
opremu	oprema	Ncfsa
i	i	Cc
sklopove	sklop	Ncmpa
priložene	priložen	Agpfpay
prikladne	prikladan	Agpfpay
upute	uputa	Ncfpa
za	za	Sa
uporabu	uporaba	Ncfsa
te	te	Cc
da	da	Cs
je	biti	Var3s
proizvođač	proizvođač	Ncmsn
udovoljio	udovoljiti	Vmp-sm
zahtjevima	zahtjev	Ncmpi
iz	iz	Sg
članka	članak	Ncmsg
6.	6.	Mdo
stavaka	stavak	Ncmpg
5.	5.	Mdo
i	i	Cc
