OVLAŠĆIVANJA	ovlašćivanje	Ncnsg

I.	I.	Y

Poslove	posao	Ncmpa
uzimanja	uzimanje	Ncnsg
uzoraka	uzorak	Ncmpg
i	i	Cc
ispitivanja	ispitivanje	Ncnsg
voda	voda	Ncfpg
može	moći	Vmr3s
obavljati	obavljati	Vmn
pravna	pravni	Agpfsny
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
ispunjava	ispunjavati	Vmr3s
posebne	poseban	Agpmpay
uvjete	uvjet	Ncmpa
sukladno	sukladno	Rgp
člancima	članak	Ncmpd
9.	9.	Mdo
i	i	Cc
10.	10.	Mdo
ovoga	ovaj	Ncmsg
Pravilnika	pravilnik	Ncmsg
te	te	Cc
uvjete	uvjet	Ncmpa
:	:	Z

–	–	Ncmsn
tehničke	tehnički	Agpfsgy
opremljenosti	opremljenost	Ncfsg
(	(	Z
radne	radni	Agpfsgy
prostorije	prostorija	Ncfsg
,	,	Z
oprema	oprema	Ncfsn
i	i	Cc
pribor	pribor	Ncmsn
)	)	Z
i	i	Cc

–		Agcfsgy
stručnosti	stručnost	Ncfsg
i	i	Cc
brojnosti	brojnost	Ncfsg
zaposlenika	zaposlenik	Ncmpg
.	.	Z

II	ii	Mrc
.	.	Z

UVJETI	uvjet	Ncmpn
TEHNIČKE	tehnički	Agpfsgy
OPREMLJENOSTI	opremljenost	Ncfsg

1.	1.	Mdo
Radne	radni	Agpfsgy
prostorije	prostorija	Ncfsg

Stranka	stranka	Ncfsn
koja	koji	Pi-fsn
podnosi	podnositi	Vmr3s
zahtjev	zahtjev	Ncmsan
za	za	Sa
izdavanje	izdavanje	Ncnsa
rješenja	rješenje	Ncnsg
o	o	Sl
ispunjenju	ispunjenje	Ncnsl
posebnih	poseban	Agpmpgy
uvjeta	uvjet	Ncmpg
za	za	Sa
obavljanje	obavljanje	Ncnsa
djelatnosti	djelatnost	Ncfsg
uzimanja	uzimanje	Ncnsg
uzoraka	uzorak	Ncmpg
i	i	Cc
ispitivanja	ispitivanje	Ncnsg
fizikalno-kemijskih	fizikalno-kemijski	Agpmpgy
pokazatelja	pokazatelj	Ncmpg
u	u	Sl
vodi	voda	Ncfsl
mora	morati	Vmr3s
imati	imati	Vmn
u	u	Sl
vlasništvu	vlasništvo	Ncnsl
ili	ili	Cc
zakupu	zakup	Ncmsl
