članice	članica	Ncfpn
i	i	Cc
druge	drugi	Agpfsgy
jurisdikcije	jurisdikcija	Ncfsg
u	u	Sl
kojoj	koji	Pi-fsl
je	biti	Var3s
subjekt	subjekt	Ncmsn
koji	koji	Pi-msn
nije	biti	Var3s
financijska	financijski	Agpfsny
institucija	institucija	Ncfsn
rezident	rezidenti	Vmn
ili	ili	Cc
neku	neki	Pi-fsa
njezinu	njezin	Ps3fsa
političku	politički	Agpfsay
organizacijsku	organizacijski	Agpfsay
jedinicu	jedinica	Ncfsa
.	.	Z

8.	8.	Mdo
Značenje	značenje	Ncnsn
drugih	drugi	Mlompg
pojmova	pojam	Ncmpg

8.1.	8.1.	Mdo

Imatelj	imatelj	Ncmsn
računa	račun	Ncmsg

Članak	članak	Ncmsn
84.	84.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Imatelj	imatelj	Ncmsn
računa	račun	Ncmsg
podrazumijeva	podrazumijevati	Vmr3s
osobu	osoba	Ncfsa
koju	koji	Pi-fsa
je	biti	Var3s
financijska	financijski	Agpfsny
institucija	institucija	Ncfsn
koja	koji	Pi-fsn
vodi	voditi	Vmr3s
račun	račun	Ncmsan
navela	navesti	Vmp-sf
ili	ili	Cc
identificirala	identificirati	Vmp-sf
kao	kao	Cs
imatelja	imatelj	Ncmsay
financijskog	financijski	Agpmsgy
računa	račun	Ncmsg
.	.	Z

Osoba	osoba	Ncfsn
,	,	Z
različita	različit	Agpfsny
od	od	Sg
financijske	financijski	Agpfsgy
institucije	institucija	Ncfsg
,	,	Z
koja	koji	Pi-fsn
je	biti	Var3s
imatelj	imatelj	Ncmsn
financijskog	financijski	Agpmsgy
računa	račun	Ncmsg
u	u	Sa
korist	korist	Ncfsa
ili	ili	Cc
za	za	Sa
račun	račun	Ncmsan
druge	drugi	Mlofsg
osobe	osoba	Ncfpa
u	u	Sl
svojstvu	svojstvo	Ncnsl
agenta	agent	Ncmsg
,	,	Z
skrbnika	skrbnik	Ncmpg
,	,	Z
opunomoćenika	opunomoćenik	Ncmpg
,	,	Z
potpisnika	potpisnik	Ncmpg
,	,	Z
investicijskog	investicijski	Agpmsgy
