ovlašteni	ovlašten	Agpmsny
zastupnik	zastupnik	Ncmsn
,	,	Z
prema	prema	Sl
uputama	uputa	Ncfpl
tog	taj	Pd-nsg
tijela	tijelo	Ncnsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Nakon	nakon	Sg
oznake	oznaka	Ncfsg
CE	CE	Npfsg
,	,	Z
dodatne	dodatan	Agpfsgy
mjeriteljske	mjeriteljski	Agpfsgy
oznake	oznaka	Ncfsg
i	i	Cc
mogućeg	moguć	Agpmsgy
identifikacijskog	identifikacijski	Agpmsgy
broja	broj	Ncmsg
prijavljenog	prijaviti	Agpnsgy
tijela	tijelo	Ncnsg
može	moći	Vmr3s
slijediti	slijediti	Vmn
i	i	Qo
druga	drugi	Mlofsn
oznaka	oznaka	Ncfsn
kojom	koji	Pi-fsi
se	sebe	Px--sa
označuje	označivati	Vmr3s
poseban	poseban	Agpmsnn
rizik	rizik	Ncmsn
ili	ili	Cc
poseban	poseban	Agpmsann
način	način	Ncmsan
uporabe	uporaba	Ncfsg
vage	vaga	Ncfsg
.	.	Z

Oznaka	oznaka	Ncfsn
za	za	Sa
ograničavanje	ograničavanje	Ncnsa
uporabe	uporaba	Ncfsg

Članak	članak	Ncmsn
20.	20.	Mdo

Oznaka	oznaka	Ncfsn
navedena	navesti	Appfsny
u	u	Sl
članku	članak	Ncmsl
8.	8.	Mdo
stavku	stavak	Ncmsl
8.	8.	Mdo
i	i	Cc
Dodatku	dodatak	Ncmsl
III	III	Mrc
.	.	Z
točki	točka	Ncfsl
3.	3.	Mdo
mora	morati	Vmr3s
se	sebe	Px--sa
staviti	staviti	Vmn
na	na	Sa
vagu	vaga	Ncfsa
tako	tako	Cs
da	da	Cs
je	biti	Var3s
jasno	jasno	Rgp
vidljiva	vidljiv	Agpfsny
i	i	Cc
neizbrisiva	neizbrisiv	Agpfsny
.	.	Z

IV	IV	Mrc
.	.	Z

PRIJAVLJIVANJE	prijavljivanje	Ncnsn
TIJELA	tijelo	Ncnsg
ZA	za	Sa
OCJENJIVANJE	ocjenjivanje	Ncnsa
SUKLADNOSTI	sukladnost	Ncfsg

Obavješćivanje	obavješćivanje	Ncnsn

Članak	članak	Ncmsn
21.	21.	Mdo

Središnje	središnji	Agpnsny
tijelo	tijelo	Ncnsn
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
nadležno	nadležan	Agpnsny
za	za	Sa
mjeriteljstvo	mjeriteljstvo	Ncnsa
obvezno	obvezno	Rgp
je	biti	Var3s
službenim	služben	Agpmsiy
putem	put	Ncmsi
obavijestiti	obavijestiti	Vmn
