kao	kao	Cs
i	i	Qo
nalaz	nalaz	Ncmsan
psihijatra	psihijatar	Ncmsg
na	na	Sl
provedenom	provesti	Agpmsly
zdravstvenom	zdravstven	Agpmsly
pregledu	pregled	Ncmsl
,	,	Z
a	a	Cc
ocjena	ocjena	Ncfsn
1	1	Mdc
donosi	donositi	Vmr3s
se	sebe	Agpfpay
osobe	osoba	Ncfpa
s	sa	Sg
dekompenziranim	dekompenziranim	Ncfpg
i	i	Cc
/	/	Z
ili	ili	Cc
recidivirajućim	recidivirajući	Agpmply
poremećajima	poremećaj	Ncmpl
,	,	Z
ili	ili	Cc
su	biti	Var3p
na	na	Sl
terapiji	terapija	Ncfsl
psihofarmacima	psihofarmacim	Ncmpg
ili	ili	Cc
su	biti	Var3p
pod	pod	Si
redovitom	redovit	Agpfsiy
kontrolom	kontrola	Ncfsi
psihijatra	psihijatar	Ncmsg
te	te	Cc
osobama	osoba	Ncfpi
kojima	koji	Pi-fpd
je	biti	Var3s
rješenjem	rješenje	Ncnsi
utvrđen	utvrditi	Appmsnn
postotak	postotak	Ncmsn
tjelesnog	tjelesni	Agpnsgy
oštećenja	oštećenje	Ncnsg
–	–	Z
invaliditet	invaliditet	Ncmsan
na	na	Sl
osnovi	osnova	Ncfsl
tog	taj	Pd-msg
poremećaja	poremećaj	Ncmsg
.	.	Z

Ad	Ad	Sg
24.	24.	Mdo

Uz	uz	Sa
ovu	ovaj	Pd-fsa
točku	točka	Ncfsa
Popisa	popis	Ncmsg
ne	ne	Qz
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
dijagnoza	dijagnoza	Ncfsn
prema	prema	Sl
MKB-10	mkb-1e	Ncnsl
.	.	Z

Vojni	vojni	Agpmsny
psiholog	psiholog	Ncmsn
je	biti	Var3s
jedini	jedini	Agpmsny
ovlašten	ovlastiti	Appmsnn
postaviti	postaviti	Vmn
ovu	ovaj	Pd-fsa
točku	točka	Ncfsa
.	.	Z

Vojni	vojni	Agpmsny
psiholog	psiholog	Ncmsn
ovu	ovaj	Pd-fsa
točku	točka	Ncfsa
postavlja	postavljati	Vmr3s
na	na	Sl
temelju	temelj	Ncmsl
provedenih	provesti	Agpnpgy
psihologijskih	psihologijski	Agpnpgy
ispitivanja	ispitivanje	Ncnpg
u	u	Sl
slučaju	slučaj	Ncmsl
kada	kada	Cs
su	biti	Var3p
kognitivna	kognitivan	Agpnpny
odstupanja	odstupanje	Ncnpn
od	od	Sg
psihologijskih	psihologijski	Agpmpgy
kriterija	kriterij	Ncmpg
za	za	Sa
službu	služba	Ncfsa
izrazita	izrazit	Agpfsny
,	,	Z
tj.	tj.	Y
kada	kada	Cs
se	sebe	Px--sa
testiranjem	testiranje	Ncnsi
inteligencije	inteligencija	Ncfsg
utvrde	utvrda	Ncfsg
odstupanja	odstupanje	Ncnsg
i	i	Cc
deficiti	deficit	Ncmpn
koji	koji	Pi-mpn
(	(	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
MKB-10	MKB-10	Mdm
)	)	Z
spadaju	spadati	Vmr3p
u	u	Sa
kategoriju	kategorija	Ncfsa
»	»	Z
graničnog	graničan	Agpnsgy
intelektualnog	intelektualan	Agpnsgy
funkcioniranja	funkcioniranje	Ncnsg
«	«	Z
ili	ili	Cc
»	»	Z
mentalne	mentalan	Agpfsgy
retardacije	retardacija	Ncfsg
«	«	Z
i	i	Cc
/	/	Z
ili	ili	Cc
kada	kada	Cs
se	sebe	Px--sa
psihologijskim	psihologijski	Agpnply
ispitivanjima	ispitivanje	Ncnpl
utvde	utvda	Ncfsg
izrazita	izrazit	Agpnpny
odstupanja	odstupanje	Ncnpn
i	i	Cc
deficiti	deficit	Ncmpn
u	u	Sl
drugim	drugi	Mlofpl
kognitivnim	kognitivan	Agpfply
funkcijama	funkcija	Ncfpl
koja	koji	Pi-npn
upućuju	upućivati	Vmr3p
na	na	Sa
patološka	patološki	Agpnpay
stanja	stanje	Ncnpa
.	.	Z

Vojni	vojni	Agpmsny
psiholog	psiholog	Ncmsn
za	za	Sa
donošenje	donošenje	Ncnsa
ove	ovaj	Pd-fsg
ocjene	ocjena	Ncfsg
može	moći	Vmr3s
zatražiti	zatražiti	Vmn
kliničku	klinički	Agpfsay
psihologijsku	psihologijski	Agpfsay
obradu	obrada	Ncfsa
kod	kod	Sg
vojnoga	vojni	Agpmsgy
kliničkog	klinički	Agpmsgy
psihologa	psiholog	Ncmsg
.	.	Z

Ad	ai	Agpfsny
Skupina	skupina	Ncfsn
VI	VI	Mrc
.	.	Z

Ocjena	ocjena	Ncfsn
zdravstvene	zdravstven	Agpfsgy
sposobnosti	sposobnost	Ncfsg
donosi	donositi	Vmr3s
se	sebe	Px--sa
na	na	Sl
temelju	temelj	Ncmsl
specijalističkog	specijalistički	Agpmsgy
nalaza	nalaz	Ncmsg
neurologa	neurolog	Ncmsg
,	,	Z
rezultata	rezultat	Ncmpg
ispitivanja	ispitivanje	Ncnsg
(	(	Z
EEG	EEG	Npmsn
,	,	Z
EMG	EMG	Npmsn
i	i	Cc
drugih	drugi	Mlompg
)	)	Z
,	,	Z
kliničkog	klinički	Agpmsgy
pregleda	pregled	Ncmsg
te	te	Cc
bolničko-kliničkih	bolničko-klinički	Agpnpgy
ispitivanja	ispitivanje	Ncnpg
i	i	Cc
liječenja	liječenje	Ncnsg
.	.	Z

Ad	Ad	Qo
25.2.	25.2.	Mds

Ocjena	ocjena	Ncfsn
4	4	Mdc
donosi	donositi	Vmr3s
se	sebe	Px--sa
kada	kada	Cs
je	biti	Var3s
nakon	nakon	Sg
provedenog	provesti	Agpnsgy
liječenja	liječenje	Ncnsg
stanje	stanje	Ncnsn
bez	bez	Sg
funkcionalnog	funkcionalan	Agpnsgy
oštećenja	oštećenje	Ncnsg
,	,	Z
ocjena	ocjena	Ncfsn
3	3	Mdc
kada	kada	Cs
je	biti	Var3s
zaostalo	zaostalo	Rgp
lakše	lako	Rgc
funkcionalno	funkcionalan	Agpnsny
oštećenje	oštećenje	Ncnsn
,	,	Z
a	a	Cc
ocjena	ocjena	Ncfsn
1	1	Mdc
kada	kada	Cs
je	biti	Var3s
zaostalo	zaostati	Vmp-sn
srednje	srednji	Agpnsny
teško	teško	Rgp
i	i	Cc
teže	teško	Rgc
funkcionalno	funkcionalan	Agpnsny
oštećenje	oštećenje	Ncnsn
.	.	Z

Ad	Ad	Qo
26.2.	26.2.	Mds

Ocjena	ocjena	Ncfsn
4	4	Mdc
donosi	donositi	Vmr3s
se	sebe	Px--sa
kada	kada	Cs
je	biti	Var3s
nakon	nakon	Sg
provedenog	provesti	Agpnsgy
liječenja	liječenje	Ncnsg
stanje	stanje	Ncnsn
bez	bez	Sg
funkcionalnog	funkcionalan	Agpnsgy
oštećenja	oštećenje	Ncnsg
,	,	Z
ocjena	ocjena	Ncfsn
3	3	Mdc
kada	kada	Cs
je	biti	Var3s
zaostalo	zaostalo	Rgp
lakše	lako	Rgc
