pregleda	pregled	Ncmpg
koje	koji	Pi-mpa
je	biti	Var3s
obavilo	obaviti	Vmp-sn
prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
.	.	Z

Prijavljeno	prijaviti	Agpnsny
tijelo	tijelo	Ncnsn
mora	morati	Vmr3s
čuvati	čuvati	Vmn
primjerak	primjerak	Ncmsan
potvrde	potvrda	Ncfsg
o	o	Sl
EU	E	Npmsl
ispitivanju	ispitivanje	Ncnsl
tipa	tip	Ncmsg
,	,	Z
njezine	njezin	Ps3mpa
priloge	prilog	Ncmpa
i	i	Cc
dodatke	dodatak	Ncmpa
,	,	Z
kao	kao	Cs
i	i	Cc
tehničku	tehnički	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
,	,	Z
uključujući	uključivati	Rr
i	i	Cc
dokumentaciju	dokumentacija	Ncfsa
koju	koji	Pi-fsa
je	biti	Var3s
dostavio	dostaviti	Vmp-sm
proizvođač	proizvođač	Ncmsn
,	,	Z
u	u	Sl
razdoblju	razdoblje	Ncnsl
od	od	Sg
deset	deset	Mlc
godina	godina	Ncfpg
od	od	Sg
dana	dan	Ncmpg
kada	kada	Cs
je	biti	Var3s
radijska	radijski	Agpfsny
oprema	oprema	Ncfsn
ocijenjena	ocijeniti	Appfsny
,	,	Z
ili	ili	Cc
do	do	Sg
isteka	istek	Ncmsg
valjanosti	valjanost	Ncfsg
te	taj	Pd-fsg
potvrde	potvrda	Ncfsg
.	.	Z

9.	9.	Mdo
Proizvođač	proizvođač	Ncmsn
je	biti	Var3s
obvezan	obvezan	Agpmsnn
primjerak	primjerak	Ncmsn
potvrde	potvrda	Ncfsg
o	o	Sl
EU	E	Npmsl
ispitivanju	ispitivanje	Ncnsl
tipa	tip	Ncmsg
i	i	Cc
njezine	njezin	Ps3mpa
priloge	prilog	Ncmpa
i	i	Cc
dodatke	dodatak	Ncmpa
,	,	Z
zajedno	zajedno	Rgp
s	sa	Si
tehničkom	tehnički	Agpfsiy
dokumentacijom	dokumentacija	Ncfsi
,	,	Z
dati	dati	Vmn
na	na	Sa
uvid	uvid	Ncmsan
nadležnom	nadležan	Agpmsly
inspektoru	inspektor	Ncmsl
na	na	Sa
njegov	njegov	Ps3msan
zahtjev	zahtjev	Ncmsan
,	,	Z
u	u	Sl
razdoblju	razdoblje	Ncnsl
od	od	Sg
deset	deset	Mlc
godina	godina	Ncfpg
od	od	Sg
dana	dan	Ncmpg
stavljanja	stavljanje	Ncnsg
radijske	radijski	Agpfsgy
opreme	oprema	Ncfsg
na	na	Sa
tržište	tržište	Ncnsa
.	.	Z

10.	10.	Mdo

Ovlašteni	ovlašten	Agpmsny
zastupnik	zastupnik	Ncmsn
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
zahtjev	zahtjev	Ncmsan
iz	iz	Sg
točke	točka	Ncfsg
3.	3.	Mdo
te	te	Cc
ispuniti	ispuniti	Vmn
obveze	obveza	Ncfpa
iz	iz	Sg
točaka	točka	Ncfpg
7.	7.	Mdo
i	i	Cc
9.	9.	Mdo
ako	ako	Cs
su	biti	Var3p
te	taj	Pd-fpn
obveze	obveza	Ncfpn
navedene	navesti	Appfpny
u	u	Sl
njegovu	njegov	Ps3nsl
