prikupljati	prikupljati	Vmn
merističke	meristički	Agpmpay
podatke	podatak	Ncmpa
(	(	Z
vilična	viličan	Agpfsny
duljina	duljina	Ncfsn
ribe	riba	Ncfsg
,	,	Z
zakrivljena	zakriviti	Appfsny
vilična	viličan	Agpfsny
duljina	duljina	Ncfsn
,	,	Z
duljina	duljina	Ncfsn
do	do	Sg
prve	prvi	Mlofsg
leđne	leđni	Agpfsgy
peraje	peraja	Ncfsg
,	,	Z
duljina	duljina	Ncfsn
glave	glava	Ncfsg
)	)	Z
,	,	Z
ukupnu	ukupan	Agpfsay
masu	masa	Ncfsa
uzorkovane	uzorkovan	Agpfsgy
ribe	riba	Ncfsg
,	,	Z
biološke	biološki	Agpmpay
uzorke	uzorak	Ncmpa
peraje	peraja	Ncfsg
i	i	Cc
tkiva	tkivo	Ncnsg
,	,	Z
uzorkovanje	uzorkovanje	Ncnsn
prve	prvi	Mlofsg
žbice	žbica	Ncfsg
leđne	leđni	Agpfsgy
peraje	peraja	Ncfsg
i	i	Cc
otolita	otolit	Ncmpg
(	(	Z
radi	radi	Sg
određivanja	određivanje	Ncnsg
starosti	starost	Ncfsg
)	)	Z
.	.	Z

Nacionalni	nacionalan	Agpmpny
promatrači	promatrač	Ncmpn
dužni	dužan	Agpmpny
su	biti	Var3p
najkasnije	kasno	Rgs
do	do	Sg
1.	1.	Mdo
7.	7.	Mdo
2016.	2016.	Mdo
godine	godina	Ncfsg
dostaviti	dostaviti	Vmn
Ministarstvu	ministarstvo	Ncnsd
ispunjene	ispunjen	Agpmpay
obrasce	obrazac	Ncmpa
u	u	Sl
elektroničkom	elektronički	Agpmsly
obliku	oblik	Ncmsl
,	,	Z
kao	kao	Cs
i	i	Qo
kopije	kopija	Ncfpn
snimki	snimka	Ncfpg
prebacivanja	prebacivanje	Ncnsg
.	.	Z

VII	vii	Mrc
.	.	Z

Vlasnici	vlasnik	Ncmpn
/	/	Z
ovlaštenici	ovlaštenik	Ncmpn
povlastica	povlastica	Ncfpg
za	za	Sa
plovila	plovilo	Ncnpa
iz	iz	Sg
Dodatka	dodatak	Ncmsg
I	i	Cc
odnosno	odnosno	Rgp
njihovi	njihov	Ps3mpn
ovlašteni	ovlašten	Agpmpny
predstavnici	predstavnik	Ncmpn
obvezni	obvezan	Agpmpny
su	biti	Var3p
za	za	Sa
ICCAT	ICCAT	Npmsan
program	program	Ncmsan
regionalnih	regionalan	Agpmpgy
