uspostavljaju	uspostavljati	Vmr3p
se	sebe	Px--sa
i	i	Cc
primjenjuju	primjenjivati	Vmr3p
u	u	Sl
sektorima	sektor	Ncmpl
govedine	govedina	Ncfsg
i	i	Cc
teletine	teletina	Ncfsg
,	,	Z
svinjetine	svinjetina	Ncfsg
,	,	Z
ovčetine	ovčetina	Ncfsg
i	i	Cc
kozletine	kozletina	Ncfsg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Detaljne	detaljan	Agpfpny
odredbe	odredba	Ncfpn
kojih	koji	Pi-mpg
se	sebe	Px--sa
moraju	morati	Vmr3p
pridržavati	pridržavati	Vmn
pravne	pravni	Agpfpny
i	i	Cc
fizičke	fizički	Agpfpay
osobe	osoba	Ncfpa
u	u	Sl
pogledu	pogled	Ncmsl
poštivanja	poštivanje	Ncnsg
pravila	pravilo	Ncnsg
sustava	sustav	Ncmsg
javnih	javan	Agpfpgy
intervencija	intervencija	Ncfpg
i	i	Cc
privatnog	privatan	Agpnsgy
skladištenja	skladištenje	Ncnsg
,	,	Z
programa	program	Ncmpg
potpora	potpora	Ncfpg
i	i	Cc
programa	program	Ncmpg
odobravanja	odobravanje	Ncnsg
nasada	nasad	Ncmsg
vinove	vinov	Aspfsgy
loze	loza	Ncfsg
te	te	Cc
uspostave	uspostava	Ncfsg
sustava	sustav	Ncmsg
i	i	Cc
primjene	primjena	Ncfsg
ljestvice	ljestvica	Ncfpa
Unije	unija	Ncfsg
za	za	Sa
klasiranje	klasiranje	Ncnsa
trupova	trup	Ncmpg
utvrđenih	utvrditi	Appmpgy
ovim	ovaj	Pd-msi
člankom	članak	Ncmsi
,	,	Z
pristojbe	pristojba	Ncfsg
i	i	Cc
naknade	naknada	Ncfpa
u	u	Sl
provođenju	provođenje	Ncnsl
ovih	ovaj	Pd-fpg
mjera	mjera	Ncfpg
propisane	propisati	Appfpny
su	biti	Var3p
odredbama	odredba	Ncfpd
Uredbe	uredba	Ncfpn
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1308/2013	1308/2013	Mdc
,	,	Z
propisima	propis	Ncmpi
iz	iz	Sg
članka	članak	Ncmsg
8.	8.	Mdo
ovoga	ovaj	Pd-nsg
Zakona	zakon	Ncmsg
i	i	Cc
pravilnicima	pravilnik	Ncmpi
koje	koji	Pi-mpa
će	htjeti	Var3s
donijeti	donijeti	Vmn
ministar	ministar	Ncmsn
.	.	Z

Pravila	pravilo	Ncnpn
koja	koji	Pi-npn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
stavljanje	stavljanje	Ncnsa
na	na	Sa
tržište	tržište	Ncnsa
i	i	Cc
organizacije	organizacija	Ncfsg
proizvođača	proizvođač	Ncmsg

Članak	članak	Ncmsn
58.	58.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Pravilima	pravilo	Ncnpl
koja	koji	Pi-npn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
tržište	tržište	Ncnsa
i	i	Cc
organizacije	organizacija	Ncfpn
proizvođača	proizvođač	Ncmsg
uređuju	uređivati	Vmr3p
se	sebe	Px--sa
:	:	Z

–		Agpnpgy
pravila	pravilo	Ncnpg
koja	koji	Pi-npn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
stavljanje	stavljanje	Ncnsa
na	na	Sa
tržište	tržište	Ncnsa
proizvoda	proizvod	Ncmpg
iz	iz	Sg
sektora	sektor	Ncmsg
maslina	maslina	Ncfsn
i	i	Cc
maslinova	maslinov	Agpnpay
ulja	ulje	Ncnpa
,	,	Z
voća	voće	Ncnsg
i	i	Cc
povrća	povrće	Ncnsg
,	,	Z
prerađenih	prerađen	Agpmpgy
proizvoda	proizvod	Ncmpg
voća	voće	Ncnsg
i	i	Cc
povrća	povrće	Ncnsg
,	,	Z
banana	banana	Ncfsn
,	,	Z
živog	živ	Agpnsgy
bilja	bilje	Ncnsg
,	,	Z
jaja	jaje	Ncnpa
,	,	Z
mesa	meso	Ncnsg
peradi	perad	Ncfsg
,	,	Z
mazivih	maziv	Agpfpgy
masti	mast	Ncfpg
namijenjenih	namijenjen	Agpmpgy
prehrani	prehrana	Ncfpg
ljudi	čovjek	Ncmpg
i	i	Cc
hmelja	hmelj	Ncmsg

–	–	Pi-npa
posebna	poseban	Agpnpay
pravila	pravilo	Ncnpa
za	za	Sa
sektore	sektor	Ncmpa
šećera	šećer	Ncmsg
,	,	Z
vina	vino	Ncnsg
i	i	Cc
mlijeka	mlijeko	Ncnsg
i	i	Cc
mliječnih	mliječan	Agpmpgy
proizvoda	proizvod	Ncmpg

–		Agpnpgy
pravila	pravilo	Ncnpg
za	za	Sa
organizacije	organizacija	Ncfpa
proizvođača	proizvođač	Ncmpg
,	,	Z
udruženja	udruženje	Ncnsg
organizacija	organizacija	Ncfpg
proizvođača	proizvođač	Ncmsg
i	i	Cc
sektorske	sektorski	Agpfsgy
organizacije	organizacija	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Pravilima	pravilo	Ncnpl
koja	koji	Pi-npn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
stavljanje	stavljanje	Ncnsa
na	na	Sa
tržište	tržište	Ncnsa
uređuju	uređivati	Vmr3p
se	sebe	Px--sa
:	:	Z

–	–	Agpmpny
tržišni	tržišni	Agpmpny
standardi	standard	Ncmpn
za	za	Sa
proizvode	proizvod	Ncmpa
iz	iz	Sg
sektora	sektor	Ncmsg
maslina	maslina	Ncfsn
i	i	Cc
maslinova	maslinov	Agpnpay
ulja	ulje	Ncnpa
,	,	Z
voća	voće	Ncnsg
i	i	Cc
povrća	povrće	Ncnsg
,	,	Z
prerađenih	prerađen	Agpmpgy
proizvoda	proizvod	Ncmpg
voća	voće	Ncnsg
i	i	Cc
povrća	povrće	Ncnsg
,	,	Z
banana	banana	Ncfsn
,	,	Z
živog	živ	Agpnsgy
bilja	bilje	Ncnsg
,	,	Z
jaja	jaje	Ncnpa
,	,	Z
mesa	meso	Ncnsg
peradi	perad	Ncfsg
,	,	Z
mazivih	maziv	Agpfpgy
masti	mast	Ncfpg
namijenjenih	namijenjen	Agpmpgy
prehrani	prehrana	Ncmpg
ljudi	čovjek	Ncmpg

–	–	Z
sustav	sustav	Ncmsn
certifikacije	certifikacija	Ncfsg
