Ploče	ploča	Ncfpn
1	1	Mdc
Ispostava	Ispostava	Npfsn
Metković	Metković	Npmsn
2	2	Mdc
Ispostava	ispostava	Ncfsn
Korčula	Korčul	Npmsg
2	2	Mdc
7.2.1.7.	7.2.1.7.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
Grad	grad	Ncmsan
Zagreb	Zagreb	Npmsn
31	31	Mdc
7.2.2.	7.2.2.	Mdo

Služba	služba	Ncfsn
za	za	Sa
pravnu	pravni	Agpfsay
podršku	podrška	Ncfsa
7	7	Mdc
7.3.	7.3.	Mds

Sektor	sektor	Ncmsn
za	za	Sa
javno	javan	Agpnsay
zdravstvo	zdravstvo	Ncnsa
1	1	Mdc
7.3.1.	7.3.1.	Y

Služba	služba	Ncfsn
za	za	Sa
zdravstvene	zdravstven	Agpmpay
projekte	projekt	Ncmpa
i	i	Cc
programe	program	Ncmpa
U	u	Sl
Službi	služba	Ncfsl
u	u	Sl
sjedištu	sjedište	Ncnsl
7	7	Mdc
Područna	područni	Agpfsny
jedinica	jedinica	Ncfsn
Zagreb	Zagreb	Npmsn
–	–	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
1	1	Mdc
Područna	područni	Agpfsny
jedinica	jedinica	Ncfsn
Split	Split	Npmsn
–	–	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
1	1	Mdc
Područna	područni	Agpfsny
jedinica	jedinica	Ncfsn
Rijeka	Rijeka	Npfsn
–	–	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
1	1	Mdc
Područna	područni	Agpfsny
jedinica	jedinica	Ncfsn
Osijek	osijek	Ncmsn
–	–	Agpmsny
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
1	1	Mdc
7.3.2.	7.3.2.	Y

Služba	služba	Ncfsn
za	za	Sa
zdravstvene	zdravstven	Agpfpay
ustanove	ustanova	Ncfpa
i	i	Cc
radnike	radnik	Ncmpa
u	u	Sl
javnom	javan	Agpnsly
zdravstvu	zdravstvo	Ncnsl
7	7	Mdc
ukupno	ukupno	Rgp
323	323	Mdc
8.	8.	Mdo
SAMOSTALNI	samostalan	Agpmsayn
SEKTOR	sektor	Ncmsan
ZA	za	Sa
FINANCIJSKE	financijski	Agpmpay
POSLOVE	posao	Ncmpa
1	1	Mdc
8.1.	8.1.	Mds

Služba	služba	Ncfsn
za	za	Sa
državni	državni	Agpmsayn
proračun	proračun	Ncmsan
,	,	Z
analizu	analiza	Ncfsa
i	i	Cc
decentralizirane	decentraliziran	Agpfpay
funkcije	funkcija	Ncfpa
1	1	Mdc
8.1.1.	8.1.1.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
planiranje	planiranje	Ncnsa
i	i	Cc
pripremu	priprema	Ncfsa
5	5	Mdc
8.1.2.	8.1.2.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
analizu	analiza	Ncfsa
izvršenja	izvršenje	Ncnsg
5	5	Mdc
8.2.	8.2.	Mds

Služba	služba	Ncfsn
za	za	Sa
izvršenje	izvršenje	Ncnsa
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
,	,	Z
financijsko	financijski	Agpnsny
upravljanje	upravljanje	Ncnsn
i	i	Cc
kontrole	kontrola	Ncfsg
,	,	Z
računovodstvo	računovodstvo	Ncnsn
i	i	Cc
knjigovodstvo	knjigovodstvo	Ncnsa
1	1	Mdc
8.2.1.	8.2.1.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
izvršenje	izvršenje	Ncnsa
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
7	7	Mdc
8.2.2.	8.2.2.	Mds

Odjel	odjel	Ncmsn
za	za	Sa
računovodstvo	računovodstvo	Ncnsa
i	i	Cc
knjigovodstvo	knjigovodstvo	Ncnsa
7	7	Mdc
8.2.3.	8.2.3.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
financijsko	financijski	Agpnsay
upravljanje	upravljanje	Ncnsa
i	i	Cc
kontrole	kontrola	Ncfsg
5	5	Mdc
ukupno	ukupno	Rgp
32	32	Mdc
9.	9.	Mdo
SAMOSTALNI	samostalan	Agpmsayn
SEKTOR	sektor	Ncmsan
ZA	za	Sa
EUROPSKE	europski	Agpmpay
FONDOVE	fond	Ncmpa
,	,	Z
MEĐUNARODNE	međunarodni	Agpmpay
PROJEKTE	projekt	Ncmpa
I	i	Cc
JAVNU	javan	Agpfsay
NABAVU	nabava	Ncfsa
1	1	Mdc
9.1.	9.1.	Mds

Služba	služba	Ncfsn
za	za	Sa
provedbu	provedba	Ncfsa
