rješenju	rješenje	Ncnsl
spora	spor	Ncmsg
odnosno	odnosno	Rgp
prigovora	prigovor	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
mora	morati	Vmr3s
biti	biti	Van
podrobno	podrobno	Rgp
obrazložena	obrazložiti	Appfsny
te	te	Cc
dostavljena	dostaviti	Appfsny
svim	sav	Agpfpiy
strankama	stranka	Ncfpi
u	u	Sl
sporu	spor	Ncmsl
.	.	Z

Članak	članak	Ncmsn
4.	4.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Povjerenstvo	povjerenstvo	Ncnsn
radi	raditi	Vmr3s
na	na	Sl
sjednicama	sjednica	Ncfpl
koje	koji	Pi-fpn
se	sebe	Px--sa
održavaju	održavati	Vmr3p
prema	prema	Sl
potrebi	potreba	Ncfsl
,	,	Z
a	a	Cc
najmanje	malo	Rgs
jedanput	jedanput	Rgp
mjesečno	mjesečno	Rgp
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Osim	osim	Sg
članova	član	Ncmpg
Povjerenstva	povjerenstvo	Ncnsg
,	,	Z
na	na	Sa
sjednicu	sjednica	Ncfsa
Povjerenstva	povjerenstvo	Ncnsg
mogu	moći	Vmr3p
biti	biti	Van
pozvane	pozvati	Appfpny
i	i	Cc
druge	drugi	Mlofsg
osobe	osoba	Ncfsg
ukoliko	ukoliko	Cs
je	biti	Var3s
to	taj	Pd-nsn
potrebno	potreban	Agpnsny
radi	radi	Sg
utvrđivanja	utvrđivanje	Ncnsg
činjenica	činjenica	Ncfpg
i	i	Cc
davanja	davanje	Ncnsg
objašnjenja	objašnjenje	Ncnsg
,	,	Z
obrazloženja	obrazloženje	Ncnsg
i	i	Cc
izvješća	izvješće	Ncnsg
o	o	Sl
pojedinim	pojedini	Agpmply
predmetima	predmet	Ncmpl
iz	iz	Sg
dnevnog	dnevni	Agpmsgy
reda	red	Ncmsg
sjednice	sjednica	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Povjerenstvo	povjerenstvo	Ncnsn
podnosi	podnositi	Vmr3s
