nadležnim	nadležan	Agpmsiy
sudom	sud	Ncmsi
protiv	protiv	Sg
Ministarstva	ministarstvo	Ncnsg
vezan	vezan	Agpmsnn
uz	uz	Sa
dodjelu	dodjela	Ncfsa
individualne	individualan	Agpfsgy
kvote	kvota	Ncfsg
za	za	Sa
izlov	izlov	Ncmsan
tune	tuna	Ncfsg
.	.	Z

(	(	Z
10	10	Mdc
)	)	Z
Vlasnici	vlasnik	Ncmpn
/	/	Z
ovlaštenici	ovlaštenik	Ncmpn
povlastica	povlastica	Ncfpg
onih	onaj	Pd-npg
plovila	plovilo	Ncnpg
koja	koji	Pi-npn
udovoljavaju	udovoljavati	Vmr3p
uvjetima	uvjet	Ncmpi
iz	iz	Sg
stavaka	stavak	Ncmpg
7.	7.	Mdo
i	i	Cc
8.	8.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
prema	prema	Sl
evidencijama	evidencija	Ncfpl
Uprave	uprava	Ncfsg
ribarstva	ribarstvo	Ncnsg
bit	biti	Van
će	htjeti	Var3p
obaviješteni	obavijestiti	Appmpny
o	o	Sl
dodjeli	dodjela	Ncfsl
dijela	dio	Ncmsg
državne	državni	Agpfsgy
kvote	kvota	Ncfsg
.	.	Z

(	(	Z
11	11	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
prihvaćaju	prihvaćati	Vmr3p
uvjete	uvjet	Ncmpa
naznačene	naznačiti	Appmpay
u	u	Sl
Obavijesti	obavijest	Ncfsl
o	o	Sl
dodjeli	dodjela	Ncfsl
dijela	dio	Ncmsg
državne	državni	Agpfsgy
kvote	kvota	Ncfsg
te	te	Cc
ostale	ostali	Agpmpay
uvjete	uvjet	Ncmpa
propisane	propisati	Appfsgy
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
,	,	Z
vlasnici	vlasnik	Ncmpn
/	/	Z
ovlaštenici	ovlaštenik	Ncmpn
povlastica	povlastica	Ncfpg
za	za	Sa
plovila	plovilo	Ncnpa
iz	iz	Sg
stavaka	stavak	Ncmpg
7.	7.	Mdo
i	i	Cc
8.	8.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
imaju	imati	Vmr3p
rok	rok	Ncmsan
od	od	Sg
8	8	Mdc
(	(	Z
osam	osam	Mlc
)	)	Z
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
primitka	primitak	Ncmsg
Obavijesti	obavijest	Ncfsg
,	,	Z
za	za	Sa
dostavu	dostava	Ncfsa
Izjave	izjava	Ncfsg
o	o	Sl
prihvaćanju	prihvaćanje	Ncnsl
kvote	kvota	Ncfsg
(	(	Z
Prilog	prilog	Ncmsn
19.	19.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
)	)	Z
i	i	Cc
dokaza	dokaz	Ncmpg
o	o	Sl
izvršenoj	izvršen	Agpfsly
uplati	uplata	Ncfsl
odgovarajućeg	odgovarajući	Agpmsgy
