5.2.2.1.	5.2.2.1.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
provedbu	provedba	Ncfsa
EU	E	Npmsg
projekata	projekat	Ncmpg
4	4	Mdc
5.2.2.2.	5.2.2.2.	Y

Odjel	odjel	Ncmsn
za	za	Sa
podršku	podrška	Ncfsa
sustavu	sustav	Ncmsl
3	3	Mdc
5.3.	5.3.	Mds

Sektor	sektor	Ncmsn
za	za	Sa
provedbu	provedba	Ncfsa
programa	program	Ncmsg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
1	1	Mdc
5.3.1.	5.3.1.	Mdo

Služba	služba	Ncfsn
za	za	Sa
vrednovanje	vrednovanje	Ncnsa
,	,	Z
financijsko	financijski	Agpnsny
upravljanje	upravljanje	Ncnsn
i	i	Cc
kontrolu	kontrola	Ncfsa
EU	E	Npmsg
projekata	projekat	Ncmpg
1	1	Mdc
5.3.1.1.	5.3.1.1.	Y

Odjel	odjel	Ncmsn
za	za	Sa
vrednovanje	vrednovanje	Ncnsa
EU	E	Npmsg
projekata	projekat	Ncmpg
5	5	Mdc
5.3.1.2.	5.3.1.2.	Y

Odjel	odjel	Ncmsn
za	za	Sa
financijsko	financijski	Agpnsay
upravljanje	upravljanje	Ncnsa
i	i	Cc
kontrolu	kontrola	Ncfsa
EU	E	Npmsg
projekata	projekat	Ncmpg
4	4	Mdc
5.3.2.	5.3.2.	Y

Služba	služba	Ncfsn
za	za	Sa
objavu	objava	Ncfsa
poziva	pozivati	Vmr3s
na	na	Sa
dostavu	dostava	Ncfsa
projektnih	projektni	Agpmpgy
prijedloga	prijedlog	Ncmpg
i	i	Cc
ugovaranje	ugovaranje	Ncnsa
EU	E	Npmsg
projekata	projekat	Ncmpg
1	1	Mdc
5.3.2.1.	5.3.2.1.	Y

Odjel	odjel	Ncmsn
za	za	Sa
objavu	objava	Ncfsa
poziva	pozivati	Vmr3s
na	na	Sa
dostavu	dostava	Ncfsa
projektnih	projektni	Agpmpgy
prijedloga	prijedlog	Ncmpg
4	4	Mdc
5.3.2.2.	5.3.2.2a	Ncfsg

Odjel	odjel	Ncmsn
za	za	Sa
ugovaranje	ugovaranje	Ncnsa
EU	E	Npmsg
projekata	projekat	Ncmpg
4	4	Mdc
Uprava	uprava	Ncfpg
za	za	Sa
industriju	industrija	Ncfsa
,	,	Z
investicije	investicija	Ncfpa
,	,	Z
programe	program	Ncmpa
i	i	Cc
projekte	projekt	Ncmpa
Europske	europski	Agpfsgy
unije	unija	Ncfsg
–	–	Z
ukupno	ukupno	Rgp
76	76	Mdc
6.	6.	Mdo
UPRAVA	uprava	Ncfsn
ZA	za	Sa
SUSTAV	sustav	Ncmsan
JAVNE	javan	Agpfsgy
NABAVE	nabava	Ncfsg
6.1.	6.1.	Mds

Sektor	sektor	Ncmsn
za	za	Sa
stručnu	stručan	Agpfsay
pomoć	pomoć	Ncfsa
i	i	Cc
nadzor	nadzor	Ncmsan
1	1	Mdc
6.1.1.	6.1.1.	Mdo

Služba	služba	Ncfsn
za	za	Sa
stručnu	stručan	Agpfsay
pomoć	pomoć	Ncfsa
1	1	Mdc
6.1.1.1.	6.1.1.1.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
davanje	davanje	Ncnsa
mišljenja	mišljenje	Ncnsg
3	3	Mdc
6.1.1.2.	6.1.1.2.	Mds

Odjel	odjel	Ncmsn
za	za	Sa
pripremu	priprema	Ncfsa
i	i	Cc
izradu	izrada	Ncfsa
provedbenih	provedbeni	Agpmpgy
alata	alat	Ncmpg
3	3	Mdc
6.1.2.	6.1.2a	Ncfsg

Služba	služba	Ncfsn
za	za	Sa
nadzor	nadzor	Ncmsan
1	1	Mdc
6.1.2.1.	6.1.2.1.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
provedbu	provedba	Ncfsa
nadzora	nadzor	Ncmsg
3	3	Mdc
6.1.2.2.	6.1.2.2a	Ncfsg

Odjel	odjel	Ncmsn
za	za	Sa
praćenje	praćenje	Ncnsa
i	i	Cc
analizu	analiza	Ncfsa
nepravilnosti	nepravilnost	Ncfsg
4	4	Mdc
6.2.	6.2.	Y

Sektor	sektor	Ncmsn
za	za	Sa
unaprjeđenje	unaprjeđenje	Ncnsa
sustava	sustav	Ncmsg
i	i	Cc
međunarodnu	međunarodni	Agpfsay
suradnju	suradnja	Ncfsa
1	1	Mdc
6.2.1.	6.2.1.	Mdo

Služba	služba	Ncfsn
za	za	Sa
međunarodnu	međunarodni	Agpfsay
suradnju	suradnja	Ncfsa
,	,	Z
razvoj	razvoj	Ncmsan
i	i	Cc
usklađivanje	usklađivanje	Ncnsa
sustava	sustav	Ncmsg
1	1	Mdc
6.2.1.1.	6.2.1.1a	Ncfsg

Odjel	odjel	Ncmsn
za	za	Sa
