stajalištu	stajalište	Ncnsl
ESLJP-a	ESLJP	Npmsg
koje	koji	Pi-nsn
je	biti	Var3s
iznio	iznijeti	Vmp-sm
u	u	Sl
predmetu	predmet	Ncmsl
Grkokatolička	grkokatolički	Agpfsny
župa	župa	Ncfsn
Sâmbăta	Sâmbăta	Npfsn
Bihor	Bihor	Npfsn
protiv	protiv	Sg
Rumunjske	Rumunjska	Npfsg
(	(	Z
Paroisse	Paroisse	Npfsn
gréco-catholique	gréco-catholique	Npfsn
Sâmbata	Sâmbata	Npfsn
Bihor	Bihor	Npfsn
contre	contrati	Vmr3s
la	li	Agpfsny
Roumanie	Roumanie	Npfsn
,	,	Z
odluka	odluka	Ncfsn
od	od	Sg
25.	25.	Mdo
svibnja	svibanj	Ncmsg
2004.	2004.	Mdo
,	,	Z
zahtjev	zahtjev	Ncmsn
broj	broj	Ncmsn
48107/99	48107/99	Mds
)	)	Z
,	,	Z
a	a	Cc
koje	koji	Pi-nsn
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
Prigovori	prigovor	Ncmpn
podneseni	podnijeti	Appmpny
nakon	nakon	Sg
proteka	protek	Ncmsg
roka	rok	Ncmsg
od	od	Sg
šest	šest	Mlc
mjeseci	mjesec	Ncmpg
mogu	moći	Vmr3p
biti	biti	Van
ispitani	ispitati	Appmpny
samo	samo	Rgp
ako	ako	Cs
čine	činiti	Vmr3p
konkretne	konkretan	Agpmpay
aspekte	aspekt	Ncmpa
inicijalnih	inicijalan	Agpmpgy
prigovora	prigovor	Ncmpg
podnesenih	podnesen	Agpmpgy
unutar	unutar	Sg
roka	rok	Ncmsg
...	...	Z
«	«	Z

35.	35.	Mdo

Budući	budući	Cs
da	da	Cs
je	biti	Var3s
u	u	Sl
dopuni	dopuna	Ncfsl
ustavne	ustavan	Agpfsgy
tužbe	tužba	Ncfsg
od	od	Sg
21.	21.	Mdo
siječnja	siječanj	Ncmsg
2015.	2015.	Mdo
podnositelj	podnositelj	Ncmsn
istaknuo	istaknuti	Vmp-sm
potpuno	potpuno	Rgp
nove	nov	Agpmpay
prigovore	prigovor	Ncmpa
o	o	Sl
povredi	povreda	Ncfsl
prava	pravo	Ncnsg
na	na	Sa
obranu	obrana	Ncfsa
uz	uz	Sa
branitelja	branitelj	Ncmsan
,	,	Z
zajamčenog	zajamčiti	Appmsgy
člankom	članak	Ncmsi
29.	29.	Mdo
stavkom	stavka	Ncfsi
2.	2.	Mdo
alinejama	alineja	Ncfpi
3.	3.	Mdo
i	i	Cc
4.	4.	Mdo
Ustava	ustav	Ncmsg
,	,	Z
koje	koji	Pi-fpn
do	do	Sg
tada	tada	Rgp
nije	biti	Var3s
isticao	isticati	Vmp-sm
u	u	Sl
ustavnoj	ustavan	Agpfsly
tužbi	tužba	Ncfsl
od	od	Sg
22.	22.	Mdo
prosinca	prosinac	Ncmsg
2014.	2014.	Mdo
,	,	Z
Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
utvrđuje	utvrđivati	Vmr3s
da	da	Cs
ti	taj	Pd-mpn
prigovori	prigovor	Ncmpn
ne	ne	Qz
predstavljaju	predstavljati	Vmr3p
pojašnjenje	pojašnjenje	Ncnsa
ustavne	ustavan	Agpfsgy
tužbe	tužba	Ncfsg
podnesene	podnijeti	Appfpny
u	u	Sl
roku	rok	Ncmsl
.	.	Z

Iz	iz	Sg
navedenih	naveden	Agpmpgy
razloga	razlog	Ncmpg
,	,	Z
na	na	Sl
temelju	temelj	Ncmsl
članka	članak	Ncmsg
72.	72.	Mdo

Ustavnog	ustavan	Agpmsgy
zakona	zakon	Ncmsg
,	,	Z
riješeno	riješiti	Appnsny
je	biti	Var3s
kao	kao	Cs
u	u	Sl
izreci	izreka	Ncfsl
rješenja	rješenje	Ncnsg
.	.	Z

VI	VI	Mrc
.	.	Z

MJERODAVNO	mjerodavan	Agpnsny
PRAVO	pravo	Ncnsn

36.	36.	Mdo

Članak	članak	Ncmsn
90.	90.	Mdo

KZ-a	KZ	Npmsg
/	/	Z
97	97	Mdc
glasi	glasiti	Vmr3s
:	:	Z

»	i	Agpnsny
Ubojstvo	ubojstvo	Ncnsn

Članak	članak	Ncmsn
90.	90.	Mdo

Tko	tko	Pq3m-n
drugoga	drugi	Mlomsg
usmrti	usmrtiti	Vmr3s
,	,	Z

kaznit	kazniti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
kaznom	kazna	Ncfsi
zatvora	zatvor	Ncmsg
najmanje	malo	Rgs
pet	pet	Mlc
godina	godina	Ncfpg
.	.	Z
«	«	Z

37.	37.	Mdo

Mjerodavni	mjerodavan	Agpmsny
dio	dio	Ncmsn
članka	članak	Ncmsg
33.	33.	Mdo

KZ-a	KZ	Npmsg
/	/	Z
97	97	Mdc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
Pokušaj	pokušaj	Ncmsn

Članak	članak	Ncmsn
33.	33.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Tko	tko	Pq3m-n
s	sa	Si
namjerom	namjera	Ncfsi
započne	započeti	Vmr3s
ostvarenje	ostvarenje	Ncnsa
kaznenog	kazneni	Agpnsgy
djela	djelo	Ncnsg
,	,	Z
ali	ali	Cc
ga	on	Pp3msa
ne	ne	Qz
dovrši	dovršiti	Vmr3s
,	,	Z
kaznit	kazniti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
za	za	Sa
pokušaj	pokušaj	Ncmsan
kaznenog	kazneni	Agpnsgy
djela	djelo	Ncnsg
za	za	Sa
koje	koji	Pi-mpa
se	sebe	Px--sa
po	po	Sl
zakonu	zakon	Ncmsl
može	moći	Vmr3s
izreći	izreći	Vmn
kazna	kazna	Ncfsn
zatvora	zatvor	Ncmsg
od	od	Sg
pet	pet	Mlc
godina	godina	Ncfpg
ili	ili	Cc
teža	teža	Ncfsn
kazna	kazna	Ncfsn
,	,	Z
a	a	Cc
za	za	Sa
pokušaj	pokušaj	Ncmsan
drugog	drugi	Agpnsgy
kaznenog	kazneni	Agpnsgy
djela	djelo	Ncnsg
samo	samo	Rgp
kad	kad	Cs
zakon	zakon	Ncmsn
izričito	izričito	Rgp
propisuje	propisivati	Vmr3s
kažnjavanje	kažnjavanje	Ncnsa
i	i	Cc
za	za	Sa
pokušaj	pokušaj	Ncmsan
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Počinitelj	počinitelj	Ncmsn
koji	koji	Pi-msn
je	biti	Var3s
pokušao	pokušati	Vmp-sm
ostvarenje	ostvarenje	Ncnsa
kaznenog	kazneni	Agpnsgy
djela	djelo	Ncnsg
kaznit	kazniti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
kao	kao	Cs
da	da	Cs
je	biti	Var3s
djelo	djelo	Ncnsn
dovršeno	dovršiti	Appnsny
,	,	Z
ali	ali	Cc
se	sebe	Px--sa
može	moći	Vmr3s
i	i	Qo
blaže	blago	Rgc
kazniti	kazniti	Vmn
.	.	Z

(...)	(...)	I
«	«	Z

38.	38.	Mdo

Članak	članak	Ncmsn
42.	42.	Mdo

KZ-a	KZ	Npmsg
/	/	Z
97	97	Mdc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
Smanjena	smanjiti	Appfsny
ubrojivost	ubrojivost	Ncfsn

Članak	članak	Ncmsn
42.	42.	Mdo

Počinitelj	počinitelj	Ncmsn
koji	koji	Pi-msn
je	biti	Var3s
u	u	Sa
vrijeme	vrijeme	Ncnsa
počinjenja	počinjenje	Ncnsg
kaznenog	kazneni	Agpnsgy
djela	djelo	Ncnsg
zbog	zbog	Sg
nekog	neki	Pi-nsg
stanja	stanje	Ncnsg
iz	iz	Sg
članka	članak	Ncmsg
40.	40.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ovog	ovaj	Pd-msg
Zakona	zakon	Ncmsg
bio	biti	Vap-sm
smanjeno	smanjiti	Appnsny
ubrojiv	ubrojiv	Agpmsnn
u	u	Sl
znatnoj	znatan	Agpfsly
mjeri	mjera	Ncfsl
,	,	Z
može	moći	Vmr3s
se	sebe	Px--sa
blaže	blago	Rgc
kazniti	kazniti	Vmn
,	,	Z
ako	ako	Cs
do	do	Sg
smanjene	smanjiti	Agpfsgy
ubrojivosti	ubrojivost	Ncfsg
nije	biti	Var3s
došlo	doći	Vmp-sn
samoskrivljeno	samoskrivljen	Agpnsny
.	.	Z
«	«	Z

39.	39.	Mdo

Mjerodavni	mjerodavan	Agpmsny
dio	dio	Ncmsn
članka	članak	Ncmsg
40.	40.	Mdo

KZ-a	KZ	Npmsg
/	/	Z
97	97	Mdc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
Neubrojivost	neubrojivost	Ncfsn

Članak	članak	Ncmsn
40.	40.	Mdo

(...)	(...)	Ncfsn

(	(	Z
2	2	Mdc
)	)	Z
Neubrojiva	neubrojiv	Agpfsny
je	biti	Var3s
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
u	u	Sa
vrijeme	vrijeme	Ncnsa
ostvarenja	ostvarenje	Ncnsg
zakonskih	zakonski	Agpnpgy
obilježja	obilježje	Ncnpg
kaznenog	kazneni	Agpnsgy
djela	djelo	Ncnsg
nije	biti	Var3s
bila	biti	Vap-sf
u	u	Sl
mogućnosti	mogućnost	Ncfsl
shvatiti	shvatiti	Vmn
značenje	značenje	Ncnsa
svojeg	svoj	Px-nsg
postupanja	postupanje	Ncnsg
ili	ili	Cc
nije	biti	Var3s
mogla	moći	Vmp-sf
vladati	vladati	Vmn
svojom	svoj	Agpfsiy
voljom	volja	Ncfsi
zbog	zbog	Sg
duševne	duševan	Agpfsgy
bolesti	bolest	Ncfsg
,	,	Z
privremene	privremen	Agpfsgy
duševne	duševan	Agpfsgy
poremećenosti	poremećenost	Ncfsg
,	,	Z
nedovoljnog	nedovoljan	Agpmsgy
duševnog	duševan	Agpmsgy
razvitka	razvitak	Ncmsg
ili	ili	Cc
neke	neki	Pi-fpa
druge	drugi	Agpfpay
teže	teža	Ncfpa
duševne	duševan	Agpfsgy
smetnje	smetnja	Ncfsg
.	.	Z
«	«	Z

VII	vii	Mrc
.	.	Z

OCJENA	ocjena	Ncfsn
USTAVNOG	ustavan	Agpmsgy
SUDA	sud	Ncmsg

A.	i	Agpnsgy
PRAVA	pravo	Ncnsg
ZAJAMČENA	zajamčiti	Appfsny
ČLANKOM	članak	Ncmsi
29.	29.	Mdo

USTAVA	ustava	Ncfsn

40.	40.	Mdo

Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
prvo	prvo	Rgp
podsjeća	podsjećati	Vmr3s
da	da	Cs
je	biti	Var3s
u	u	Sl
odluci	odluka	Ncfsl
i	i	Cc
rješenju	rješenje	Ncnsl
broj	broj	Ncmsn
:	:	Z
U-III-3304	U-III-3304	X
/	/	Z
2011	2011	Mdc
od	od	Sg
23.	23.	Mdo
siječnja	siječanj	Ncmsg
2013.	2013.	Mdo
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
broj	broj	Ncmsn
