20.	20.	Mdo
stavak	stavak	Ncmsn
1.	1.	Mdo
,	,	Z
članak	članak	Ncmsn
39.	39.	Mdo
stavak	stavak	Ncmsn
1.	1.	Mdo
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
člankom	članak	Ncmsi
21.	21.	Mdo

ZOF-a	ZOF	Npmsg
2.000,00	2.000,00	Mdc
kn	KN	Xf
20.000,00	20.000,00	Mdc
kn	KN	Y
2.	2.	Mdo
Suglasnost	suglasnost	Ncfsn
za	za	Sa
stjecanje	stjecanje	Ncnsa
kvalificiranog	kvalificiran	Agpmsgy
udjela	udjel	Ncmsg
u	u	Sa
faktoring	faktoring	Ncmsan
društvu	društvo	Ncnsl
–	–	Z
članak	članak	Ncmsn
29.	29.	Mdo
stavak	stavak	Ncmsn
1.	1.	Mdo
ZOF-a	zof-	Ncmsg
1.000,00	1.000,00	Mdc
kn	KN	Ncmsan
10.000,00	10.000,00	Mdc
kn	KN	Y
3.	3.	Mdo
Suglasnost	suglasnost	Ncfsn
za	za	Sa
stjecanje	stjecanje	Ncnsa
kvalificiranog	kvalificiran	Agpmsgy
udjela	udjel	Ncmsg
faktoring	faktoring	Ncmsn
društva	društvo	Ncnsg
u	u	Sl
drugoj	drugi	Mlofsl
pravnoj	pravni	Agpfsly
osobi	osoba	Ncfsl
–	–	Z
članak	članak	Ncmsn
38.	38.	Mdo
stavak	stavak	Ncmsn
1.	1.	Mdo
ZOF-a	zof-	Ncmsg
1.000,00	1.000,00	Mdc
kn	KN	Ncmsan
10.000,00	10.000,00	Mdc
kn	KN	Y
4.	4.	Mdo
Suglasnost	suglasnost	Ncfsn
za	za	Sa
obavljanje	obavljanje	Ncnsa
funkcije	funkcija	Ncfsg
člana	član	Ncmsg
uprave	uprava	Ncfsg
i	i	Cc
za	za	Sa
osobe	osoba	Ncfpa
ovlaštene	ovlašten	Agpfpay
za	za	Sa
vođenje	vođenje	Ncnsa
poslova	posao	Ncmpg
podružnice	podružnica	Ncfsg
–	–	Z
članak	članak	Ncmsn
48.	48.	Mdo
stavak	stavak	Ncmsn
1.	1.	Mdo
ZOF-a	ZOF	Npmsg
i	i	Cc
članak	članak	Ncmsn
63.	63.	Mdo
stavak	stavak	Ncmsn
1.	1.	Mdo
ZOF-a	zof-	Ncmsg
850,00	850,00	Mdc
kn	KN	Ncmsan
8.500,00	8.500,00	Mdc
kn	KN	Y
5.	5.	Mdo
Odobrenje	odobrenje	Ncnsn
za	za	Sa
osnivanje	osnivanje	Ncnsa
podružnice	podružnica	Ncfsg
faktoring	faktoring	Ncmsn
društva	društvo	Ncnsg
iz	iz	Sg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
u	u	Sl
trećoj	treći	Mlofsl
državi	država	Ncfsl
–	–	Z
članak	članak	Ncmsn
58.	58.	Mdo
stavak	stavak	Ncmsn
2.	2.	Mdo
ZOF-a	zof-	Ncmsg
1.500,00	1.500,00	Mdc
kn	KN	Ncmsan
15.000,00	15.000,00	Mdc
kn	KN	Y
6.	6.	Mdo
Odobrenje	odobrenje	Ncnsn
za	za	Sa
osnivanje	osnivanje	Ncnsa
podružnice	podružnica	Ncfsg
na	na	Sl
području	područje	Ncnsl
Republike	republika	Ncfsg
Hrvatske	hrvatski	Agpfsgy
faktoring	faktoring	Ncmsn
društva	društvo	Ncnsg
iz	iz	Sg
treće	treći	Ncfsg
države	država	Ncfsg
i	i	Cc
države	država	Ncfsg
članice	članica	Ncfsg
–	–	Z
članak	članak	Ncmsn
61.	61.	Mdo
stavak	stavak	Ncmsn
2.	2.	Mdo
ZOF-a	zof-	Ncmsg
1.500,00	1.500,00	Mdc
kn	KN	Ncmsan
15.000,00	15.000,00	Mdc
kn	KN	Y
7.	7.	Mdo
Odobrenje	odobrenje	Ncnsn
za	za	Sa
osnivanje	osnivanje	Ncnsa
podružnice	podružnica	Ncfsg
faktoring	faktoring	Ncmsn
društva	društvo	Ncnsg
iz	iz	Sg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
u	u	Sl
državi	država	Ncfsl
članici	članica	Ncfsl
–	–	Z
članak	članak	Ncmsn
57.	57.	Mdo
stavak	stavak	Ncmsn
3.	3.	Mdo
ZOF-a	zof-	Ncmsg
1.500,00	1.500,00	Mdc
kn	KN	Ncmsan
15.000,00	15.000,00	Mdc
kn	KN	Ncmsn
8.	8.	Mdo
Suglasnost	suglasnost	Ncfsn
faktoring	faktoring	Ncmsn
društvu	društvo	Ncnsd
za	za	Sa
prijenos	prijenos	Ncmsan
poslovanja	poslovanje	Ncnsg
na	na	Sa
drugo	drugi	Mlonsa
faktoring	faktoring	Agpnsay
društvo	društvo	Ncnsa
–	–	Z
članak	članak	Ncmsn
43.	43.	Mdo
stavak	stavak	Ncmsn
7.	7.	Mdo
i	i	Cc
članak	članak	Ncmsn
97.	97.	Mdo
stavak	stavak	Ncmsn
