nadzor	nadzor	Ncmsn
kretanja	kretanje	Ncnsg
i	i	Cc
obavještavanje	obavještavanje	Ncnsa
i	i	Cc
edukacija	edukacija	Ncfsn
radnika	radnik	Ncmpg
.	.	Z

Tablica	tablica	Ncfsn
A1	A1	Xf
.	.	Z

Granična	graničan	Agpfsny
vrijednost	vrijednost	Ncfsn
izloženosti	izloženost	Ncfsg
za	za	Sa
gustoću	gustoća	Ncfsa
magnetskog	magnetski	Agpmsgy
toka	tok	Ncmsg
(	(	Z
B0	b0	Mls
)	)	Z
od	od	Sg
0	0	Mdc
do	do	Sg
1	1	Mdc
Hz	Hz	Y

Granične	graničan	Agpfpny
vrijednosti	vrijednost	Ncfpn
izloženosti	izloženost	Ncfsg
za	za	Sa
učinke	učinak	Ncmpa
na	na	Sa
osjetila	osjetilo	Ncnpa
Uobičajeni	uobičajiti	Appmpny
radni	radni	Agpmpny
uvjeti	uvjet	Ncmpn
2	2	Mdc
T	T	X
Lokalizirana	lokaliziran	Agpfsny
izloženost	izloženost	Ncfsn
ekstremiteta	ekstremitet	Ncmsg
8	8	Mdc
T	t	Ncfpg
Granične	graničan	Agpfsgy
vrijednosti	vrijednost	Ncfsg
izloženosti	izloženost	Ncfsg
za	za	Sa
učinke	učinak	Ncmpa
na	na	Sa
zdravlje	zdravlje	Ncnsa
Kontrolirani	kontrolirati	Appmpny
radni	radni	Agpmpny
uvjeti	uvjet	Ncmpn
8	8	Mdc
T	T	X

Granične	graničan	Agpfpny
vrijednosti	vrijednost	Ncfpn
izloženosti	izloženost	Ncfsg
za	za	Sa
učinke	učinak	Ncmpa
na	na	Sa
zdravlje	zdravlje	Ncnsa
za	za	Sa
unutarnju	unutarnji	Agpfsay
jakost	jakost	Ncfsa
električnog	električan	Agpnsgy
polja	polje	Ncnsg
od	od	Sg
1	1	Mdc
Hz	Hz	Y
do	do	Sg
10	10	Mdc
MHz	MHz	Y

Granične	graničan	Agpfpny
su	biti	Var3p
vrijednosti	vrijednost	Ncfpn
izloženosti	izloženost	Ncfsg
za	za	Sa
učinke	učinak	Ncmpa
na	na	Sa
zdravlje	zdravlje	Ncnsa
(	(	Z
tablica	tablica	Ncfsn
A2	A2	Xf
)	)	Z
povezane	povezati	Appfpny
s	sa	Si
električnom	električan	Agpfsiy
stimulacijom	stimulacija	Ncfsi
svih	sav	Agpnpgy
tkiva	tkivo	Ncnpg
perifernog	periferan	Agpnsgy
i	i	Cc
središnjeg	središnji	Agpmsgy
živčanog	živčan	Agpmsgy
sustava	sustav	Ncmsg
u	u	Sl
tijelu	tijelo	Ncnsl
,	,	Z
uključujući	uključivati	Rr
i	i	Cc
glavu	glava	Ncfsa
.	.	Z

Tablica	tablica	Ncfsn
A2	A2	Xf
.	.	Z

Granične	graničan	Agpfpny
vrijednosti	vrijednost	Ncfpn
izloženosti	izloženost	Ncfsg
za	za	Sa
učinke	učinak	Ncmpa
na	na	Sa
zdravlje	zdravlje	Ncnsa
za	za	Sa
unutarnju	unutarnji	Agpfsay
jakost	jakost	Ncfsa
električnog	električan	Agpnsgy
polja	polje	Ncnsg
od	od	Sg
1	1	Mdc
Hz	Hz	Y
do	do	Sg
10	10	Mdc
MHz	MHz	Y

Raspon	raspon	Ncmsn
frekvencije	frekvencija	Ncfsg
Granične	graničan	Agpfsgy
vrijednosti	vrijednost	Ncfsg
izloženosti	izloženost	Ncfsg
za	za	Sa
učinke	učinak	Ncmpa
na	na	Sa
zdravlje	zdravlje	Ncnsa
1	1	Mdc
Hz	Hz	Y
≤	≤	Z
f	f	X
<	<	Z
3	3	Mdc
kHz	kHz	Y
1,1	1,1	Mdc
Vm-1	Vm-1	X
(	(	Z
vršna	vršni	Agpfsny
vrijednost	vrijednost	Ncfsn
)	)	Z
3	3	Mdc
kHz	kHz	Y
≤	≤	Z
f	f	Cc
≤	≤	Z
10	10	Mdc
MHz	MHz	Y
3,8	3,8	Mdc
×	×	Z
10	10	Mdc
-	-	Z
4	4	Mdc
f	f	Y
Vm-1	Vm-1	X
(	(	Z
vršna	vršni	Agpfsny
vrijednost	vrijednost	Ncfsn
)	)	Z

Napomena	napomena	Ncfsn
A2	A2	Xf
–	–	Z
1	1	Mdc
:	:	Z
f	f	Ncmsn
je	biti	Var3s
frekvencija	frekvencija	Ncfsn
izražena	izraziti	Appfsny
u	u	Sl
hercima	herk	Ncmpl
(	(	Z
Hz	Hz	Npmsn
)	)	Z
.	.	Z

Napomena	napomena	Ncfsn
:	:	Z
A2	A2	Xf
–	–	Z
2	2	Mdc
Granične	graničan	Agpfsgy
vrijednosti	vrijednost	Ncfsg
izloženosti	izloženost	Ncfsg
za	za	Sa
učinke	učinak	Ncmpa
na	na	Sa
zdravlje	zdravlje	Ncnsa
su	biti	Var3p
prostorne	prostoran	Agpfpny
vršne	vršni	Agpfpny
vrijednosti	vrijednost	Ncfpn
u	u	Sl
cijelom	cijel	Agpnsly
tijelu	tijelo	Ncnsl
izloženog	izložen	Agpmsgy
pojedinca	pojedinac	Ncmsg
.	.	Z

Napomena	napomena	Ncfsn
A2	A2	Xf
–	–	Z
3	3	Mdc
Granične	graničan	Agpfpny
su	biti	Var3p
vrijednosti	vrijednost	Ncfpn
izloženosti	izloženost	Ncfsg
vršne	vršni	Agpfsgy
vrijednosti	vrijednost	Ncfsg
u	u	Sl
vremenu	vrijeme	Ncnsl
koje	koji	Pi-nsa
su	biti	Var3p
jednake	jednak	Agpfpny
efektivnim	efektivan	Agpfpiy
vrijednostima	vrijednost	Ncfpi
(	(	Z
RMS	RMS	Npmsn
)	)	Z
pomnoženima	pomnožiti	Ncmpl
s	sa	Sg
√	√	Z
2	2	Mdc
za	za	Sa
sinusna	sinusni	Agpnpay
polja	polje	Ncnpa
.	.	Z

Kod	kod	Sg
