odustajanju	odustajanje	Ncnsd
od	od	Sg
isplate	isplata	Ncfsg
ili	ili	Cc
daljnje	daljnji	Agpfsgy
provedbe	provedba	Ncfsg
ulaganja	ulaganje	Ncnsg
Korisnik	korisnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
dostaviti	dostaviti	Vmn
pisanim	pisan	Agpmsiy
putem	put	Ncmsi
,	,	Z
potpisano	potpisan	Agpnsny
i	i	Cc
ovjereno	ovjeriti	Agpnsny
,	,	Z
preporučenom	preporučiti	Agpfsiy
pošiljkom	pošiljka	Ncfsi
Agenciji	agencija	Ncfsl
za	za	Sa
plaćanja	plaćanje	Ncnpa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
utvrdi	utvrditi	Vmr3s
da	da	Cs
pojedine	pojedini	Agpfpny
provedene	provesti	Agpfpny
aktivnosti	aktivnost	Ncfpn
,	,	Z
ulaganja	ulaganje	Ncnsg
i	i	Cc
/	/	Z
ili	ili	Cc
troškovi	trošak	Ncmpn
nisu	biti	Var3p
provedeni	provesti	Appmpny
ili	ili	Cc
na	na	Sa
valjani	valjan	Agpmsayn
način	način	Ncmsan
dokazani	dokazati	Appmpny
(	(	Z
plaćeni	platiti	Appmpny
)	)	Z
te	te	Cc
da	da	Cs
iznos	iznos	Ncmsn
potpore	potpora	Ncfsg
za	za	Sa
preostali	preostao	Agpmsayn
prihvatljivi	prihvatljiv	Agpmsayn
dio	dio	Ncmsan
ulaganja	ulaganje	Ncnsg
ne	ne	Qz
zadovoljava	zadovoljavati	Vmr3s
minimalni	minimalan	Agpmsny
iznos	iznos	Ncmsn
iz	iz	Sg
članka	članak	Ncmsg
6.	6.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
poništit	poništiti	Vmn
će	htjeti	Var3p
Odluku	odluka	Ncfsa
o	o	Sl
odobrenju	odobrenje	Ncnsl
projekta	projekt	Ncmsg
.	.	Z

X.	X.	Y
KONTROLA	KONTROLA	Npfsn
I	i	Cc
NADZOR	nadzor	Ncmsn

Članak	članak	Ncmsn
29.	29.	Mdo

Administrativnu	administrativan	Agpfsay
kontrolu	kontrola	Ncfsa
provode	provoditi	Vmr3p
djelatnici	djelatnik	Ncmpn
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
,	,	Z
kontrolom	kontrola	Ncfsi
Prijave	prijava	Ncfsg
i	i	Cc
dokumenata	dokument	Ncmpg
priloženih	priložen	Agpmpgy
uz	uz	Sa
Prijavu	prijava	Ncfsa
,	,	Z
izradom	izrada	Ncfsi
rang-liste	rang-lista	Ncfsg
,	,	Z
kontrolom	kontrola	Ncfsi
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
i	i	Cc
dokumenata	dokument	Ncmpg
priloženih	priložiti	Appmpgy
uz	uz	Sa
Zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
,	,	Z
te	te	Cc
analizom	analiza	Ncfsi
ulaganja	ulaganje	Ncnpa
i	i	Cc
istragom	istraga	Ncfsi
u	u	Sl
evidencijama	evidencija	Ncfpl
tijela	tijelo	Ncnsg
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
te	te	Cc
drugim	drugi	Mlofpl
institucijama	institucija	Ncfpl
.	.	Z

Članak	članak	Ncmsn
30.	30.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Kontrola	kontrola	Ncfsn
na	na	Sl
terenu	teren	Ncmsl
provodi	provoditi	Vmr3s
se	sebe	Px--sa
prema	prema	Sl
rizičnosti	rizičnost	Ncfsl
prije	prije	Sg
odobrenja	odobrenje	Ncnsg
,	,	Z
prije	prije	Sg
plaćanja	plaćanje	Ncnsg
i	i	Cc
tijekom	tijekom	Sg
pet	pet	Mlc
godina	godina	Ncfpg
nakon	nakon	Sg
izdavanja	izdavanje	Ncnsg
potvrde	potvrda	Ncfsg
o	o	Sl
završenom	završen	Agpnsly
ulaganju	ulaganje	Ncnsl
od	od	Sg
strane	strana	Ncfsg
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
,	,	Z
a	a	Cc
provode	provoditi	Vmr3p
je	biti	Var3s
djelatnici	djelatnik	Ncmpn
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
kontrolori	kontrolor	Ncmpn
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Osim	osim	Sg
djelatnika	djelatnik	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
kontrolu	kontrola	Ncfsa
na	na	Sl
terenu	teren	Ncmsl
pojedinog	pojedini	Agpnsgy
ulaganja	ulaganje	Ncnsg
mogu	moći	Vmr3p
obavljati	obavljati	Vmn
i	i	Qo
djelatnici	djelatnik	Ncmpn
Službe	služba	Ncfsg
za	za	Sa
unutarnju	unutarnji	Agpfsay
reviziju	revizija	Ncfsa
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
,	,	Z
službenici	službenik	Ncmpn
Nacionalnog	nacionalan	Agpmsgy
fonda	fond	Ncmsg
,	,	Z
