rukavice	rukavica	Ncfpa
,	,	Z

3.	3.	Mdo
zaštitne	zaštitni	Agpfsgy
maske	maska	Ncfsg
,	,	Z

4.	4.	Mdo
zaštitne	zaštitni	Agpfpay
naočale	naočale	Ncfpa
,	,	Z

5.	5.	Mdo
zaštitne	zaštitni	Agpfsgy
pregače	pregača	Ncfsg
,	,	Z

6.	6.	Mdo
posudu	posuda	Ncfsa
za	za	Sa
odlaganje	odlaganje	Ncnsa
oštrih	oštar	Agpmpgy
predmeta	predmet	Ncmpg
,	,	Z

7.	7.	Mdo
posudu	posuda	Ncfsa
za	za	Sa
odlaganje	odlaganje	Ncnsa
infektivnog	infektivan	Agpmsgy
otpada	otpad	Ncmsg
,	,	Z

8.	8.	Mdo
posudu	posuda	Ncfsa
za	za	Sa
odlaganje	odlaganje	Ncnsa
otpada	otpad	Ncmsg
,	,	Z

9.	9.	Mdo
posudu	posuda	Ncfsa
s	sa	Si
dezinfekcijskim	dezinfekcijski	Agpnsiy
sredstvom	sredstvo	Ncnsi
.	.	Z

g	g	Y
)	)	Z
Pribor	pribor	Ncmsan
za	za	Sa
uspostavu	uspostava	Ncfsa
venskog	venski	Agpmsgy
i	i	Cc
intraosealnog	intraosealan	Agpmsgy
puta	put	Ncmsg
,	,	Z
primjenu	primjena	Ncfsa
lijekova	lijek	Ncmpg
i	i	Cc
infuzija	infuzija	Ncfpg

1.	1.	Mdo
brizgalice	brizgalica	Ncfsg
,	,	Z

2.	2.	Mdo
dezinfekcijsko	dezinfekcijski	Agpnsny
sredstvo	sredstvo	Ncnsn
/	/	Z
dezinfekcijske	dezinfekcijski	Agpfsgy
maramice	maramica	Ncfsg
,	,	Z

3.	3.	Mdo
foliju	folija	Ncfsa
za	za	Sa
učvršćenje	učvršćenje	Ncnsa
venske	venski	Agpfsgy
kanile	kanila	Ncfsg
,	,	Z

4.	4.	Mdo
igle	igla	Ncfsg
,	,	Z

5.	5.	Mdo
medicinsku	medicinski	Agpfsay
vatu	vata	Ncfsa
,	,	Z

6.	6.	Mdo
povesku	povesak	Ncmsl
za	za	Sa
venestazu	venestaza	Ncfsa
,	,	Z

7.	7.	Mdo
sustav	sustav	Ncmsan
za	za	Sa
primjenu	primjena	Ncfsa
infuzije	infuzija	Ncfsg
,	,	Z

8.	8.	Mdo
venske	venski	Agpfsgy
kanile	kanila	Ncfsg
,	,	Z

9.	9.	Mdo
intraosealne	intraosealan	Agpfsgy
igle	igla	Ncfsg
/	/	Z
uređaj	uređaj	Ncmsan
za	za	Sa
primjenu	primjena	Ncfsa
intraosealne	intraosealan	Agpfsgy
igle	igla	Ncfsg
.	.	Z

h	h	Npmsn
)	)	Z
Zavojni	zavojan	Agpmsny
materijal	materijal	Ncmsn
i	i	Cc
opremu	oprema	Ncfsa
za	za	Sa
