osobama	osoba	Ncfpd
odabranim	odabrati	Appfply
od	od	Sg
Ministarstva	ministarstvo	Ncnsg
za	za	Sa
poljoprivredu	poljoprivreda	Ncfsa
uzorkovanje	uzorkovanje	Ncnsa
tuna	tuna	Ncfpg
(	(	Z
Thunnus	Thunnus	Xf
thynnus	thynnus	Xf
)	)	Z
,	,	Z
igluna	iglun	Ncmpg
(	(	Z
Xiphias	Xiphias	Npmsn
gladius	gladius	Xf
)	)	Z
i	i	Cc
iglana	iglan	Ncmpg
(	(	Z
Tetrapturus	Tetrapturus	Npmsn
belone	belona	Ncfsg
)	)	Z
ulovljenim	uloviti	Agpfpiy
mrežama	mreža	Ncfpi
plivaricama	plivarica	Ncfpi
i	i	Cc
udičarskim	udičarski	Agpmpiy
alatima	alat	Ncmpi
iz	iz	Sg
gospodarskog	gospodarski	Agpnsgy
i	i	Cc
negospodarskog	negospodarski	Agpmsgy
ribolova	ribolov	Ncmsg
.	.	Z

Prebacivanje	prebacivanje	Ncnsn

Članak	članak	Ncmsn
22.	22.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Prije	prije	Rgp
bilo	biti	Vap-sn
kojih	koji	Pi-fpg
radnji	radnja	Ncfpg
prebacivanja	prebacivanje	Ncnsg
definiranih	definirati	Agpmpgy
člankom	članak	Ncmsi
2.	2.	Mdo
točkom	točka	Ncfsi
20.	20.	Mdo
zapovjednik	zapovjednik	Ncmsn
ulovnog	ulovan	Agpnsgy
plovila	plovilo	Ncnsg
ili	ili	Cc
plovila	plovilo	Ncnpa
za	za	Sa
tegalj	tegalj	Ncmsan
ili	ili	Cc
njegov	njegov	Ps3msn
predstavnik	predstavnik	Ncmsn
ili	ili	Cc
predstavnik	predstavnik	Ncmsn
uzgajališta	uzgajalište	Ncnsg
,	,	Z
ovisno	ovisno	Rgp
o	o	Sl
tome	taj	Pd-nsl
gdje	gdje	Cs
se	sebe	Px--sa
prebacivanje	prebacivanje	Ncnsn
odvija	odvijati	Vmr3s
,	,	Z
poslat	poslati	Vmn
će	htjeti	Var3s
Ministarstvu	ministarstvo	Ncnsl
obavijest	obavijest	Ncfsn
o	o	Sl
prebacivanju	prebacivanje	Ncnsl
(	(	Z
Prilog	prilog	Ncmsn
14.	14.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
)	)	Z
navodeći	navoditi	Rr
:	:	Z

–	–	Agpmsny
naziv	naziv	Ncmsn
ulovnog	ulovan	Agpnsgy
plovila	plovilo	Ncnsg
ili	ili	Cc
uzgajališta	uzgajalište	Ncnsg
i	i	Cc
ICCAT	iccat	Agpmsnn
broj	broj	Ncmsn
,	,	Z

–	–	Pp3nsn
procijenjeno	procijeniti	Agpnsay
vrijeme	vrijeme	Ncnsa
prebacivanja	prebacivanje	Ncnsg
,	,	Z

–	–	Sa
procijenjenu	procijeniti	Appfsay
količinu	količina	Ncfsa
tune	tuna	Ncfsg
za	za	Sa
prebacivanje	prebacivanje	Ncnsa
,	,	Z

–	i	Agpfpay
informacije	informacija	Ncfpa
o	o	Sl
položaju	položaj	Ncmsl
(	(	Z
dužina	dužina	Ncfsn
/	/	Z
širina	širina	Ncfsn
)	)	Z
gdje	gdje	Cs
će	htjeti	Var3s
se	sebe	Px--sa
obaviti	obaviti	Vmn
