funkcioniranje	funkcioniranje	Ncnsn
platnih	platni	Agpmpgy
sustava	sustav	Ncmpg
i	i	Cc
sustava	sustav	Ncmsg
za	za	Sa
namiru	namira	Ncfsa
financijskih	financijski	Agpmpgy
instrumenata	instrument	Ncmpg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Pri	pri	Sl
procjeni	procjena	Ncfsl
mogućnosti	mogućnost	Ncfsg
stečaja	stečaj	Ncmsg
odnosno	odnosno	Rgp
sanacije	sanacija	Ncfsg
grupe	grupa	Ncfsg
institucija	institucija	Ncfpg
u	u	Sl
Europskoj	europski	Agpfsly
uniji	unija	Ncfsl
za	za	Sa
koju	koji	Pi-fsa
je	biti	Var3s
Hrvatska	hrvatski	Agpfsny
narodna	narodni	Agpfsny
banka	banka	Ncfsn
odnosno	odnosno	Rgp
Hrvatska	hrvatski	Agpfsny
agencija	agencija	Ncfsn
za	za	Sa
nadzor	nadzor	Ncmsan
financijskih	financijski	Agpfpgy
usluga	usluga	Ncfpg
sanacijsko	sanacijski	Agpnsny
tijelo	tijelo	Ncnsn
za	za	Sa
grupu	grupa	Ncfsa
,	,	Z
a	a	Cc
koja	koji	Pi-fsn
nije	biti	Var3s
prekogranična	prekogranični	Agpfsny
osim	osim	Sg
okolnosti	okolnost	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
procjenjuju	procjenjivati	Vmr3p
se	sebe	Px--sa
i	i	Cc
okolnosti	okolnost	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
11.	11.	Mdo
stavka	stavak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
Hrvatska	hrvatski	Agpfsny
narodna	narodni	Agpfsny
banka	banka	Ncfsn
odnosno	odnosno	Rgp
Hrvatska	hrvatski	Agpfsny
agencija	agencija	Ncfsn
za	za	Sa
nadzor	nadzor	Ncmsan
financijskih	financijski	Agpfpgy
usluga	usluga	Ncfpg
mogu	moći	Vmr3p
pojednostaviti	pojednostaviti	Vmn
procjenu	procjena	Ncfsa
mogućnosti	mogućnost	Ncfsg
provođenja	provođenje	Ncnsg
stečajnog	stečajni	Agpmsgy
postupka	postupak	Ncmsg
odnosno	odnosno	Rgp
mogućnosti	mogućnost	Ncfpg
za	za	Sa
sanaciju	sanacija	Ncfsa
na	na	Sa
način	način	Ncmsan
da	da	Cs
ne	ne	Qz
procjenjuju	procjenjivati	Vmr3p
sve	sav	Agpmpay
navedene	naveden	Agpmpay
elemente	element	Ncmpa
ako	ako	Cs
stečajni	stečajni	Agpmsny
postupak	postupak	Ncmsn
odnosno	odnosno	Rgp
sanacija	sanacija	Ncfpg
te	te	Cc
institucije	institucija	Ncfpn
zbog	zbog	Sg
prirode	priroda	Ncfsg
,	,	Z
obuhvata	obuhvat	Ncmpg
i	i	Cc
složenosti	složenost	Ncfsg
posla	posao	Ncmsg
