pravnih	pravni	Agpnpgy
pitanja	pitanje	Ncnpg
(	(	Z
članak	članak	Ncmsn
55.	55.	Mdo
stavak	stavak	Ncmsn
3.	3.	Mdo
Zakon	zakon	Ncmsan
o	o	Sl
upravnim	upravan	Agpmply
sporovima	spor	Ncmpl
–	–	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
20/10.	20/10.	Mds
,	,	Z
143/12.	143/12.	Mds
i	i	Cc
152/14.	152/14.	Mds
–	–	Z
dalje	daleko	Rgc
ZUS	zi	Agpfsly
)	)	Z
Sud	sud	Ncmsn
je	biti	Var3s
utvrdio	utvrditi	Vmp-sm
da	da	Cs
tužbeni	tužbeni	Agpmsny
zahtjev	zahtjev	Ncmsn
osnovan	osnovati	Appmsnn
.	.	Z

Prema	prema	Sl
podacima	podatak	Ncmpl
spisa	spis	Ncmsg
proizlazi	proizlaziti	Vmr3s
da	da	Cs
je	biti	Var3s
osporavano	osporavati	Agpnsny
rješenje	rješenje	Ncnsn
doneseno	donijeti	Appnsny
povodom	povod	Sg
prigovora	prigovor	Ncmpg
pretplatnika	pretplatnik	Ncmpg
u	u	Sl
ovom	ovaj	Pd-msl
upravnom	upravan	Agpmsly
sporu	spor	Ncmsl
zainteresirane	zainteresiran	Agpfsgy
osobe	osoba	Ncfsg
Mladena	Mladen	Npmsg
Pupića	Pupić	Npmsg
,	,	Z
na	na	Sa
račun	račun	Ncmsan
za	za	Sa
mjesec	mjesec	Ncmsan
svibanj	svibanj	Ncmsan
2011.	2011.	Mdo

Naime	naime	Qo
,	,	Z
u	u	Sl
konkretnom	konkretan	Agpmsly
slučaju	slučaj	Ncmsl
pretplatnik	pretplatnik	Ncmsn
je	biti	Var3s
imao	imati	Vmp-sm
poteškoće	poteškoća	Ncfpa
s	sa	Si
korištenjem	korištenje	Ncnsi
IPTV	ipti	Agpfsgy
usluge	usluga	Ncfsg
te	te	Cc
je	biti	Var3s
nakon	nakon	Sg
prvotnog	prvotan	Agpmsgy
izlaska	izlazak	Ncmsg
tehničara	tehničar	Ncmpg
i	i	Cc
nadalje	nadalje	Rgp
prijavljivao	prijavljivati	Vmp-sm
kvar	kvar	Ncmsan
pa	pa	Cc
je	biti	Var3s
nastala	nastati	Vmp-sf
potreba	potreba	Ncfsn
za	za	Si
novim	nov	Agpmsiy
izlaskom	izlazak	Ncmsi
tehničara	tehničar	Ncmpg
.	.	Z

Proizlazi	proizlaziti	Vmr3s
da	da	Cs
mu	on	Pp3msd
je	biti	Var3s
nakon	nakon	Sg
izlaska	izlazak	Ncmsg
tehničara	tehničar	Ncmpg
na	na	Sl
računu	račun	Ncmsl
iskazana	iskazati	Appfsny
jednokratna	jednokratan	Agpfsny
naknada	naknada	Ncfsn
u	u	Sl
iznosu	iznos	Ncmsl
od	od	Sg
250,00	250,00	Mdc
kuna	kuna	Ncfpg
,	,	Z
a	a	Cc
tuženik	tuženik	Ncmsn
je	biti	Var3s
zaključio	zaključiti	Vmp-sm
kako	kako	Cs
tužitelj	tužitelj	Ncmsn
nije	biti	Var3s
dokazao	dokazati	Vmp-sm
da	da	Cs
je	biti	Var3s
bilo	biti	Vap-sn
osnove	osnova	Ncfsg
za	za	Sa
naplatu	naplata	Ncfsa
izlaska	izlazak	Ncmsg
ovlaštene	ovlašten	Agpfsgy
osobe	osoba	Ncfsg
,	,	Z
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
to	taj	Pd-nsa
da	da	Cs
iz	iz	Sg
dostavljene	dostaviti	Agpfsgy
dokumentacije	dokumentacija	Ncfsg
nije	biti	Var3s
razvidno	razvidan	Agpnsny
da	da	Cs
je	biti	Var3s
do	do	Sg
kvara	kvar	Ncmsg
došlo	doći	Vmp-sn
zbog	zbog	Sg
radnje	radnja	Ncfsg
,	,	Z
propusta	propust	Ncmsg
ili	ili	Cc
nečinjenja	nečinjenje	Ncnsg
pretplatnika	pretplatnik	Ncmpg
,	,	Z
odnosno	odnosno	Rgp
da	da	Cs
tužitelj	tužitelj	Ncmsn
ima	imati	Vmr3s
osnove	osnova	Ncfpa
naplatiti	naplatiti	Vmn
uslugu	usluga	Ncfsa
tehničara	tehničar	Ncmpg
sukladno	sukladno	Rgp
cjeniku	cjenik	Ncmsl
tužitelja	tužitelj	Ncmpg
.	.	Z

Odredbom	odredba	Ncfsi
članka	članak	Ncmsg
41.	41.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
elektroničkim	elektronički	Agpfply
komunikacijama	komunikacija	Ncfpl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
73/08.	73/08.	Mds
)	)	Z
propisano	propisati	Appnsny
je	biti	Var3s
da	da	Cs
operatori	operator	Ncmpn
javnih	javan	Agpfpgy
komunikacijskih	komunikacijski	Agpfpgy
usluga	usluga	Ncfpg
moraju	morati	Vmr3p
temeljiti	temeljit	Agpmpny
ugovore	ugovoriti	Vmr3p
iz	iz	Sg
stavka	stavak	Ncmsg
