Prilikom	prilikom	Sg
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
kod	kod	Sg
zatvorenog	zatvoren	Agpmsgy
AIF-a	AIF	Npmsg
s	sa	Si
unutarnjim	unutarnji	Agpnsiy
upravljanjem	upravljanje	Ncnsi
,	,	Z
uprava	uprava	Ncfsn
zatvorenog	zatvoren	Agpmsgy
AIF-a	AIF	Npmsg
kao	kao	Cs
podnositelj	podnositelj	Ncmsn
zahtjeva	zahtjev	Ncmpg
je	biti	Var3s
dužna	dužan	Agpfsny
postupati	postupati	Vmn
i	i	Cc
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
članka	članak	Ncmsg
126.	126.	Mdo

Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
ako	ako	Cs
zahtjev	zahtjev	Ncmsn
za	za	Sa
izdavanje	izdavanje	Ncnsa
odobrenje	odobrenje	Ncnsa
za	za	Sa
rad	rad	Ncmsan
malog	mali	Agpmsgy
UAIF-a	UAIF	Npmsg
podnosi	podnositi	Vmr3s
UAIF	UAIF	Npmsn
koji	koji	Pi-msn
već	već	Rgp
ima	imati	Vmr3s
odobrenje	odobrenje	Ncnsa
za	za	Sa
rad	rad	Ncmsan
UAIF-a	UAIF	Npmsg
izdano	izdati	Appnsny
od	od	Sg
strane	strana	Ncfsg
Agencije	agencija	Ncfsg
,	,	Z
uz	uz	Sa
zahtjev	zahtjev	Ncmsan
je	biti	Var3s
dužan	dužan	Agpmsnn
priložiti	priložiti	Vmn
samo	samo	Rgp
dokumentaciju	dokumentacija	Ncfsa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
točaka	točka	Ncfpg
f	f	X
)	)	Z
,	,	Z
g	g	Npmsn
)	)	Z
,	,	Z
h	h	Npmsn
)	)	Z
,	,	Z
m	m	Npmsn
)	)	Z
i	i	Cc
n	a	Ncfpn
)	)	Z
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

Članak	članak	Ncmsn
8.	8.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
zahtjev	zahtjev	Ncmsan
za	za	Sa
izdavanje	izdavanje	Ncnsa
odobrenja	odobrenje	Ncnsg
za	za	Sa
rad	rad	Ncmsan
malog	mali	Agpmsgy
UAIF-a	UAIF	Npmsg
podnosi	podnositi	Vmr3s
već	već	Rgp
osnovano	osnovati	Agpnsny
društvo	društvo	Ncnsn
,	,	Z
uprava	uprava	Ncfsn
društva	društvo	Ncnsg
uz	uz	Sa
zahtjev	zahtjev	Ncmsan
pored	pored	Sg
