telefonski	telefonski	Agpmsny
broj	broj	Ncmsn
i	i	Cc
druge	drugi	Mlompa
podatke	podatak	Ncmpa
koji	koji	Pi-mpn
su	biti	Var3p
određeni	odrediti	Appmpny
u	u	Sl
oglasu	oglas	Ncmsl
)	)	Z

2.	2.	Mdo
oznaku	oznaka	Ncfsa
identifikacijske	identifikacijski	Agpfsgy
isprave	isprava	Ncfsg
za	za	Sa
određenje	određenje	Ncnsa
osoba	osoba	Ncfpg
u	u	Sl
smislu	smisao	Ncmsl
članka	članak	Ncmsg
13.	13.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg

3.	3.	Mdo
određenje	određenje	Ncnsn
robe	roba	Ncfsg
za	za	Sa
koju	koji	Pi-fsa
se	sebe	Px--sa
daje	davati	Vmr3s
ponuda	ponuda	Ncfsn

4.	4.	Mdo
brojkom	brojka	Ncfsi
i	i	Cc
slovima	slovo	Vmr3s
naznačenu	naznačen	Agpfsay
visinu	visina	Ncfsa
ponuđene	ponuditi	Agpfsgy
cijene	cijena	Ncfsg
,	,	Z
koja	koji	Pi-fsn
mora	morati	Vmr3s
biti	biti	Van
viša	visok	Agcfsny
od	od	Sg
početne	početan	Agpfsgy
prodajne	prodajni	Agpfsgy
cijene	cijena	Ncfsg
robe	roba	Ncfsg

5.	5.	Mdo
podatak	podatak	Ncmsan
o	o	Sl
namjeri	namjera	Ncfsl
postupanja	postupanje	Ncnsg
s	sa	Si
robom	roba	Ncfsi
prema	prema	Sl
mogućnostima	mogućnost	Ncfpl
danim	dan	Agpmply
u	u	Sl
oglasu	oglas	Ncmsl
sukladno	sukladno	Rgp
odredbi	odredba	Ncfsl
članka	članak	Ncmsg
12.	12.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg

6.	6.	Mdo
popis	popis	Ncmsn
priloga	prilog	Ncmsg
uz	uz	Sa
ponudu	ponuda	Ncfsa

7.	7.	Mdo
potpis	potpis	Ncmsan
ponuditelja	ponuditelj	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Uz	uz	Sa
ponudu	ponuda	Ncfsa
moraju	morati	Vmr3p
biti	biti	Van
priložene	priložen	Agpfpny
sve	sav	Agpfpny
isprave	isprava	Ncfpn
kojima	koji	Pi-fpi
ponuditelj	ponuditelj	Ncmsn
dokazuje	dokazivati	Vmr3s
ispunjavanje	ispunjavanje	Ncnsa
uvjeta	uvjet	Ncmpg
iz	iz	Sg
oglasa	oglas	Ncmsg
,	,	Z
i	i	Cc
to	to	Qo
:	:	Z

1.	1.	Mdo
presliku	preslika	Ncfsa
identifikacijske	identifikacijski	Agpfsgy
isprave	isprava	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
točke	točka	Ncfsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg

2.	2.	Mdo
punomoć	punomoć	Ncfsn
za	za	Sa
zastupanje	zastupanje	Ncnsa
,	,	Z
ukoliko	ukoliko	Cs
se	sebe	Px--sa
ponuda	ponuda	Ncfsn
podnosi	podnositi	Vmr3s
putem	put	Sg
ovlaštenog	ovlašten	Agpmsgy
opunomoćenika	opunomoćenik	Ncmsg

3.	3.	Mdo
dokaz	dokaz	Ncmsn
o	o	Sl
izvršenoj	izvršen	Agpfsly
uplati	uplata	Ncfsl
jamčevine	jamčevina	Ncfsg

