upisivati	upisivati	Vmn
odgovore	odgovor	Ncmpa
.	.	Z
[	[	Z
7	7	Mdc
]	]	Z

Redni	redni	Agpmsny
broj	broj	Ncmsn
Pitanje	pitanje	Ncnsn
Odgovor	odgovor	Ncmsn
Referenca	referenca	Ncfsn
N	N	X
/	/	Z
P	P	Y
DA	da	Cs
NE9	nei	Agpnsny
IZVJEŠTAVANJE	izvještavanje	Ncnsn
I	i	Cc
OSTALO	ostali	Agpnsny
64.	64.	Mdo

Kod	kod	Sg
predaje	predaja	Ncfsg
financijskih	financijski	Agpmpgy
izvještaja	izvještaj	Ncmpg
poštivali	poštivati	Vmp-pm
su	biti	Var3p
se	sebe	Px--sa
rokovi	rok	Ncmpn
i	i	Cc
način	način	Ncmsn
predaje	predavati	Vmr3s
utvrđeni	utvrditi	Appmpny
Pravilnikom	pravilnik	Ncmsi
o	o	Sl
financijskom	financijski	Agpnsly
izvještavanju	izvještavanje	Ncnsl
u	u	Sl
proračunskom	proračunski	Agpnsly
računovodstvu	računovodstvo	Ncnsl
(	(	Z
odgovaraju	odgovarati	Vmr3p
obveznici	obveznik	Ncmpn
primjene	primjena	Ncfsg
proračunskog	proračunski	Agpnsgy
računovodstva	računovodstvo	Ncnsg
)	)	Z
preslike	preslika	Ncfsg
odnosno	odnosno	Rgp
reference	referenca	Ncfsg
referentnih	referentan	Agpfpgy
stranica	stranica	Ncfpg
financijskih	financijski	Agpmpgy
izvještaja	izvještaj	Ncmpg
65.	65.	Mdo

Jedinica	jedinica	Ncfsn
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfsg
izvještavala	izvještavati	Vmp-sf
je	biti	Var3s
Ministarstvo	ministarstvo	Ncnsn
financija	financije	Ncfpg
o	o	Sl
zaduženjima	zaduženje	Ncnpl
/	/	Z
danim	dan	Agpfpiy
suglasnostima	suglasnost	Ncfpi
za	za	Sa
zaduženja	zaduženje	Ncnsg
/	/	Z
jamstva	jamstvo	Ncnsg
sukladno	sukladno	Rgp
odredbama	odredba	Ncfpl
Zakona	zakon	Ncmsg
o	o	Sl
proračunu	proračun	Ncmsl
i	i	Cc
Pravilnika	pravilnik	Ncmpg
o	o	Sl
postupku	postupak	Ncmsl
zaduživanja	zaduživanje	Ncnsg
te	te	Cc
davanja	davanje	Ncnsg
jamstava	jamstvo	Ncnpg
i	i	Cc
suglasnosti	suglasnost	Ncfsg
jedinica	jedinica	Ncfpg
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfsg
(	(	Z
odgovaraju	odgovarati	Vmr3p
jedinice	jedinica	Ncfpn
lokalne	lokalan	Agpfpny
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfsg
)	)	Z
preslika	preslika	Ncfsn
odnosno	odnosno	Rgp
referenca	referenca	Ncfsn
dopisa	dopis	Ncmsg
66.	66.	Mdo

Jedinica	jedinica	Ncfsn
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfsg
(	(	Z
korisnik	korisnik	Ncmsn
pomoći	pomoć	Ncfsg
izravnanja	izravnanje	Ncnsg
)	)	Z
dostavila	dostaviti	Vmp-sf
je	biti	Var3s
izvještaj	izvještaj	Ncmsan
o	o	Sl
utrošenim	utrošiti	Ncmpl
sredstvima	sredstvo	Ncnpl
resornom	resorni	Agpnsly
ministarstvu	ministarstvo	Ncnsl
ili	ili	Cc
nadležnom	nadležan	Agpnsly
tijelu	tijelo	Ncnsl
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
na	na	Sa
propisan	propisan	Agpmsann
način	način	Ncmsan
i	i	Cc
u	u	Sl
rokovima	rok	Ncmpl
utvrđenima	utvrditi	Ncmpl
Uredbom	uredba	Ncfsi
o	o	Sl
načinu	način	Ncmsl
izračuna	izračun	Ncmsg
iznosa	iznos	Ncmsg
pomoći	pomoć	Ncfsg
izravnanja	izravnanje	Ncnsg
za	za	Sa
decentralizirane	decentraliziran	Agpfpay
funkcije	funkcija	Ncfpa
jedinice	jedinica	Ncfsg
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfsgy
)	)	Z
samouprave	samouprava	Ncfsg
i	i	Cc
odlukama	odluka	Ncfpl
