vještinama	vještina	Ncfpi
i	i	Cc
stručnošću	stručnost	Ncfsi
.	.	Z

Pružanje	pružanje	Ncnsn
usluga	usluga	Ncfpg
koje	koji	Pi-fpn
ne	ne	Qz
uključuju	uključivati	Vmr3p
izražavanje	izražavanje	Ncnsa
uvjerenja	uvjerenje	Ncnsg
može	moći	Vmr3s
,	,	Z
međutim	međutim	Rgp
,	,	Z
stvoriti	stvoriti	Vmn
prijetnje	prijetnja	Ncfpa
neovisnosti	neovisnost	Ncfpg
revizorskom	revizorski	Agpnsly
društvu	društvo	Ncnsl
ili	ili	Cc
članovima	član	Ncmpd
tima	tim	Ncmsg
za	za	Sa
izražavanje	izražavanje	Ncnsa
uvjerenja	uvjerenje	Ncnsg
.	.	Z

Nastale	nastao	Agpfpny
prijetnje	prijetnja	Ncfpn
su	biti	Var3p
najčešće	čest	Agsfpny
prijetnje	prijetnja	Ncfpa
temeljem	temelj	Ncmsi
samoprovjere	samoprovjera	Ncfsg
,	,	Z
prijetnje	prijetnja	Ncfpa
temeljem	temelj	Ncmsi
osobnog	osoban	Agpmsgy
interesa	interes	Ncmsg
i	i	Cc
prijetnje	prijetnja	Ncfsg
temeljem	temelj	Sg
propagiranja	propagiranje	Ncnsg
.	.	Z

291.139	291.139	Mdc
Kada	kada	Cs
posebna	poseban	Agpfsny
uputa	uputa	Ncfsn
za	za	Sa
određenu	određen	Agpfsay
uslugu	usluga	Ncfsa
bez	bez	Sg
izražavanja	izražavanje	Ncnsg
uvjerenja	uvjerenje	Ncnsg
nije	biti	Var3s
uključena	uključen	Agpfsny
u	u	Sl
ovom	ovaj	Pd-msl
odjeljku	odjeljak	Ncmsl
,	,	Z
kod	kod	Sg
ocjenjivanja	ocjenjivanje	Ncnsg
konkretnih	konkretan	Agpfpgy
okolnosti	okolnost	Ncfpg
primijenit	primijeniti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
konceptualni	konceptualan	Agpmsny
okvir	okvir	Ncmsn
.	.	Z

291.140	291.140	Mdc
Prije	prija	Cs
nego	nego	Cs
što	što	Cs
revizorsko	revizorski	Agpnsny
društvo	društvo	Ncnsn
prihvati	prihvatiti	Vmr3s
angažman	angažman	Ncmsan
za	za	Sa
pružanje	pružanje	Ncnsa
usluge	usluga	Ncfsg
bez	bez	Sg
izražavanja	izražavanje	Ncnsg
uvjerenja	uvjerenje	Ncnsg
klijentu	klijent	Ncmsd
za	za	Sa
kojeg	koji	Pi-msay
se	sebe	Px--sa
izražava	izražavati	Vmr3s
uvjerenje	uvjerenje	Ncnsa
,	,	Z
utvrdit	utvrditi	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
bi	biti	Vaa3s
li	li	Qq
pružanje	pružanje	Ncnsn
takve	takav	Pd-fsg
usluge	usluga	Ncfpa
stvorilo	stvoriti	Vmp-sn
prijetnju	prijetnja	Ncfsa
neovisnosti	neovisnost	Ncfsg
.	.	Z

U	u	Sl
ocjenjivanju	ocjenjivanje	Ncnsl
važnosti	važnost	Ncfsg
svake	svaki	Pi-fsg
prijetnje	prijetnja	Ncfsg
nastale	nastao	Agpfsgy
uslijed	uslijed	Sg
određene	određen	Agpfpay
usluge	usluga	Ncfpa
bez	bez	Sg
izražavanja	izražavanje	Ncnsg
uvjerenja	uvjerenje	Ncnsg
,	,	Z
pozornost	pozornost	Ncfsn
će	htjeti	Var3s
se	sebe	Px--sa
usmjeriti	usmjeriti	Vmn
na	na	Sa
svaku	svaki	Pi-fsa
prijetnju	prijetnja	Ncfsa
za	za	Sa
koju	koji	Pi-fsa
tim	tim	Ncmsan
za	za	Sa
izražavanje	izražavanje	Ncnsa
uvjerenja	uvjerenje	Ncnsg
ima	imati	Vmr3s
razloga	razlog	Ncmsg
vjerovati	vjerovati	Vmn
da	da	Cs
je	biti	Var3s
nastala	nastati	Vmp-sf
