ne	ne	Qz
Naziv	naziv	Ncmsn
cjepiva	cjepivo	Ncnsg
:	:	Z
Datum	datum	Ncmsn
cijepljenja	cijepljenje	Ncnsg
:	:	Z
UZORAK	uzorak	Ncmsn
Vrsta	vrsta	Ncfsn
uzorka	uzorak	Ncmsg
krv	krv	Ncfsn
školjke	školjka	Ncfsg
(	(	Z
vrsta	vrsta	Ncfsn
/	/	Z
e	e	Y
)	)	Z
:	:	Z
(	(	Z
označiti	označiti	Vmn
)	)	Z
organi	organ	Ncmpn
(	(	Z
navesti	navesti	Vmn
koji	koji	Pi-msan
)	)	Z
:	:	Z
trup	trup	Ncmsn
peradi	perad	Ncfsg
cekum	cekui	Agpfsgy
peradi	perad	Ncfsg
feces	feces	Ncnsv
(	(	Z
ako	ako	Cs
je	biti	Var3s
skupni	skupni	Agpmsny
uzorak	uzorak	Ncmsn
,	,	Z
navesti	navesti	Vmn
mjesto	mjesto	Ncnsa
uzorkovanja	uzorkovanje	Ncnsg
)	)	Z
:	:	Z
navlake	navlaka	Ncfpn
za	za	Sa
obuću	obuća	Ncfsa
jaja	jaje	Ncnpg
(	(	Z
navesti	navesti	Vmn
količinu	količina	Ncfsa
)	)	Z
urin	urin	Ncmsan
ovarijalna	ovarijalan	Agpfsny
tekućina	tekućina	Ncfsn
mlijeko	mlijeko	Ncnsn
ličinke	ličinka	Ncfsg
(	(	Z
navesti	navesti	Vmn
čega	što	Pi3n-g
)	)	Z
:	:	Z
obrisak	obrisak	Ncmsn
(	(	Z
navesti	navesti	Vmn
čega	što	Pi3n-g
)	)	Z
:	:	Z
lešina	lešina	Ncfsn
(	(	Z
navesti	navesti	Vmn
čega	što	Pi3n-g
)	)	Z
:	:	Z
pobačeni	pobaciti	Agpmsny
fetus	fetus	Ncmsn
drugo	drugi	Mlonsa
(	(	Z
navesti	navesti	Vmn
)	)	Z
:	:	Z
riba	riba	Ncfsn
(	(	Z
navesti	navesti	Vmn
vrstu	vrsta	Ncfsa
/	/	Z
e	e	Y
)	)	Z
:	:	Z
Pretraživanje	pretraživanje	Ncnsn
(	(	Z
navesti	navesti	Vmn
članak	članak	Ncmsn
Naredbe	naredba	Ncfsg
)	)	Z
:	:	Z
Bolest	bolest	Ncfsn
(	(	Z
navesti	navesti	Vmn
)	)	Z
:	:	Z
Datum	datum	Ncmsn
slanja	slanje	Ncnsg
uzoraka	uzorak	Ncmpg
u	u	Sa
laboratorij	laboratorij	Ncmsan
:	:	Z
Način	način	Ncmsn
dostave	dostava	Ncfsg
uzorka	uzorak	Ncmsg
:	:	Z
Naziv	naziv	Ncmsn
laboratorija	laboratorij	Ncmsg
:	:	Z
Ime	ime	Ncnsn
,	,	Z
prezime	prezime	Ncnsa
i	i	Cc
br.	br.	Y
ovlaštenja	ovlaštenje	Ncnsg
veterinara	veterinar	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
uzeo	uzeti	Vmp-sm
uzorak	uzorak	Ncmsan
:	:	Z
Potpis	potpis	Ncmsn
:	:	Z
Naziv	naziv	Ncmsn
ovlaštene	ovlašten	Agpfsgy
vet	vet	Ncmsn
.	.	Z
organizacije	organizacija	Ncfsg
:	:	Z
Pečat	pečat	Ncmsn
:	:	Z
Adresa	adresa	Ncfsn
:	:	Z
Telefon	telefon	Ncmsn
/	/	Z
telefaks	telefaks	Ncmsn
:	:	Z
/	/	Z

DODATAK	dodatak	Ncmsn
III	III	Mrc
.	.	Z

UZORKOVANJE	uzorkovanje	Ncnsn
ZBOG	zbog	Sg
POBAČAJA	pobačaj	Ncmsg
NAZIV	naziv	Ncmsn
BOLESTI	bolest	Ncfsg
VRSTA	vrsta	Ncfsn
ŽIVOTINJE	životinja	Ncfsg
KRAVE	krava	Ncfsg
KOBILE	kobila	Ncfsg
KRMAČE	krmača	Ncfsg
OVCE	ovca	Ncfsg
KOZE	koza	Ncfsg
ARTERITIS	ARTERITIS	Npmsn
KONJA	konj	Ncmsg
X	X	X
BRUCELOZA	bruceloza	Ncfpg
GOVEDA	govedo	Ncnsg
X	X	Agpfpgy
BRUCELOZA	bruceloza	Ncfpg
SVINJA	svinja	Ncfsn
X	X	Agpfsny
BOLEST	bolest	Ncfsn
AUJESZKOGA	AUJESZKOG	Npmsg
X	X	Agpfpgy
