koja	koji	Pi-fsn
je	biti	Var3s
prethodno	prethodno	Rgp
opozvana	opozvati	Appfsny
može	moći	Vmr3s
se	sebe	Px--sa
vratiti	vratiti	Vmn
i	i	Qo
prije	prije	Sg
isteka	istek	Ncmsg
roka	rok	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
:	:	Z

1.	1.	Mdo
ako	ako	Cs
Carinska	carinski	Agpfsny
uprava	uprava	Ncfsn
utvrdi	utvrditi	Vmr3s
da	da	Cs
su	biti	Var3p
izmireni	izmiriti	Appmpny
svi	sav	Agpmpny
dugovi	dug	Ncmpn
koji	koji	Pi-mpn
su	biti	Var3p
bili	biti	Vap-pm
osigurani	osigurati	Appmpny
predmetnom	predmetni	Agpfsiy
bankovnom	bankovan	Agpfsiy
garancijom	garancija	Ncfsi
,	,	Z
odnosno	odnosno	Rgp
da	da	Cs
mogući	moguć	Agpmsny
dug	dug	Ncmsn
više	više	Rgp
ne	ne	Qz
može	moći	Vmr3s
nastati	nastati	Vmn
ili	ili	Cc

2.	2.	Mdo
ako	ako	Cs
nalogodavac	nalogodavac	Ncmsn
za	za	Sa
izdavanje	izdavanje	Ncnsa
bankovne	bankovan	Agpfsgy
garancije	garancija	Ncfsg
podnese	podnijeti	Vmr3s
novu	nov	Agpfsay
bankovnu	bankovan	Agpfsay
garanciju	garancija	Ncfsa
kojom	koji	Pi-fsi
se	sebe	Px--sa
u	u	Sl
cijelosti	cijelost	Ncfsl
preuzimaju	preuzimati	Vmr3p
sve	sav	Agpfpay
jamstvene	jamstveni	Agpfpay
obveze	obveza	Ncfpa
prethodno	prethodno	Rgp
važeće	važeći	Agpfsgy
bankovne	bankovan	Agpfsgy
garancije	garancija	Ncfsg
,	,	Z
a	a	Cc
nova	nov	Agpfsny
bankovna	bankovan	Agpfsny
garancija	garancija	Ncfsn
prema	prema	Sl
utvrđenju	utvrđenje	Ncnsl
Carinske	carinski	Agpfsgy
uprave	uprava	Ncfsg
u	u	Sl
cijelosti	cijelost	Ncfsl
osigurava	osiguravati	Vmr3s
namirenje	namirenje	Ncnsa
jamstvenih	jamstveni	Agpfpgy
obveza	obveza	Ncfpg
po	po	Sl
prethodno	prethodno	Rgp
važećoj	važeći	Agpfsly
garanciji	garancija	Ncfsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Bjanko-zadužnica	bjanko-zadužnica	Ncfsn
i	i	Cc
zadužnica	zadužnica	Ncfsn
vraća	vraćati	Vmr3s
se	sebe	Px--sa
na	na	Sl
temelju	temelj	Ncmsl
zahtjeva	zahtjev	Ncmpg
imatelju	imatelj	Ncmsl
zadužnice	zadužnica	Ncfsg
šest	šest	Mlc
mjeseci	mjesec	Ncmpg
nakon	nakon	Sg
ukidanja	ukidanje	Ncnsg
ili	ili	Cc
opoziva	opoziv	Ncmsg
odobrenja	odobrenje	Ncnsg
za	za	Sa
korištenje	korištenje	Ncnsa
bjanko-zadužnice	bjanko-zadužnica	Ncfsg
i	i	Cc
