Različitost	različitost	Ncfsn
spolova	spol	Ncmpg
,	,	Z
izjava	izjava	Ncfsn
i	i	Cc
postupak	postupak	Ncmsan
sklapanja	sklapanje	Ncnsg
braka	brak	Ncmsg

Članak	članak	Ncmsn
23.	23.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Za	za	Sa
postojanje	postojanje	Ncnsa
braka	brak	Ncmsg
potrebno	potreban	Agpnsny
je	biti	Var3s
:	:	Z

1.	1.	Mdo
da	da	Cs
su	biti	Var3p
nevjesta	nevjesta	Ncfsn
i	i	Cc
ženik	ženik	Ncmsn
osobe	osoba	Ncfsg
različita	različit	Agpmsgn
spola	spol	Ncmsg

2.	2.	Mdo
da	da	Cs
su	biti	Var3p
nevjesta	nevjesta	Ncfsn
i	i	Cc
ženik	ženik	Ncmsn
izjavili	izjaviti	Vmp-pm
svoj	svoj	Px-msan
pristanak	pristanak	Ncmsan
za	za	Sa
sklapanje	sklapanje	Ncnsa
braka	brak	Ncmsg
i	i	Cc

3.	3.	Mdo
da	da	Cs
je	biti	Var3s
brak	brak	Ncmsn
u	u	Sl
građanskom	građanski	Agpmsly
obliku	oblik	Ncmsl
sklopljen	sklopiti	Appmsnn
pred	pred	Si
matičarom	matičar	Ncmsi
ili	ili	Cc
da	da	Cs
je	biti	Var3s
brak	brak	Ncmsn
u	u	Sl
vjerskom	vjerski	Agpmsly
obliku	oblik	Ncmsl
sklopljen	sklopiti	Appmsnn
prema	prema	Sl
odredbama	odredba	Ncfpl
članka	članak	Ncmsg
13.	13.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
i	i	Cc
članka	članak	Ncmsg
20.	20.	Mdo
stavaka	stavak	Ncmpg
1.	1.	Mdo
i	i	Cc
4.	4.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ako	ako	Cs
u	u	Sa
vrijeme	vrijeme	Ncnsa
sklapanja	sklapanje	Ncnsg
braka	brak	Ncmsg
nije	biti	Var3s
bila	biti	Vap-sf
ispunjena	ispuniti	Appfsny
koja	koji	Pi-fsn
od	od	Sg
