Provizija	provizija	Ncfsn

Članak	članak	Ncmsn
428.	428.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Društvo	društvo	Ncnsn
za	za	Sa
zastupanje	zastupanje	Ncnsa
u	u	Sl
osiguranju	osiguranje	Ncnsl
,	,	Z
odnosno	odnosno	Rgp
zastupnik	zastupnik	Ncmsn
u	u	Sl
osiguranju	osiguranje	Ncnsl
nema	nemati	Vmr3s
pravo	pravo	Ncnsa
od	od	Sg
ugovaratelja	ugovaratelj	Ncmsg
osiguranja	osiguranje	Ncnsg
,	,	Z
odnosno	odnosno	Rgp
osiguranika	osiguranik	Ncmpg
zahtijevati	zahtijevati	Vmn
plaćanje	plaćanje	Ncnsa
provizije	provizija	Ncfsg
ili	ili	Cc
bilo	bilo	Qo
kakvu	kakav	Pi-fsa
drugu	drugi	Mlofsa
naplatu	naplata	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Društvo	društvo	Ncnsn
za	za	Sa
posredovanje	posredovanje	Ncnsa
u	u	Sl
osiguranju	osiguranje	Ncnsl
i	i	Cc
reosiguranju	reosiguranje	Ncnsl
,	,	Z
odnosno	odnosno	Rgp
posrednik	posrednik	Ncmsn
u	u	Sl
osiguranju	osiguranje	Ncnsl
i	i	Cc
reosiguranju	reosiguranje	Ncnsl
nema	nemati	Vmr3s
pravo	pravo	Ncnsa
od	od	Sg
ugovaratelja	ugovaratelj	Ncmsg
osiguranja	osiguranje	Ncnsg
,	,	Z
ugovaratelja	ugovaratelj	Ncmpg
reosiguranja	reosiguranje	Ncnsg
,	,	Z
odnosno	odnosno	Rgp
osiguranika	osiguranik	Ncmpg
zahtijevati	zahtijevati	Vmn
plaćanje	plaćanje	Ncnsa
provizije	provizija	Ncfsg
ili	ili	Cc
kakvu	kakav	Pi-fsa
drugu	drugi	Mlofsa
naplatu	naplata	Ncfsa
osim	osim	Cs
ako	ako	Cs
nije	biti	Var3s
ugovorom	ugovor	Ncmsi
s	sa	Si
ugovarateljem	ugovaratelj	Ncmsi
osiguranja	osiguranje	Ncnsg
,	,	Z
odnosno	odnosno	Rgp
s	sa	Si
ugovarateljem	ugovaratelj	Ncmsi
reosiguranja	reosiguranje	Ncnsg
izričito	izričito	Rgp
pismeno	pismeno	Rgp
drukčije	drugačije	Rgp
ugovoreno	ugovoriti	Appnsny
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Društvo	društvo	Ncnsn
za	za	Sa
posredovanje	posredovanje	Ncnsa
u	u	Sl
osiguranju	osiguranje	Ncnsl
i	i	Cc
reosiguranju	reosiguranje	Ncnsl
,	,	Z
odnosno	odnosno	Rgp
posrednik	posrednik	Ncmsn
u	u	Sl
osiguranju	osiguranje	Ncnsl
i	i	Cc
reosiguranju	reosiguranje	Ncnsl
pravo	pravo	Ncnsa
na	na	Sa
proviziju	provizija	Ncfsa
stječe	stjecati	Vmr3s
početkom	početkom	Sg
važenja	važenje	Ncnsg
ugovora	ugovor	Ncmsg
o	o	Sl
osiguranju	osiguranje	Ncnsl
,	,	Z
odnosno	odnosno	Rgp
ugovora	ugovor	Ncmsg
o	o	Sl
reosiguranju	reosiguranje	Ncnsl
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
ugovorom	ugovor	Ncmsi
s	sa	Si
ugovarateljem	ugovaratelj	Ncmsi
osiguranja	osiguranje	Ncnsg
,	,	Z
odnosno	odnosno	Rgp
s	sa	Si
ugovarateljem	ugovaratelj	Ncmsi
reosiguranja	reosiguranje	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
izričito	izričito	Rgp
pisano	pisati	Appnsny
ugovoreno	ugovoriti	Appnsny
da	da	Cs
društvo	društvo	Ncnsn
za	za	Sa
posredovanje	posredovanje	Ncnsa
u	u	Sl
osiguranju	osiguranje	Ncnsl
i	i	Cc
reosiguranju	reosiguranje	Ncnsl
,	,	Z
odnosno	odnosno	Rgp
posrednik	posrednik	Ncmsn
u	u	Sl
osiguranju	osiguranje	Ncnsl
i	i	Cc
reosiguranju	reosiguranje	Ncnsl
ima	imati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
proviziju	provizija	Ncfsa
ili	ili	Cc
bilo	bilo	Qo
kakvu	kakav	Pi-fsa
drugu	drugi	Mlofsa
naplatu	naplata	Ncfsa
,	,	Z
nema	nemati	Vmr3s
pravo	pravo	Ncnsa
od	od	Sg
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
zahtijevati	zahtijevati	Vmn
proviziju	provizija	Ncfsa
ili	ili	Cc
bilo	bilo	Qo
kakvu	kakav	Pi-fsa
drugu	drugi	Mlofsa
naplatu	naplata	Ncfsa
po	po	Sl
istom	isti	Agpmsly
ugovoru	ugovor	Ncmsl
o	o	Sl
osiguranju	osiguranje	Ncnsl
,	,	Z
odnosno	odnosno	Rgp
ugovoru	ugovor	Ncmsl
o	o	Sl
reosiguranju	reosiguranje	Ncnsl
u	u	Sl
kojima	koji	Pi-fpl
je	biti	Var3s
posredovao	posredovati	Vmp-sm
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Društvo	društvo	Ncnsn
za	za	Sa
posredovanje	posredovanje	Ncnsa
u	u	Sl
osiguranju	osiguranje	Ncnsl
i	i	Cc
reosiguranju	reosiguranje	Ncnsl
,	,	Z
odnosno	odnosno	Rgp
posrednik	posrednik	Ncmsn
u	u	Sl
osiguranju	osiguranje	Ncnsl
i	i	Cc
reosiguranju	reosiguranje	Ncnsl
ne	ne	Qz
smije	smjeti	Vmr3s
se	sebe	Px--sa
naknadno	naknadno	Rgp
dogovoriti	dogovoriti	Vmn
o	o	Sl
promjeni	promjena	Ncfsl
načina	način	Ncmsg
obračuna	obračun	Ncmsg
,	,	Z
odnosno	odnosno	Rgp
o	o	Sl
visini	visina	Ncfsl
provizije	provizija	Ncfsg
za	za	Sa
sklopljene	sklopiti	Agpmpay
ugovore	ugovor	Ncmpa
o	o	Sl
osiguranju	osiguranje	Ncnsl
,	,	Z
odnosno	odnosno	Rgp
ugovore	ugovor	Ncmpa
o	o	Sl
reosiguranju	reosiguranje	Ncnsl
u	u	Sl
kojima	koji	Pi-fpl
je	biti	Var3s
posredovao	posredovati	Vmp-sm
.	.	Z

Poslovne	poslovan	Agpfpny
knjige	knjiga	Ncfpn
i	i	Cc
financijski	financijski	Agpmpny
izvještaji	izvještaj	Ncmpn

Članak	članak	Ncmsn
429.	429.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Društvo	društvo	Ncnsn
za	za	Sa
zastupanje	zastupanje	Ncnsa
u	u	Sl
osiguranju	osiguranje	Ncnsl
,	,	Z
odnosno	odnosni	Agpnsny
društvo	društvo	Ncnsn
za	za	Sa
posredovanje	posredovanje	Ncnsa
u	u	Sl
osiguranju	osiguranje	Ncnsl
i	i	Cc
reosiguranju	reosiguranje	Ncnsl
dužno	dužan	Agpnsny
je	biti	Var3s
voditi	voditi	Vmn
poslovne	poslovan	Agpfpay
knjige	knjiga	Ncfpa
,	,	Z
sastavljati	sastavljati	Vmn
knjigovodstvene	knjigovodstven	Agpfpay
isprave	isprava	Ncfpa
,	,	Z
vrednovati	vrednovati	Vmn
imovinu	imovina	Ncfsa
i	i	Cc
obveze	obveza	Ncfpa
te	te	Cc
sastavljati	sastavljati	Vmn
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
Zakonom	zakon	Ncmsi
o	o	Sl
trgovačkim	trgovački	Agpnply
društvima	društvo	Ncnpl
,	,	Z
Zakonom	zakon	Ncmsi
o	o	Sl
računovodstvu	računovodstvo	Ncnsl
i	i	Cc
drugim	drugi	Mlompi
propisima	propis	Ncmpi
,	,	Z
poštujući	poštovati	Rr
pritom	pritom	Rgp
računovodstvene	računovodstveni	Agpfsgy
i	i	Cc
financijske	financijski	Agpmpay
standarde	standard	Ncmpa
i	i	Cc
načela	načelo	Ncnpa
te	te	Cc
opće	opći	Agpfpay
računovodstvene	računovodstveni	Agpfpay
pretpostavke	pretpostavka	Ncfpa
,	,	Z
ako	ako	Cs
to	taj	Pd-nsa
ovim	ovaj	Pd-msi
