razlučnih	razlučan	Agpmpgy
vjerovnika	vjerovnik	Ncmpg
,	,	Z
na	na	Sl
ročištu	ročište	Ncnsl
će	htjeti	Var3s
se	sebe	Px--sa
posebno	posebno	Rgp
raspraviti	raspraviti	Vmn
prava	pravo	Ncnpg
tih	taj	Pd-mpg
vjerovnika	vjerovnik	Ncmpg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ako	ako	Cs
plan	plan	Ncmsn
ispunjenja	ispunjenje	Ncnsg
obveza	obveza	Ncfpg
bude	biti	Var3s
prihvaćen	prihvatiti	Appmsnn
,	,	Z
prijedlog	prijedlog	Ncmsn
za	za	Sa
otvaranje	otvaranje	Ncnsa
postupka	postupak	Ncmsg
stečaja	stečaj	Ncmsg
potrošača	potrošač	Ncmpg
smatra	smatrati	Vmr3s
se	sebe	Px--sa
povučenim	povući	Appnsiy
.	.	Z

Neprihvaćanje	neprihvaćanje	Ncnsn
plana	plan	Ncmsg

Članak	članak	Ncmsn
52.	52.	Mdo

Ako	ako	Cs
plan	plan	Ncmsn
ispunjenja	ispunjenje	Ncnsg
obveza	obveza	Ncfpg
ne	ne	Qz
bude	biti	Var3s
prihvaćen	prihvatiti	Appmsnn
,	,	Z
sud	sud	Ncmsn
će	htjeti	Var3s
otvoriti	otvoriti	Vmn
postupak	postupak	Ncmsan
stečaja	stečaj	Ncmsg
potrošača	potrošač	Ncmpg
uz	uz	Sa
primjenu	primjena	Ncfsa
pravila	pravilo	Ncnpg
propisanih	propisati	Appmpgy
ovim	ovaj	Pd-msi
Zakonom	zakon	Ncmsi
.	.	Z

GLAVA	glava	Ncfsn
VI	VI	Mrc
.	.	Z

OTVARANJE	otvaranje	Ncnsn
POSTUPKA	postupak	Ncmsg
STEČAJA	stečaj	Ncmsg
POTROŠAČA	potrošač	Ncmpg
I	i	Cc
PRAVNE	pravni	Agpfpay
POSLJEDICE	posljedica	Ncfpa
NJEGOVA	njegov	Ps3nsg
OTVARANJA	otvaranje	Ncnsg

Otvaranje	otvaranje	Ncnsn
postupka	postupak	Ncmsg

Članak	članak	Ncmsn
53.	53.	Mdo

Sud	sud	Ncmsn
donosi	donositi	Vmr3s
rješenje	rješenje	Ncnsa
o	o	Sl
otvaranju	otvaranje	Ncnsl
postupka	postupak	Ncmsg
stečaja	stečaj	Ncmpg
potrošača	potrošač	Ncmpg
ako	ako	Cs
utvrdi	utvrditi	Vmr3s
postojanje	postojanje	Ncnsa
stečajnoga	stečajni	Agpmsgy
razloga	razlog	Ncmsg
i	i	Cc
ako	ako	Cs
na	na	Sl
pripremnom	pripreman	Agpnsly
ročištu	ročište	Ncnsl
nije	biti	Var3s
prihvaćen	prihvatiti	Appmsnn
plan	plan	Ncmsn
ispunjenja	ispunjenje	Ncnsg
obveza	obveza	Ncfpg
.	.	Z

Rješenje	rješenje	Ncnsn
o	o	Sl
otvaranju	otvaranje	Ncnsl
postupka	postupak	Ncmsg
stečaja	stečaj	Ncmsg
potrošača	potrošač	Ncmpg

Članak	članak	Ncmsn
54.	54.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Rješenje	rješenje	Ncnsn
o	o	Sl
otvaranju	otvaranje	Ncnsl
postupka	postupak	Ncmsg
stečaja	stečaj	Ncmsg
potrošača	potrošač	Ncmpg
osobito	osobito	Rgp
mora	morati	Vmr3s
sadržavati	sadržavati	Vmn
:	:	Z

−	i	Agpmpay
podatke	podatak	Ncmpa
za	za	Sa
identifikaciju	identifikacija	Ncfsa
potrošača	potrošač	Ncmpg

−	i	Agpmpay
podatke	podatak	Ncmpa
za	za	Sa
identifikaciju	identifikacija	Ncfsa
povjerenika	povjerenik	Ncmpg

−	−	Agpmsayn
dan	dan	Ncmsan
,	,	Z
sat	sat	Ncmsn
i	i	Cc
minutu	minuta	Ncfsa
otvaranja	otvaranje	Ncnsg
postupka	postupak	Ncmsg
stečaja	stečaj	Ncmsg
potrošača	potrošač	Ncmpg

−	−	Z
poziv	poziv	Ncmsan
vjerovnicima	vjerovnik	Ncmpd
da	da	Cs
povjereniku	povjerenik	Ncmsd
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
60	60	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
toga	taj	Pd-nsg
rješenja	rješenje	Ncnsg
prijave	prijaviti	Vmr3p
svoje	svoj	Px-fpa
tražbine	tražbina	Ncfpa

−	−	Z
poziv	poziv	Ncmsan
razlučnim	razlučan	Agpmsiy
i	i	Cc
izlučnim	izlučni	Agpmply
vjerovnicima	vjerovnik	Ncmpl
da	da	Cs
povjerenika	povjerenik	Ncmsay
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
60	60	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
toga	taj	Pd-nsg
rješenja	rješenje	Ncnsg
podneskom	podnesak	Ncmsi
obavijeste	obavijestiti	Vmr3p
o	o	Sl
svojim	svoj	Px-npl
pravima	pravo	Ncnpl

−	−	Agpmsann
poziv	poziv	Ncmsan
dužnicima	dužnik	Ncmpd
potrošača	potrošač	Ncmpg
da	da	Cs
svoje	svoj	Px-fpa
