uključujući	uključivati	Rr
i	i	Cc
sudjelovanje	sudjelovanje	Ncnsa
u	u	Sl
koordinaciji	koordinacija	Ncfsl
restrukturiranja	restrukturiranje	Ncnsg
i	i	Cc
sanacije	sanacija	Ncfsg
pravnih	pravni	Agpfpgy
osoba	osoba	Ncfpg
,	,	Z
izradi	izrada	Ncfsl
analiza	analiza	Ncfpg
u	u	Sl
postupcima	postupak	Ncmpl
restrukturiranja	restrukturiranje	Ncnsg
trgovačkih	trgovački	Agpnpgy
društava	društvo	Ncnpg
u	u	Sl
vlasništvu	vlasništvo	Ncnsl
Republike	republika	Ncfsg
Hrvatske	hrvatski	Agpfsgy
te	te	Cc
upravljanja	upravljanje	Ncnsg
vlasničkim	vlasnički	Agpmpiy
udjelima	udjel	Ncmpi
u	u	Sl
trgovačkim	trgovački	Agpnply
društvima	društvo	Ncnpl
u	u	Sl
vlasništvu	vlasništvo	Ncnsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
;	;	Z
«	«	Z
zamjenjuju	zamjenjivati	Vmr3p
se	sebe	Px--sa
riječima	riječ	Ncfpi
:	:	Z
»	»	Z
Ministarstvo	ministarstvo	Ncnsn
obavlja	obavljati	Vmr3s
upravne	upravan	Agpfsgy
,	,	Z
stručne	stručan	Agpfsgy
i	i	Cc
druge	drugi	Mlompa
poslove	posao	Ncmpa
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
«	a	Ncfpa
.	.	Z

Stavak	stavak	Ncmsn
3.	3.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	i	Agpnsny
Ministarstvo	ministarstvo	Ncnsn
obavlja	obavljati	Vmr3s
inspekcijske	inspekcijski	Agpmpay
poslove	posao	Ncmpa
u	u	Sl
području	područje	Ncnsl
rudarstva	rudarstvo	Ncnsg
,	,	Z
osim	osim	Sg
istraživanja	istraživanje	Ncnsg
i	i	Cc
eksploatacije	eksploatacija	Ncfsg
ugljikovodika	ugljikovodik	Ncmpg
i	i	Cc
geotermalnih	geotermalan	Agpfpgy
voda	voda	Ncfpg
za	za	Sa
energetske	energetski	Agpfpay
svrhe	svrha	Ncfpa
,	,	Z
gospodarenja	gospodarenje	Ncnsg
otrovnim	otrovan	Agpfpiy
kemikalijama	kemikalija	Ncfpi
,	,	Z
opreme	oprema	Ncfsg
pod	pod	Si
tlakom	tlak	Ncmsi
i	i	Cc
zaštite	zaštita	Ncfsg
potrošača	potrošač	Ncmpg
.	.	Z
«	«	Z
.	.	Z

Stavak	stavak	Ncmsn
7.	7.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	i	Agpnsny
Ministarstvo	ministarstvo	Ncnsn
sudjeluje	sudjelovati	Vmr3s
s	sa	Si
ministarstvom	ministarstvo	Ncnsi
nadležnim	nadležan	Agpmsiy
za	za	Sa
upravljanje	upravljanje	Ncnsa
državnom	državni	Agpfsiy
imovinom	imovina	Ncfsi
u	u	Sl
poslovima	posao	Ncmpl
upravljanja	upravljanje	Ncnsg
i	i	Cc
raspolaganja	raspolaganje	Ncnsg
dionicama	dionica	Ncfpl
i	i	Cc
poslovnim	poslovan	Agpmply
udjelima	udjel	Ncmpl
trgovačkih	trgovački	Agpnpgy
društava	društvo	Ncnpg
koji	koji	Pi-mpn
čine	činiti	Vmr3p
državnu	državni	Agpfsay
imovinu	imovina	Ncfsa
u	u	Sl
vlasništvu	vlasništvo	Ncnsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
te	te	Cc
u	u	Sl
pogledu	pogled	Ncmsl
trgovačkih	trgovački	Agpnpgy
društava	društvo	Ncnpg
koja	koji	Pi-npn
se	sebe	Px--sa
pretežno	pretežno	Rgp
bave	baviti	Vmr3p
djelatnostima	djelatnost	Ncfpi
iz	iz	Sg
područja	područje	Ncnsg
propisane	propisati	Agpfsgy
nadležnosti	nadležnost	Ncfsg
ovoga	ovaj	Pd-nsg
Ministarstva	ministarstvo	Ncnsg
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
19.	19.	Mdo

U	u	Sl
članku	članak	Ncmsl
21.	21.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
koje	koji	Pi-fpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
:	:	Z
«	«	Z
dodaju	dodati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
uspostavu	uspostava	Ncfsa
i	i	Cc
upravljanje	upravljanje	Ncnsa
cjelovitim	cjelovit	Agpmsiy
sustavom	sustav	Ncmsi
strateškog	strateški	Agpnsgy
planiranja	planiranje	Ncnsg
razvoja	razvoj	Ncmsg
na	na	Sl
nacionalnoj	nacionalan	Agpfsly
razini	razina	Ncfsl
,	,	Z
koordinaciju	koordinacija	Ncfsa
izrade	izrada	Ncfsg
nacionalne	nacionalan	Agpfsgy
razvojne	razvojan	Agpfsgy
strategije	strategija	Ncfsg
,	,	Z
vodeći	vodeći	Agpmsny
pritom	pritom	Rgp
računa	račun	Ncmsg
o	o	Sl
usklađenosti	usklađenost	Ncfsl
s	sa	Si
ciljevima	cilj	Ncmpi
i	i	Cc
prioritetima	prioritet	Ncmpi
na	na	Sl
razini	razina	Ncfsl
Europske	europski	Agpfsgy
unije	unija	Ncfsg
;	;	Z
«	«	Z
,	,	Z
a	a	Cc
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
surađuje	surađivati	Vmr3s
s	sa	Sg
«	«	Z
dodaju	dodati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
ministarstvom	ministarstvo	Ncnsi
nadležnim	nadležan	Agpmsiy
za	za	Sa
financije	financije	Ncfpa
i	i	Cc
drugim	drugi	Mlompl
nadležnim	nadležan	Agpnply
ministarstvima	ministarstvo	Ncnpl
te	te	Cc
«	«	Z
.	.	Z

Stavak	stavak	Ncmsn
4.	4.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	i	Agpnsny
Ministarstvo	ministarstvo	Ncnsn
sudjeluje	sudjelovati	Vmr3s
s	sa	Si
ministarstvom	ministarstvo	Ncnsi
nadležnim	nadležan	Agpmsiy
za	za	Sa
upravljanje	upravljanje	Ncnsa
državnom	državni	Agpfsiy
imovinom	imovina	Ncfsi
u	u	Sl
poslovima	posao	Ncmpl
upravljanja	upravljanje	Ncnsg
i	i	Cc
raspolaganja	raspolaganje	Ncnsg
dionicama	dionica	Ncfpl
i	i	Cc
poslovnim	poslovan	Agpmply
udjelima	udjel	Ncmpl
trgovačkih	trgovački	Agpnpgy
društava	društvo	Ncnpg
koji	koji	Pi-mpn
čine	činiti	Vmr3p
državnu	državni	Agpfsay
imovinu	imovina	Ncfsa
u	u	Sl
vlasništvu	vlasništvo	Ncnsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
te	te	Cc
u	u	Sl
pogledu	pogled	Ncmsl
trgovačkih	trgovački	Agpnpgy
društava	društvo	Ncnpg
koja	koji	Pi-npn
se	sebe	Px--sa
pretežno	pretežno	Rgp
bave	baviti	Vmr3p
djelatnostima	djelatnost	Ncfpi
iz	iz	Sg
područja	područje	Ncnsg
propisane	propisati	Agpfsgy
nadležnosti	nadležnost	Ncfsg
ovoga	ovaj	Pd-nsg
Ministarstva	ministarstvo	Ncnsg
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
20.	20.	Mdo

U	u	Sl
članku	članak	Ncmsl
22.	22.	Mdo
stavak	stavak	Ncmsn
3.	3.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	i	Agpnsny
Ministarstvo	ministarstvo	Ncnsn
sudjeluje	sudjelovati	Vmr3s
s	sa	Si
ministarstvom	ministarstvo	Ncnsi
nadležnim	nadležan	Agpmsiy
za	za	Sa
upravljanje	upravljanje	Ncnsa
državnom	državni	Agpfsiy
imovinom	imovina	Ncfsi
u	u	Sl
poslovima	posao	Ncmpl
upravljanja	upravljanje	Ncnsg
i	i	Cc
raspolaganja	raspolaganje	Ncnsg
dionicama	dionica	Ncfpl
i	i	Cc
poslovnim	poslovan	Agpmply
udjelima	udjel	Ncmpl
trgovačkih	trgovački	Agpnpgy
društava	društvo	Ncnpg
koji	koji	Pi-mpn
čine	činiti	Vmr3p
državnu	državni	Agpfsay
imovinu	imovina	Ncfsa
u	u	Sl
vlasništvu	vlasništvo	Ncnsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
te	te	Cc
u	u	Sl
pogledu	pogled	Ncmsl
trgovačkih	trgovački	Agpnpgy
društava	društvo	Ncnpg
koja	koji	Pi-npn
se	sebe	Px--sa
pretežno	pretežno	Rgp
bave	baviti	Vmr3p
djelatnostima	djelatnost	Ncfpi
iz	iz	Sg
područja	područje	Ncnsg
propisane	propisati	Agpfsgy
nadležnosti	nadležnost	Ncfsg
ovoga	ovaj	Pd-nsg
Ministarstva	ministarstvo	Ncnsg
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
21.	21.	Mdo

Članak	članak	Ncmsn
23.	23.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	i	Agpnsny
Ministarstvo	ministarstvo	Ncnsn
zdravstva	zdravstvo	Ncnsg
obavlja	obavljati	Vmr3s
upravne	upravan	Agpfsgy
i	i	Cc
druge	drugi	Mlompa
poslove	posao	Ncmpa
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
:	:	Z
sustav	sustav	Ncmsan
zdravstvene	zdravstven	Agpfsgy
zaštite	zaštita	Ncfsg
i	i	Cc
zdravstvenog	zdravstven	Agpnsgy
osiguranja	osiguranje	Ncnsg
;	;	Z
praćenje	praćenje	Ncnsa
i	i	Cc
unapređivanje	unapređivanje	Ncnsa
zdravstvenog	zdravstven	Agpnsgy
stanja	stanje	Ncnsg
i	i	Cc
zdravstvenih	zdravstven	Agpfpgy
potreba	potreba	Ncfpg
stanovništva	stanovništvo	Ncnsg
,	,	Z
zaštitu	zaštita	Ncfsa
stanovništva	stanovništvo	Ncnsg
od	od	Sg
zaraznih	zarazan	Agpfpgy
i	i	Cc
nezaraznih	nezarazan	Agpfpgy
bolesti	bolest	Ncfpg
,	,	Z
neionizirajućih	neionizirajući	Agpnpgy
zračenja	zračenje	Ncnpg
;	;	Z
zaštitu	zaštita	Ncfsa
od	od	Sg
buke	buka	Ncfsg
;	;	Z
zdravstvenu	zdravstven	Agpfsay
ispravnost	ispravnost	Ncfsa
i	i	Cc
higijenu	higijena	Ncfsa
hrane	hrana	Ncfsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
posebnim	poseban	Agpmsiy
propisom	propis	Ncmsi
o	o	Sl
hrani	hrana	Ncfsl
;	;	Z
predmete	predmet	Ncmpa
opće	opći	Agpfsgy
uporabe	uporaba	Ncfsg
;	;	Z
vodu	voda	Ncfsa
za	za	Sa
ljudsku	ljudski	Agpfsay
potrošnju	potrošnja	Ncfsa
;	;	Z
područje	područje	Ncnsa
genetski	genetski	Agpmsny
modificiranih	modificirati	Appmpgy
organizama	organizam	Ncmpg
;	;	Z
proizvodnju	proizvodnja	Ncfsa
,	,	Z
promet	promet	Ncmsan
i	i	Cc
potrošnju	potrošnja	Ncfsa
droga	droga	Ncfpg
,	,	Z
psihotropnih	psihotropni	Agpfpgy
tvari	tvar	Ncfpg
i	i	Cc
prekursora	prekursor	Ncmpg
;	;	Z
odobravanje	odobravanje	Ncnsa
provođenja	provođenje	Ncnsg
kliničkih	klinički	Agpnpgy
ispitivanja	ispitivanje	Ncnpg
lijekova	lijek	Ncmpg
i	i	Cc
medicinskih	medicinski	Agpmpgy
proizvoda	proizvod	Ncmpg
,	,	Z
donacije	donacija	Ncfsg
lijekova	lijek	Ncmpg
i	i	Cc
medicinskih	medicinski	Agpmpgy
proizvoda	proizvod	Ncmpg
zdravstvenim	zdravstven	Agpfpiy
ustanovama	ustanova	Ncfpi
;	;	Z
odobravanje	odobravanje	Ncnsa
donacija	donacija	Ncfpg
robe	roba	Ncfsg
,	,	Z
radova	rad	Ncmpg
,	,	Z
usluga	usluga	Ncfpg
i	i	Cc
financijskih	financijski	Agpnpgy
sredstava	sredstvo	Ncnpg
u	u	Sl
zdravstvu	zdravstvo	Ncnsl
;	;	Z
korištenje	korištenje	Ncnsn
zdravstvenih	zdravstven	Agpmpgy
potencijala	potencijal	Ncmpg
;	;	Z
investiranje	investiranje	Ncnsn
u	u	Sl
zdravstvu	zdravstvo	Ncnsl
;	;	Z
osnivanje	osnivanje	Ncnsn
zdravstvenih	zdravstven	Agpfpgy
ustanova	ustanova	Ncfpg
i	i	Cc
privatne	privatan	Agpfsgy
prakse	praksa	Ncfsg
te	te	Cc
trgovačkih	trgovački	Agpnpgy
društava	društvo	Ncnpg
za	za	Sa
obavljanje	obavljanje	Ncnsa
zdravstvene	zdravstven	Agpfsgy
djelatnosti	djelatnost	Ncfsg
;	;	Z
zdravstvene	zdravstven	Agpfsgy
usluge	usluga	Ncfsg
u	u	Sl
turizmu	turizam	Ncmsl
;	;	Z
organiziranje	organiziranje	Ncnsn
stručnih	stručan	Agpmpgy
ispita	ispit	Ncmpg
zdravstvenih	zdravstven	Agpmpgy
radnika	radnik	Ncmpg
te	te	Cc
njihovo	njihov	Ps3nsn
specijalističko	specijalistički	Agpnsny
usavršavanje	usavršavanje	Ncnsn
;	;	Z
priznavanje	priznavanje	Ncnsn
naziva	naziv	Ncmsg
primarijusa	primarijus	Ncmpg
;	;	Z
dodjelu	dodjela	Ncfsa
naziva	nazivati	Vmr3s
zdravstvenim	zdravstven	Agpfpiy
ustanovama	ustanova	Ncfpi
:	:	Z
referentni	referentan	Agpmsny
centar	centar	Ncmsn
,	,	Z
klinika	klinika	Ncfsn
,	,	Z
klinička	klinički	Agpfsny
