potpis	potpis	Ncmsn
)	)	Z
,	,	Z

6.	6.	Mdo
odluka	odluka	Ncfsn
komisije	komisija	Ncfsg
za	za	Sa
prijam	prijam	Ncmsan
i	i	Cc
otpust	otpust	Ncmsan
o	o	Sl
prijamu	prijam	Ncmsl
i	i	Cc
otpustu	otpust	Ncmsl
korisnika	korisnik	Ncmpg
,	,	Z

7.	7.	Mdo
ostali	ostali	Agpmpny
dokumenti	dokument	Ncmpn
–	–	Z
korespondencija	korespondencija	Ncfsn
s	sa	Si
roditeljima	roditelj	Ncmpi
,	,	Z
skrbnikom	skrbnik	Ncmsi
,	,	Z
sudom	sud	Ncmsi
,	,	Z
centrom	centar	Ncmsi
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
i	i	Cc
drugim	drugi	Mlofpl
ustanovama	ustanova	Ncfpl
,	,	Z
te	te	Cc
kopija	kopija	Ncfsn
polugodišnjeg	polugodišnji	Agpnsgy
i	i	Cc
godišnjeg	godišnji	Agpnsgy
izvješća	izvješće	Ncnsg
o	o	Sl
korisniku	korisnik	Ncmsl
nadležnom	nadležan	Agpmsly
centru	centar	Ncmsl
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
,	,	Z
medicinska	medicinski	Agpfsny
dokumentacija	dokumentacija	Ncfsn
,	,	Z

8.	8.	Mdo
evidencija	evidencija	Ncfsn
brige	briga	Ncfsg
o	o	Sl
zdravlju	zdravlje	Ncnsl
korisnika	korisnik	Ncmpg
(	(	Z
evidencija	evidencija	Ncfsn
specijalističkih	specijalistički	Agpmpgy
pregleda	pregled	Ncmpg
i	i	Cc
intervencija	intervencija	Ncfpg
,	,	Z
psihoterapijskih	psihoterapijski	Agpmpgy
tretmana	tretman	Ncmpg
,	,	Z
hospitalizacija	hospitalizacija	Ncfpg
,	,	Z
stomatološke	stomatološki	Agpfpay
prevencije	prevencija	Ncfpa
i	i	Cc
zaštite	zaštita	Ncfsg
i	i	Cc
sl.	sl.	Y
)	)	Z
,	,	Z

9.	9.	Mdo
ugovor	ugovor	Ncmsan
s	sa	Si
volonterima	volonter	Ncmpi
,	,	Z

10.	10.	Mdo
napomene	napomena	Ncfsg
.	.	Z

Sadržaj	sadržaj	Ncmsn
evidencije	evidencija	Ncfsg
i	i	Cc
dokumentacije	dokumentacija	Ncfsg
–	–	Z
usluge	usluga	Ncfpa
savjetovanja	savjetovanje	Ncnsg
i	i	Cc
pomaganja	pomaganje	Ncnsg

Članak	članak	Ncmsn
15.	15.	Mdo

Pružatelj	pružatelj	Ncmsn
usluga	usluga	Ncfpg
savjetovanja	savjetovanje	Ncnsg
i	i	Cc
pomaganja	pomaganje	Ncnsg
dužan	dužan	Agpmsnn
je	biti	Var3s
voditi	voditi	Vmn
sljedeću	sljedeći	Agpfsay
evidenciju	evidencija	Ncfsa
i	i	Cc
dokumentaciju	dokumentacija	Ncfsa
o	o	Sl
korisnicima	korisnik	Ncmpl
i	i	Cc
vrstama	vrsta	Ncfpl
usluga	usluga	Ncfpg
:	:	Z

1.	1.	Mdo
evidencija	evidencija	Ncfsn
zaprimljenih	zaprimiti	Agpmpgy
zahtjeva	zahtjev	Ncmpg
,	,	Z

2.	2.	Mdo
upisnik	upisnik	Ncmsn
korisnika	korisnik	Ncmpg
,	,	Z

3.	3.	Mdo
dosje	dosje	Ncmsan
korisnika	korisnik	Ncmpg
,	,	Z

4.	4.	Mdo
izvješće	izvješće	Ncnsn
o	o	Sl
provedenoj	provesti	Agpfsly
usluzi	usluga	Ncfsl
.	.	Z

Članak	članak	Ncmsn
16.	16.	Mdo

Evidencija	evidencija	Ncfsn
zaprimljenih	zaprimiti	Appmpgy
zahtjeva	zahtjev	Ncmpg
za	za	Sa
pružanje	pružanje	Ncnsa
usluge	usluga	Ncfsg
sadrži	sadržati	Vmr3s
sljedeće	sljedeći	Agpmpay
podatke	podatak	Ncmpa
:	:	Z

1.	1.	Mdo
redni	redni	Agpmsayn
broj	broj	Ncmsan
,	,	Z

2.	2.	Mdo
osobno	osoban	Agpnsay
ime	ime	Ncnsa
korisnika	korisnik	Ncmpg
,	,	Z

3.	3.	Mdo
datum	datum	Ncmsan
primitka	primitak	Ncmsg
zahtjeva	zahtjev	Ncmpg
,	,	Z

4.	4.	Mdo
nadležni	nadležan	Agpmsayn
centar	centar	Ncmsan
za	za	Sa
socijalnu	socijalan	Agpfsay
