njihovim	njihov	Agpfply
dopunama	dopuna	Ncfpl
koje	koji	Pi-fpa
je	biti	Var3s
odbilo	odbiti	Vmp-sn
,	,	Z
povuklo	povući	Vmp-sn
,	,	Z
poništilo	poništiti	Vmp-sn
ili	ili	Cc
na	na	Sa
drugi	drugi	Mlomsan
način	način	Ncmsan
ograničilo	ograničiti	Vmp-sn
i	i	Qo
na	na	Sa
zahtjev	zahtjev	Ncmsan
o	o	Sl
takvim	takav	Pd-mpl
certifikatima	certifikat	Ncmpl
i	i	Cc
/	/	Z
ili	ili	Cc
dopunama	dopuna	Ncfpl
koje	koji	Pi-fpa
je	biti	Var3s
izdalo	izdati	Vmp-sn
.	.	Z

Europska	europski	Agpfsny
komisija	komisija	Ncfsn
,	,	Z
države	država	Ncfpn
članice	članica	Ncfpn
i	i	Cc
druga	drugi	Mlofsn
prijavljena	prijaviti	Ncfsn
tijela	tijelo	Ncnsg
mogu	moći	Vmr3p
na	na	Sa
zahtjev	zahtjev	Ncmsan
dobiti	dobiti	Vmn
primjerak	primjerak	Ncmsan
certifikata	certifikat	Ncmpg
o	o	Sl
EU-pregledu	eu-pregled	Ncmsl
tipa	tip	Ncmsg
,	,	Z
proizvodni	proizvodni	Agpmsny
tip	tip	Ncmsn
i	i	Cc
/	/	Z
ili	ili	Cc
njezinih	njezin	Ps3mpg
dodataka	dodatak	Ncmpg
.	.	Z

Komisija	komisija	Ncfsn
i	i	Cc
države	država	Ncfsg
članice	članica	Ncfpn
mogu	moći	Vmr3p
na	na	Sa
zahtjev	zahtjev	Ncmsan
dobiti	dobiti	Vmn
presliku	preslika	Ncfsa
tehničke	tehnički	Agpfsgy
dokumentacije	dokumentacija	Ncfsg
i	i	Cc
rezultate	rezultat	Ncmpa
pregleda	pregled	Ncmpg
koje	koji	Pi-mpa
je	biti	Var3s
obavilo	obaviti	Vmp-sn
prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
.	.	Z

Prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
zadržava	zadržavati	Vmr3s
primjerak	primjerak	Ncmsan
certifikata	certifikat	Ncmpg
o	o	Sl
EU-pregledu	eu-pregled	Ncmsl
tipa	tip	Ncmsg
,	,	Z
proizvodni	proizvodni	Agpmsny
tip	tip	Ncmsn
,	,	Z
njezine	njezin	Ps3mpa
priloge	prilog	Ncmpa
i	i	Cc
dodatke	dodatak	Ncmpa
kao	kao	Cs
i	i	Cc
tehnički	tehnički	Agpmsayn
dosje	dosje	Ncmsan
s	sa	Si
dokumentacijom	dokumentacija	Ncfsi
koju	koji	Pi-fsa
je	biti	Var3s
dostavio	dostaviti	Vmp-sm
proizvođač	proizvođač	Ncmsn
,	,	Z
sve	sve	Qo
do	do	Sg
isteka	istek	Ncmsg
valjanosti	valjanost	Ncfsg
certifikata	certifikat	Ncmpg
.	.	Z

9.	9.	Mdo
Proizvođač	proizvođač	Ncmsn
drži	držati	Vmr3s
