odgovorna	odgovoran	Agpfsny
osoba	osoba	Ncfsn
je	biti	Var3s
čelnik	čelnik	Ncmsn
malog	mali	Agpmsgy
izvora	izvor	Ncmsg
medicinskog	medicinski	Agpmsgy
otpada	otpad	Ncmsg
.	.	Z

Odvojeno	odvojiti	Appnsny
sakupljanje	sakupljanje	Ncnsn
na	na	Sl
mjestu	mjesto	Ncnsl
nastanka	nastanak	Ncmsg

Članak	članak	Ncmsn
6.	6.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Proizvođač	proizvođač	Ncmsn
medicinskog	medicinski	Agpmsgy
otpada	otpad	Ncmsg
dužan	dužan	Agpmsnn
je	biti	Var3s
na	na	Sl
mjestu	mjesto	Ncnsl
nastanka	nastanak	Ncmsg
osigurati	osigurati	Vmr3s
gospodarenje	gospodarenje	Ncnsa
ovim	ovaj	Pd-msi
otpadom	otpad	Ncmsi
sukladno	sukladno	Rgp
odredbama	odredba	Ncfpi
Zakona	zakon	Ncmsg
i	i	Cc
ovom	ovaj	Pd-msl
Pravilniku	pravilnik	Ncmsl
te	te	Cc
posebnim	poseban	Agpmpiy
propisima	propis	Ncmpi
donesenim	donesen	Agpmpiy
na	na	Sl
temelju	temelj	Ncmsl
Zakona	zakon	Ncmsg
,	,	Z
a	a	Cc
naročito	naročito	Rgp
u	u	Sl
pogledu	pogled	Ncmsl
odvojenog	odvojiti	Agpnsgy
sakupljanja	sakupljanje	Ncnsg
,	,	Z
vođenja	vođenje	Ncnsg
evidencije	evidencija	Ncfsg
,	,	Z
spremanja	spremanje	Ncnsg
u	u	Sa
odgovarajuće	odgovarajući	Agpmpay
spremnike	spremnik	Ncmpa
i	i	Cc
privremenog	privremen	Agpnsgy
skladištenja	skladištenje	Ncnsg
u	u	Sa
posebno	posebno	Rgp
odvojenom	odvojiti	Agpmsly
prostoru	prostor	Ncmsl
do	do	Sg
obrade	obrada	Ncfsg
ili	ili	Cc
do	do	Sg
predaje	predaja	Ncfsg
ovlaštenoj	ovlašten	Agpfsdy
osobi	osoba	Ncfsd
ili	ili	Cc
do	do	Sg
isporuke	isporuka	Ncfsg
takvog	takav	Pd-msg
otpada	otpad	Ncmsg
iz	iz	Sg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Opasni	opasan	Agpmsny
medicinski	medicinski	Agpmsny
otpad	otpad	Ncmsn
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
mora	morati	Vmr3s
se	sebe	Px--sa
odvojeno	odvojeno	Rgp
sakupljati	sakupljati	Vmn
na	na	Sl
mjestu	mjesto	Ncnsl
nastanka	nastanak	Ncmsg
.	.	Z

Sakupljanje	sakupljanje	Ncnsn
medicinskog	medicinski	Agpmsgy
otpada	otpad	Ncmsg
nastalog	nastao	Agpmsgy
u	u	Sl
kućanstvima	kućanstvo	Ncnpl
i	i	Cc
poljoprivrednim	poljoprivredni	Agpnply
gospodarstvima	gospodarstvo	Ncnpl

Članak	članak	Ncmsn
7.	7.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Djelatnici	djelatnik	Ncmpn
ustanova	ustanova	Ncfpg
koje	koji	Pi-fpn
obavljaju	obavljati	Vmr3p
zdravstvenu	zdravstven	Agpfsay
njegu	njega	Ncfsa
u	u	Sl
kući	kuća	Ncfsl
bolesnika	bolesnik	Ncmpg
i	i	Cc
/	/	Z
ili	ili	Cc
slične	sličan	Agpfpay
djelatnosti	djelatnost	Ncfpa
,	,	Z
dužni	dužan	Agpmpny
su	biti	Var3p
preuzimati	preuzimati	Vmn
opasni	opasan	Agpmsayn
medicinski	medicinski	Agpmsayn
otpad	otpad	Ncmsan
nastao	nastati	Vmp-sm
njihovom	njihov	Ps3fsi
djelatnošću	djelatnost	Ncfsi
.	.	Z

Obrada	obrada	Ncfsn
preuzetog	preuzet	Agpmsgy
otpada	otpad	Ncmsg
mora	morati	Vmr3s
se	sebe	Px--sa
osigurati	osigurati	Vmn
na	na	Sa
trošak	trošak	Ncmsan
ustanove	ustanova	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ljekarne	ljekarna	Ncfpn
su	biti	Var3p
dužne	dužan	Agpfpny
od	od	Sg
građana	građanin	Ncmpg
preuzimati	preuzimati	Vmn
stare	star	Agpmpay
lijekove	lijek	Ncmpa
i	i	Cc
/	/	Z
ili	ili	Cc
sličan	sličan	Agpmsann
farmaceutski	farmaceutski	Agpmsayn
otpad	otpad	Ncmsan
neovisno	neovisno	Rgp
o	o	Sl
njegovu	njegov	Ps3nsl
podrijetlu	podrijetlo	Ncnsl
.	.	Z

