SAMOUPRAVE	samouprava	Ncfpn

Članak	članak	Ncmsn
13.	13.	Mdo

U	u	Sa
iznos	iznos	Ncmsan
osiguranih	osigurati	Agpmpgy
depozita	depozit	Ncmpg
na	na	Sa
koji	koji	Pi-msan
se	sebe	Px--sa
Izvješće	izvješće	Ncnsn
o	o	Sl
stanju	stanje	Ncnsl
ukupnih	ukupan	Agpmpgy
i	i	Cc
osiguranih	osigurati	Agpmpgy
depozita	depozit	Ncmpg
za	za	Sa
obračun	obračun	Ncmsan
premije	premija	Ncfsg
odnosi	odnositi	Vmr3s
,	,	Z
a	a	Cc
u	u	Sl
dijelu	dio	Ncmsl
posebnosti	posebnost	Ncfsg
računa	računati	Vmr3s
sukladno	sukladno	Rgp
članku	članak	Ncmsd
6.	6.	Mdo
Zakona	zakon	Ncmsg
uključuju	uključivati	Vmr3p
se	sebe	Px--sa
:	:	Z

1	1	Mdc
)	)	Z
stanja	stanje	Ncnsg
zajedničkih	zajednički	Agpmpgy
računa	račun	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
6.	6.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
Zakona	zakon	Ncmsg
na	na	Sa
način	način	Ncmsan
da	da	Cs
se	sebe	Px--sa
udio	udjel	Ncmsn
svakog	svaki	Pi-msg
suvlasnika	suvlasnik	Ncmsg
u	u	Sl
zajedničkom	zajednički	Agpmsly
računu	račun	Ncmsl
uključuje	uključivati	Vmr3s
u	u	Sa
njegov	njegov	Ps3msan
obračun	obračun	Ncmsan
osiguranog	osigurati	Agpmsgy
depozita	depozit	Ncmsg
,	,	Z
a	a	Cc
svakog	svaki	Pi-msg
suvlasnika	suvlasnik	Ncmsg
u	u	Sl
zajedničkom	zajednički	Agpmsly
računu	račun	Ncmsl
i	i	Cc
iznos	iznos	Ncmsn
njegovih	njegov	Ps3mpg
depozita	depozit	Ncmpg
treba	trebati	Vmr3s
prikazati	prikazati	Vmn
u	u	Sl
sektoru	sektor	Ncmsl
kojem	koji	Pi-msl
pripada	pripadati	Vmr3s
prema	prema	Sl
Sektorskoj	sektorski	Agpfsly
klasifikaciji	klasifikacija	Ncfsl
institucionalnih	institucionalan	Agpfpgy
jedinica	jedinica	Ncfpg
prema	prema	Sl
Europskom	europski	Agpmsly
sustavu	sustav	Ncmsl
nacionalnih	nacionalan	Agpmpgy
računa	račun	Ncmpg
2010	2010	Mdc
(	(	Z
ESA	ES	Npmsg
2010	2010	Mdc
)	)	Z
na	na	Sa
dan	dan	Ncmsan
sastavljanja	sastavljanje	Ncnsg
Izvješća	izvješće	Ncnsg
o	o	Sl
stanju	stanje	Ncnsl
ukupnih	ukupan	Agpmpgy
i	i	Cc
osiguranih	osigurati	Agpmpgy
depozita	depozit	Ncmpg
za	za	Sa
obračun	obračun	Ncmsan
premije	premija	Ncfsg
,	,	Z

2	2	Mdc
)	)	Z
stanja	stanje	Ncnsg
povjereničkih	povjerenički	Agpmpgy
računa	račun	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
6.	6.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
Zakona	zakon	Ncmsg
na	na	Sa
način	način	Ncmsan
da	da	Cs
se	sebe	Px--sa
pripadajući	pripadajući	Agpmsny
iznos	iznos	Ncmsn
depozita	depozit	Ncmsg
svakog	svaki	Pi-msg
stvarnog	stvaran	Agpmsgy
vlasnika	vlasnik	Ncmsg
uključuje	uključivati	Vmr3s
u	u	Sa
njegov	njegov	Ps3msan
obračun	obračun	Ncmsan
osiguranog	osigurati	Agpmsgy
depozita	depozit	Ncmsg
,	,	Z
a	a	Cc
svakog	svaki	Pi-msg
stvarnog	stvaran	Agpmsgy
vlasnika	vlasnik	Ncmsg
i	i	Cc
iznos	iznos	Ncmsan
njegovih	njegov	Ps3mpg
depozita	depozit	Ncmpg
treba	trebati	Vmr3s
prikazati	prikazati	Vmn
u	u	Sl
sektoru	sektor	Ncmsl
kojem	koji	Pi-msl
pripada	pripadati	Vmr3s
prema	prema	Sl
Sektorskoj	sektorski	Agpfsly
klasifikaciji	klasifikacija	Ncfsl
institucionalnih	institucionalan	Agpfpgy
jedinica	jedinica	Ncfpg
prema	prema	Sl
Europskom	europski	Agpmsly
sustavu	sustav	Ncmsl
nacionalnih	nacionalan	Agpmpgy
računa	račun	Ncmpg
2010	2010	Mdc
(	(	Z
ESA	ES	Npmsg
2010	2010	Mdc
)	)	Z
na	na	Sa
dan	dan	Ncmsan
sastavljanja	sastavljanje	Ncnsg
Izvješća	izvješće	Ncnsg
o	o	Sl
stanju	stanje	Ncnsl
ukupnih	ukupan	Agpmpgy
i	i	Cc
osiguranih	osigurati	Agpmpgy
depozita	depozit	Ncmpg
za	za	Sa
obračun	obračun	Ncmsan
premije	premija	Ncfsg
.	.	Z

Članak	članak	Ncmsn
14.	14.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Sukladno	sukladno	Rgp
članku	članak	Ncmsl
5.	5.	Mdo
stavku	stavak	Ncmsl
4.	4.	Mdo
Zakona	zakon	Ncmsg
depoziti	depozit	Ncmpn
jedinica	jedinica	Ncfpg
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfsg
čiji	čiji	Pi-msn
godišnji	godišnji	Agpmsny
proračun	proračun	Ncmsn
,	,	Z
odnosno	odnosno	Rgp
prihod	prihod	Ncmsan
poslovanja	poslovanje	Ncnsg
iskazan	iskazati	Appmsnn
u	u	Sl
godišnjim	godišnji	Agpnply
financijskim	financijski	Agpnply
izvješćima	izvješće	Ncnpl
,	,	Z
za	za	Sa
prethodnu	prethodan	Agpfsay
godinu	godina	Ncfsa
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
dan	dan	Ncmsan
nastupa	nastup	Ncmsg
osiguranog	osigurati	Appmsgy
slučaja	slučaj	Ncmsg
iznosi	iznositi	Vmr3s
najviše	mnogo	Rgs
3.750.000,00	3.750.000,00	Mdc
kuna	kuna	Ncfpg
smatraju	smatrati	Vmr3p
se	sebe	Px--sa
prihvatljivim	prihvatljiv	Agpmpiy
depozitima	depozit	Ncmpi
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Za	za	Sa
potrebe	potreba	Ncfpa
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
depoziti	depozit	Ncmpn
jedinica	jedinica	Ncfpg
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfsgy
)	)	Z
samouprave	samouprava	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
jesu	biti	Var3p
depoziti	depozit	Ncmpn
lokalne	lokalan	Agpfsgy
države	država	Ncfsg
prema	prema	Sl
Sektorskoj	sektorski	Agpfsly
klasifikaciji	klasifikacija	Ncfsl
institucionalnih	institucionalan	Agpfpgy
jedinica	jedinica	Ncfpg
prema	prema	Sl
Europskom	europski	Agpmsly
sustavu	sustav	Ncmsl
nacionalnih	nacionalan	Agpmpgy
računa	račun	Ncmpg
2010	2010	Mdc
(	(	Z
ESA	ES	Npmsg
2010	2010	Mdc
)	)	Z
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ministarstvo	ministarstvo	Ncnsn
financija	financije	Ncfpg
će	htjeti	Var3s
popis	popis	Ncmsn
jedinica	jedinica	Ncfpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
dostaviti	dostaviti	Vmn
Agenciji	agencija	Ncfsd
do	do	Sg
kraja	kraj	Ncmsg
ožujka	ožujak	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
za	za	Sa
prethodnu	prethodan	Agpfsay
godinu	godina	Ncfsa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Agencija	agencija	Ncfsn
će	htjeti	Var3s
popis	popis	Ncmsn
jedinica	jedinica	Ncfpg
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
učiniti	učiniti	Vmn
dostupnim	dostupan	Agpfpiy
