zemljopisnoj	zemljopisan	Agpfsly
raščlambi	raščlamba	Ncfsl
računa	račun	Ncmsg
inozemstva	inozemstvo	Ncnsg
.	.	Z

Premda	premda	Cs
ove	ovaj	Pd-fsg
transakcije	transakcija	Ncfsg
ne	ne	Qz
utječu	utjecati	Vmr3p
na	na	Sa
ukupne	ukupan	Agpfpay
državne	državni	Agpfpay
obveze	obveza	Ncfpa
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
inozemstvo	inozemstvo	Ncnsa
,	,	Z
utječu	utjecati	Vmr3p
na	na	Sa
obveze	obveza	Ncfpa
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
različite	različit	Agpmpay
dijelove	dio	Ncmpa
svijeta	svijet	Ncmsg
.	.	Z

2.134.	2.134.	Mdo

Sektor	sektor	Ncmsn
inozemstva	inozemstvo	Ncnsg
(	(	Z
S.	S.	Y
2	2	Mdc
)	)	Z
dalje	daleko	Rgc
se	sebe	Px--sa
dijeli	dijeliti	Vmr3s
na	na	Sa
:	:	Z

(	(	Z
a	a	Cc
)	)	Z
države	država	Ncfpn
članice	članica	Ncfsg
i	i	Cc
institucije	institucija	Ncfpa
i	i	Cc
tijela	tijelo	Ncnsg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
(	(	Z
S.	S.	Y
21	21	Mdc
)	)	Z
:	:	Z

(	(	Z
1	1	Mdc
)	)	Z
države	država	Ncfsg
članice	članica	Ncfsg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
(	(	Z
S.	S.	Y
211	211	Mdc
)	)	Z
;	;	Z

(	(	Z
2	2	Mdc
)	)	Z
institucije	institucija	Ncfsg
i	i	Cc
tijela	tijelo	Ncnsg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
(	(	Z
S.	S.	Y
212	212	Mdc
)	)	Z
;	;	Z

(	(	Z
b	b	X
)	)	Z
države	država	Ncfsg
nečlanice	nečlanica	Ncfsg
i	i	Cc
međunarodne	međunarodni	Agpfsgy
organizacije	organizacija	Ncfsg
nerezidentne	nerezidentan	Agpfsgy
u	u	Sa
EU	EU	Npmsan
(	(	Z
S.	S.	Y
22	22	Mdc
)	)	Z
.	.	Z

