sustavu	sustav	Ncmsd
civilne	civilan	Agpfsgy
zaštite	zaštita	Ncfsg
.	.	Z

Pozorno	pozorno	Rgp
pročitajte	pročitati	Vmm2p
svako	svaki	Pi-nsa
pitanje	pitanje	Ncnsa
te	te	Cc
na	na	Sa
njih	oni	Pp3-pa
odgovorite	odgovoriti	Vmm2p
tako	tako	Cs
što	što	Cs
ćete	htjeti	Var2p
u	u	Sa
odgovarajuću	odgovarajući	Agpfsay
kućicu	kućica	Ncfsa
staviti	staviti	Vmn
znak	znak	Ncmsan
»	»	Z
x	X	X
«	«	Z
.	.	Z

Ako	ako	Cs
niste	biti	Var2p
sigurni	siguran	Agpmpny
u	u	Sa
odgovor	odgovor	Ncmsan
ili	ili	Cc
Vam	vi	Pp2-pd
pitanje	pitanje	Ncnsn
nije	biti	Var3s
jasno	jasan	Agpnsny
,	,	Z
ostavite	ostaviti	Vmr2p
kućicu	kućica	Ncfsa
praznu	prazan	Agpfsay
,	,	Z
a	a	Cc
pitanje	pitanje	Ncnsa
raspravite	raspraviti	Vmm2p
s	sa	Si
Vašim	vaš	Agpmsiy
liječnikom	liječnik	Ncmsi
,	,	Z
Ovaj	ovaj	Pd-msn
Upitnik	upitnik	Ncmsn
je	biti	Var3s
ujedno	ujedno	Rgp
i	i	Qo
Vaša	vaš	Ps2fsn
izjava	izjava	Ncfsn
koju	koji	Pi-fsa
obvezno	obvezno	Rgp
potpisujete	potpisivati	Vmr2p
pred	pred	Si
svjedokom	svjedok	Ncmsi
,	,	Z
doktorom	doktor	Ncmsi
medicine	medicina	Ncfsg
specijalistom	specijalist	Ncmsi
medicine	medicina	Ncfsg
rada	rad	Ncmsg
.	.	Z

Ime	ime	Ncnsn
,	,	Z
ime	ime	Ncnsa
oca	oac	Ncmsg
ili	ili	Cc
majke	majka	Ncfpn
,	,	Z
prezime	prezime	Ncnsa
:	:	Z
_________________________	_________________________	Z

OIB	oib	Mrc
/	/	Z
datum	datum	Ncmsan
rođenja	rođenje	Ncnsg
:	:	Z
__________________________________	__________________________________	Z

RANIJE	raniji	Agpfpny
BOLESTI	bolest	Ncfpn
DA	da	Cs
NE	ne	Qz

1.	1.	Mdo
Prenosive	prenosiv	Agpfpny
/	/	Z
zarazne	zarazan	Agpfpay
bolesti	bolest	Ncfpa
(	(	Z
zarazna	zarazan	Agpfsny
žutica	žutica	Ncfsn
,	,	Z
tuberkuloza	tuberkuloza	Ncfsn
,	,	Z
spolne	spolan	Agpfpny
bolesti	bolest	Ncfpn
i	i	Cc
dr.	dr.	Y
)	)	Z

Ako	ako	Cs
da	da	Cs
,	,	Z
navesti	navesti	Vmn
koje	koji	Pi-fpn
:	:	Z
_______________________________	______________________________a	Ncfpn

2.	2.	Mdo
Šećerna	šećerni	Agpfsny
bolest	bolest	Ncfsn

3.	3.	Mdo
Slabokrvnost	slabokrvnost	Ncfsn
ili	ili	Cc
bilo	bilo	Qo
koja	koji	Pi-fsn
druga	drugi	Mlofsn
bolest	bolest	Ncfsn
krvi	krv	Ncfsg

4.	4.	Mdo
Jake	jak	Agpfsgy
glavobolje	glavobolja	Ncfsg
,	,	Z
povremene	povremen	Agpfsgy
ili	ili	Cc
trajne	trajan	Agpfsgy
(	(	Z
migrena	migrena	Ncfsn
ili	ili	Cc
slično	slično	Rgp
)	)	Z

5.	5.	Mdo
Padavica	padavica	Ncfsn
(	(	Z
epilepsija	epilepsija	Ncfsn
)	)	Z

6.	6.	Mdo
Poremećaj	poremećaj	Ncmsn
spavanja	spavanje	Ncnsg
ili	ili	Cc
smetnje	smetnja	Ncfsg
sna	san	Ncmsg
(	(	Z
noćne	noćni	Agpfsgy
more	mora	Ncfsg
,	,	Z
nesanica	nesanica	Ncfsn
,	,	Z
hodanje	hodanje	Ncnsn
u	u	Sl
snu	san	Ncmsl
i	i	Cc
sl.	sl.	Y
)	)	Z

7.	7.	Mdo
»	»	Z
Slom	slom	Ncmsn
živaca	živac	Ncmpg
«	«	Z
ili	ili	Cc
razdoblje	razdoblje	Ncnsn
izražene	izraziti	Agpfsgy
nervoze	nervoza	Ncfsg
i	i	Cc
/	/	Z
ili	ili	Cc
potištenosti	potištenost	Ncfsg

8.	8.	Mdo
Nesvjestice	nesvjestica	Ncfsg
ili	ili	Cc
omamljenosti	omamljenost	Ncfsg

9.	9.	Mdo
Ozljede	ozljeda	Ncfsg
glave	glava	Ncfsg
sa	sa	Si
ili	ili	Cc
bez	bez	Sg
gubitka	gubitak	Ncmsg
svijesti	svijest	Ncfsg

