kombiniranoj	kombiniran	Agpfsly
kvoti	kvota	Ncfsl
.	.	Z

Dodatni	dodatan	Agpmpny
izvještaji	izvještaj	Ncmpn

Članak	članak	Ncmsn
4.	4.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
odnosno	odnosni	Agpnsay
društvo	društvo	Ncnsa
za	za	Sa
reosiguranje	reosiguranje	Ncnsa
dužno	dužan	Agpnsny
je	biti	Var3s
osim	osim	Sg
financijskih	financijski	Agpmpgy
izvještaja	izvještaj	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
a	a	Cc
u	u	Sl
cilju	cilj	Ncmsl
osiguranja	osiguranje	Ncnsg
dodatnih	dodatan	Agpmpgy
podataka	podatak	Ncmpg
i	i	Cc
informacija	informacija	Ncfpg
o	o	Sl
financijskom	financijski	Agpmsly
položaju	položaj	Ncmsl
,	,	Z
uspješnosti	uspješnost	Ncfsg
poslovanja	poslovanje	Ncnsg
i	i	Cc
poslovnim	poslovan	Agpfply
aktivnostima	aktivnost	Ncfpl
društva	društvo	Ncnsg
sastavljati	sastavljati	Vmn
i	i	Cc
dodatne	dodatan	Agpmpay
izvještaje	izvještaj	Ncmpa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Dodatni	dodatan	Agpmpny
izvještaji	izvještaj	Ncmpn
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
odnosno	odnosno	Rgp
društva	društvo	Ncnsg
za	za	Sa
reosiguranje	reosiguranje	Ncnsa
su	biti	Var3p
:	:	Z

1.	1.	Mdo
Izvještaj	izvještaj	Ncmsn
o	o	Sl
pregledu	pregled	Ncmsl
ulaganja	ulaganje	Ncnsg
(	(	Z
Obrazac	obrazac	Ncmsn
:	:	Z
IPU	ip	Ncmsl
)	)	Z
,	,	Z

2.	2.	Mdo
Izvještaj	izvještaj	Ncmsn
o	o	Sl
registru	registar	Ncmsl
imovine	imovina	Ncfsg
za	za	Sa
pokriće	pokriće	Ncnsa
tehničkih	tehnički	Agpfpgy
pričuva	pričuva	Ncfpg
(	(	Z
Obrazac	obrazac	Ncmsn
:	:	Z
REG	reg	Ncmsn
)	)	Z
,	,	Z

3.	3.	Mdo
Izvještaj	izvještaj	Ncmsn
o	o	Sl
starosnoj	starosni	Agpfsly
strukturi	struktura	Ncfsl
potraživanja	potraživanje	Ncnsg
iz	iz	Sg
poslova	posao	Ncmpg
izravnog	izravan	Agpnsgy
osiguranja	osiguranje	Ncnsg
(	(	Z
Obrazac	obrazac	Ncmsn
:	:	Z
SSP	SSP	Npmsn
)	)	Z
,	,	Z

4.	4.	Mdo
Izvještaj	izvještaj	Ncmsn
o	o	Sl
prihodima	prihod	Ncmpl
i	i	Cc
troškovima	trošak	Ncmpl
ulaganja	ulaganje	Ncnsg
prema	prema	Sl
izvoru	izvor	Ncmsl
sredstava	sredstvo	Ncnpg
(	(	Z
Obrazac	obrazac	Ncmsn
:	:	Z
PiT	piti	Appmsnn
)	)	Z
,	,	Z

5.	5.	Mdo
Račun	račun	Ncmsan
dobiti	dobit	Ncfsg
i	i	Cc
gubitka	gubitak	Ncmsg
po	po	Sl
vrstama	vrsta	Ncfpl
i	i	Cc
rizicima	rizik	Ncmpl
osiguranja	osiguranje	Ncnsg
(	(	Z
Obrazac	obrazac	Ncmsn
:	:	Z
RDG-O	rdg-a	Ncfsv
)	)	Z
,	,	Z

6.	6.	Mdo
Račun	račun	Ncmsan
dobiti	dobit	Ncfsg
i	i	Cc
gubitka	gubitak	Ncmsg
za	za	Sa
poslove	posao	Ncmpa
reosiguranja	reosiguranje	Ncnsg
(	(	Z
Obrazac	obrazac	Ncmsn
:	:	Z
RDG-R	rdg-r	Ncmsn
)	)	Z
,	,	Z

7.	7.	Mdo
Izvještaj	izvještaj	Ncmsn
o	o	Sl
ročnoj	ročni	Agpfsly
usklađenosti	usklađenost	Ncfsl
imovine	imovina	Ncfsg
za	za	Sa
pokriće	pokriće	Ncnsa
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg
s	sa	Si
obvezama	obveza	Ncfpi
iz	iz	Sg
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg
(	(	Z
Obrazac	obrazac	Ncmsn
:	:	Z
RU-MP	ru-mp	Ncmsn
)	)	Z
,	,	Z

8.	8.	Mdo
Izvještaj	izvještaj	Ncmsn
o	o	Sl
ročnoj	ročni	Agpfsly
