godišnji	godišnji	Agpmsny
obračun	obračun	Ncmsn
(	(	Z
reobračun	reobračun	Ncmsn
godišnjeg	godišnji	Agpmsgy
obračuna	obračun	Ncmsg
)	)	Z
iskazuje	iskazivati	Vmr3s
se	sebe	Px--sa
u	u	Sl
novom	nov	Agpmsly
Obrascu	obrazac	Ncmsl
JOPPD	JOPP	Npmsl
s	sa	Si
oznakom	oznaka	Ncfsi
vrste	vrsta	Ncfsg
izvješća	izvješće	Ncnsg
1	1	Mdc
na	na	Sa
dan	dan	Ncmsan
nove	nov	Agpfsgy
isplate	isplata	Ncfsg
,	,	Z
a	a	Cc
u	u	Sl
kojemu	koji	Pi-msl
se	sebe	Px--sa
iskazuje	iskazivati	Vmr3s
razlika	razlika	Ncfsn
između	između	Sg
iznosa	iznos	Ncmsg
povrata	povrat	Ncmsg
/	/	Z
uplate	uplata	Ncfsg
po	po	Sl
godišnjem	godišnji	Agpmsly
obračunu	obračun	Ncmsl
iskazanog	iskazati	Appmsgy
u	u	Sl
prethodnom	prethodan	Agpmsly
Obrascu	obrazac	Ncmsl
JOPPD	JOPP	Npmsl
i	i	Cc
iznosa	iznos	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
izračunan	izračunati	Appmsnn
u	u	Sl
novom	nov	Agpmsly
godišnjem	godišnji	Agpmsly
obračunu	obračun	Ncmsl
u	u	Sl
kojemu	koji	Pi-msl
je	biti	Var3s
uzet	uzeti	Appmsnn
u	u	Sa
obzir	obzir	Ncmsan
i	i	Cc
naknadno	naknadno	Rgp
isplaćeni	isplatiti	Appmsayn
primitak	primitak	Ncmsan
.	.	Z
«	«	Z
.	.	Z

Dosadašnji	dosadašnji	Agpmpny
stavci	stavak	Ncmpn
16.	16.	Mdo
do	do	Sg
24.	24.	Mdo
postaju	postati	Vmr3p
stavci	stavak	Ncmpn
19.	19.	Mdo
do	do	Sg
27.	27.	Mdo

Članak	članak	Ncmsn
19.	19.	Mdo

U	u	Sl
članku	članak	Ncmsl
79.	79.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
iz	iz	Sg
članka	članak	Ncmsg
30.	30.	Mdo

Zakona	zakon	Ncmsg
«	«	Z
dodaju	dodati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
(	(	Z
osim	osim	Sg
isplatitelja	isplatitelj	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
dostavili	dostaviti	Vmp-pm
podatke	podatak	Ncmpa
sukladno	sukladno	Rgp
članku	članak	Ncmsd
73.	73.	Mdo
stavku	stavak	Ncmsl
22.	22.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
)	)	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
20.	20.	Mdo

U	u	Sl
članku	članak	Ncmsl
84.	84.	Mdo
iza	iza	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
stavak	stavak	Ncmsn
4.	4.	Mdo
koji	koji	Pi-msn
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
4	4	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
porezni	porezni	Agpmpny
obveznici	obveznik	Ncmpn
iz	iz	Sg
članka	članak	Ncmsg
39.	39.	Mdo
i	i	Cc
40.	40.	Mdo

Zakona	zakon	Ncmsg
i	i	Cc
članka	članak	Ncmsg
85.	85.	Mdo
i	i	Cc
86.	86.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
na	na	Sa
koje	koji	Pi-mpa
se	sebe	Px--sa
primjenjuje	primjenjivati	Vmr3s
poseban	poseban	Agpmsann
postupak	postupak	Ncmsan
iz	iz	Sg
članka	članak	Ncmsg
43.	43.	Mdo
a.	aa	Ncfsg
Zakona	Zakon	Npmsg
i	i	Cc
članka	članak	Ncmsg
89.	89.	Mdo
b	b	Cc
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
ne	ne	Qz
podnose	podnositi	Vmr3p
