neispravne	neispravan	Agpfpay
skretnice	skretnica	Ncfpa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
O	o	Sl
presjeku	presjek	Ncmsl
skretnice	skretnica	Ncfsg
u	u	Sl
nezaposjednutim	nezaposjednuti	Ncfsl
službenim	služben	Agpnply
mjestima	mjesto	Ncnpl
i	i	Cc
na	na	Sl
otvorenoj	otvoren	Agpfsly
pruzi	pruga	Ncfsl
strojovođa	strojovođa	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
obavijestiti	obavijestiti	Vmn
dispečera	dispečer	Ncmsay
za	za	Sa
telekomandu	telekomanda	Ncfsa
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
TK-dispečer	tk-dispečea	Ncfpn
)	)	Z
ili	ili	Cc
prometnika	prometnik	Ncmpg
vlakova	vlak	Ncmpg
prvog	prvi	Mlomsg
susjednog	susjedni	Agpnsgy
zaposjednutog	zaposjesti	Agpnsgy
službenog	služben	Agpnsgy
mjesta	mjesto	Ncnsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Ambulantna	ambulantan	Agpfsny
brava	brava	Ncfsn
postavljena	postaviti	Appfsny
na	na	Sa
skretnicu	skretnica	Ncfsa
koja	koji	Pi-fsn
se	sebe	Px--sa
nalazi	nalaziti	Vmr3s
u	u	Sl
kolodvorskom	kolodvorski	Agpnsly
području	područje	Ncnsl
skida	skidati	Vmr3s
se	sebe	Px--sa
za	za	Sa
vožnje	vožnja	Ncfpa
niz	niz	Ncmsan
jezičak	jezičak	Ncmsan
.	.	Z

Ambulantna	ambulantan	Agpfsny
brava	brava	Ncfsn
postavljena	postaviti	Appfsny
na	na	Sa
skretnicu	skretnica	Ncfsa
koja	koji	Pi-fsn
se	sebe	Px--sa
nalazi	nalaziti	Vmr3s
na	na	Sl
otvorenoj	otvoren	Agpfsly
pruzi	pruga	Ncfsl
ne	ne	Qz
skida	skidati	Vmr3s
se	sebe	Px--sa
za	za	Sa
vožnje	vožnja	Ncfpa
niz	niz	Ncmsan
jezičak	jezičak	Ncmsan
,	,	Z
ali	ali	Cc
osoblje	osoblje	Ncnsn
vlaka	vlak	Ncmsg
je	biti	Var3s
dužno	dužan	Agpnsny
prije	prije	Sg
prelaska	prelazak	Ncmsg
preko	preko	Sg
tako	tako	Rgp
osigurane	osigurati	Appfpny
skretnice	skretnica	Ncfpn
provjeriti	provjeriti	Vmn
položaj	položaj	Ncmsan
skretnice	skretnica	Ncfsg
na	na	Sl
temelju	temelj	Ncmsl
obavijesti	obavijest	Ncfsg
dobivene	dobiven	Agpfsgy
od	od	Sg
TK-dispečera	TK-dispečer	Npmsg
odnosno	odnosno	Rgp
prometnika	prometnik	Ncmpg
vlakova	vlak	Ncmpg
.	.	Z

SS	ss	Agpmpny
uređaji	uređaj	Ncmpn

Članak	članak	Ncmsn
16.	16.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
S	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
tehničko-tehnološka	tehničko-tehnološki	Agpnpay
rješenja	rješenje	Ncnpa
,	,	Z
u	u	Sl
uporabi	uporaba	Ncfsl
su	biti	Var3p
mehanički	mehanički	Agpmsayn
,	,	Z
