kaznenih	kazneni	Agpnpgy
djela	djelo	Ncnpg
i	i	Cc
zakonskih	zakonski	Agpfpgy
kazni	kazna	Ncfpg
u	u	Sl
području	područje	Ncnsl
nedopuštene	nedopušten	Agpfsgy
trgovine	trgovina	Ncfsg
drogama	droga	Ncfpd
,	,	Z
«	«	Z
.	.	Z

Iza	iza	Sg
točke	točka	Ncfsg
22.	22.	Mdo
dodaju	dodati	Vmr3p
se	sebe	Px--sa
točke	točka	Ncfpn
23.	23.	Mdo
,	,	Z
24.	24.	Mdo
i	i	Cc
25.	25.	Mdo
koje	koji	Pi-mpa
glase	glas	Ncmpa
:	:	Z

»	»	Z
23.	23.	Mdo

Direktivom	direktiva	Ncfsi
2013/40	2013/40	Mdc
/	/	Z
EU	E	Npmsg
Europskog	europski	Agpmsgy
parlamenta	parlament	Ncmsg
i	i	Cc
Vijeća	vijeće	Ncnsg
od	od	Sg
12.	12.	Mdo
kolovoza	kolovoz	Ncmsg
2013.	2013.	Mdo
o	o	Sl
napadima	napad	Ncmpl
na	na	Sa
informacijski	informacijski	Agpmsayn
sustav	sustav	Ncmsan
i	i	Cc
o	o	Sl
zamjeni	zamjena	Ncfsl
Okvirne	okviran	Agpfsgy
odluke	odluka	Ncfsg
Vijeća	vijeće	Ncnsg
2005/222	2005/222	Mdc
/	/	Z
PUP	pup	Ncmsan
,	,	Z

24.	24.	Mdo

Direktivom	direktiva	Ncfsi
2011/93	2011/93	Mdc
/	/	Z
EU	E	Npmsg
Europskog	europski	Agpmsgy
parlamenta	parlament	Ncmsg
i	i	Cc
Vijeća	vijeće	Ncnsg
od	od	Sg
13.	13.	Mdo
prosinca	prosinac	Ncmsg
2011	2011	Mdc
o	o	Sl
suzbijanju	suzbijanje	Ncnsl
seksualnog	seksualan	Agpnsgy
zlostavljanja	zlostavljanje	Ncnsg
i	i	Cc
seksualnog	seksualan	Agpnsgy
iskorištavanja	iskorištavanje	Ncnsg
djece	dijete	Ncnpg
i	i	Cc
dječje	dječji	Agpfpay
pornografije	pornografija	Ncfpa
,	,	Z
te	te	Cc
o	o	Sl
zamjeni	zamjena	Ncfsl
Okvirne	okviran	Agpfsgy
odluke	odluka	Ncfsg
Vijeća	vijeće	Ncnsg
2004/68	2004/68	Mdc
/	/	Z
PUP	pup	Ncmsan
,	,	Z

25.	25.	Mdo

Direktivom	direktiva	Ncfsi
2014/62	2014/62	Mdc
/	/	Z
EU	E	Npmsg
Europskog	europski	Agpmsgy
parlamenta	parlament	Ncmsg
i	i	Cc
Vijeća	vijeće	Ncnsg
od	od	Sg
15.	15.	Mdo
svibnja	svibanj	Ncmsg
2014.	2014.	Mdo
o	o	Sl
kaznenopravnoj	kaznenopravni	Agpfsly
zaštiti	zaštita	Ncfsl
eura	euro	Ncmpg
i	i	Cc
drugih	drugi	Mlofpg
valuta	valuta	Ncfpg
od	od	Sg
krivotvorenja	krivotvorenje	Ncnsg
,	,	Z
kojom	koji	Pi-fsi
se	sebe	Px--sa
zamjenjuje	zamjenjivati	Vmr3s
Okvirna	okviran	Agpfsny
odluka	odluka	Ncfsn
Vijeća	vijeće	Ncnsg
2000/383	2000/383	Mdc
/	/	Z
PUP	pup	Ncmsan
.	.	Z
«	«	Z
.	.	Z

PRIJELAZNE	prijelazan	Agpfpny
I	i	Cc
ZAVRŠNE	završan	Agpfpay
ODREDBE	odredba	Ncfpa

Članak	članak	Ncmsn
77.	77.	Mdo

Pravilnik	pravilnik	Ncmsn
iz	iz	Sg
članka	članak	Ncmsg
15.	15.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
ministar	ministar	Ncmsn
nadležan	nadležan	Agpmsnn
za	za	Sa
unutarnje	unutarnji	Agpmpay
poslove	posao	Ncmpa
donijet	donijeti	Vmn
će	htjeti	Var3p
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
tri	tri	Mlc
mjeseca	mjesec	Ncmsg
od	od	Sg
dana	dan	Ncmpg
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

Članak	članak	Ncmsn
78.	78.	Mdo

Ovaj	ovaj	Pd-msn
Zakon	zakon	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
osmoga	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
022	022	Mdc
-	-	Z
03/14	03/14	Mdc
-	-	Z
01/102	01/102	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
8.	8.	Mdo
svibnja	svibanj	Ncmsg
2015.	2015.	Mdo

HRVATSKI	hrvatski	Agpmsny
SABOR	sabor	Ncmsn

Predsjednik	predsjednik	Ncmsn
Hrvatskoga	hrvatski	Agpmsgy
sabora	sabor	Ncmsg
Josip	Josip	Npmsn
Leko	Leko	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

