staklu	staklo	Ncnsl
3,40	3,40	Mdc
748,00	748,00	Mdc
LM344	LM344	Mdc
Morbilli	Morbilla	Npfsl
–	–	Z
LIKVOR	likvor	Ncmsn
+	+	Z
serum	serum	Ncmsn
1	1	Mdc
X2	x2	Agpmsny
marker	marker	Ncmsn
4,15	4,15	Mdc
913,00	913,00	Mdc
LM345	LM345	Mdc
Morbilli	Morbilla	Npfsl
–	–	Z
LIKVOR	likvor	Ncmsn
+	+	Z
serum	serum	Ncmsn
2	2	Mdc
X2	i	Agpmsgy
markera	marker	Ncmsg
7,69	7,69	Mdc
1.691,80	1.691,80	Mdc
LM346	LM346	Mdc
Parainfluenza	Parainfluenz	Npmsg
–	–	Z
2	2	Mdc
markera	marker	Ncmsg
IgM	IgM	Npmsn
,	,	Z
IgG	IgG	Npmsn
2,81	2,81	Mdc
618,20	618,20	Mdc
LM347	LM347	Mdc
Parainfluenza	Parainfluenz	Npmsg
–	–	Z
3	3	Mdc
markera	marker	Ncmpg
4,23	4,23	Mdc
930,60	930,60	Mdc
LM348	lm348	Agpmsny
Serum	serum	Ncmsn
–	–	Z
Virus	virus	Ncmsn
parainfluence	parainfluence	Agpmsny
tip	tip	Ncmsn
1	1	Mdc
,	,	Z
2	2	Mdc
,	,	Z
3	3	Mdc
EIA	EIA	Npfsn
(	(	Z
1/101	1/101	Mdc
)	)	Z
2,36	2,36	Mdc
519,20	519,20	Mdc
LM349	LM349	Mdc
Mumps	Mum	Npmsi
–	–	Z
1	1	Mdc
marker	marker	Ncmsan
1,35	1,35	Mdc
297,00	297,00	Mdc
LM350	LM350	Mdc
Mumps	Mum	Npmsi
–	–	Z
2	2	Mdc
markera	marker	Ncmsg
IgM	IgM	Npmsn
,	,	Z
IgG	IgG	Npmsn
2,70	2,70	Mdc
594,00	594,00	Mdc
LM351	LM351	Mdc
Mumps	Mump	Npmpg
–	–	Z
LIKVOR	likvor	Ncmsn
+	+	Z
serum	serum	Ncmsn
1	1	Mdc
