gore	zlo	Rgp
navedenih	naveden	Agpmpgy
,	,	Z
druge	drugi	Mlompa
financijske	financijski	Agpmpay
gubitke	gubitak	Ncmpa
(	(	Z
neposlovne	neposlovan	Agpmpay
)	)	Z
,	,	Z
kao	kao	Cs
i	i	Cc
svaki	svaki	Pi-msn
drugi	drugi	Mlomsn
rizik	rizik	Ncmsn
neživotnog	neživotan	Agpnsgy
osiguranja	osiguranje	Ncnsg
koji	koji	Pi-msn
nije	biti	Var3s
obuhvaćen	obuhvatiti	Appmsnn
linijom	linija	Ncfsi
poslovanja	poslovanje	Ncnsg
od	od	Sg
1	1	Mdc
do	do	Sg
11.	11.	Mdo

Obuhvaćaju	obuhvaćati	Vmr3p
rizike	rizik	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
7.	7.	Mdo
navedene	naveden	Agpfsgy
pod	pod	Si
16.01	16.01	Mds
,	,	Z
16.02	16.02	Mds
,	,	Z
16.03	16.03	Mds
,	,	Z
16.04	16.04	Mds
,	,	Z
16.05	16.05	Mdc
,	,	Z
16.06	16.06	Mdc
i	i	Cc
16.99.	16.99.	Mds

B.	B.	Y
Proporcionalne	proporcionalan	Agpfpny
obveze	obveza	Ncfpn
neživotnog	neživotan	Agpnsgy
reosiguranja	reosiguranje	Ncnsg
Linije	linija	Ncfsg
poslovanja	poslovanje	Ncnsg
od	od	Sg
13	13	Mdc
do	do	Sg
24	24	Mdc
obuhvaćaju	obuhvaćati	Vmr3p
proporcionalne	proporcionalan	Agpfpay
obveze	obveza	Ncfpa
reosiguranja	reosiguranje	Ncnsg
koje	koji	Pi-fpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
obveze	obveza	Ncfpa
navedene	navesti	Appfpny
u	u	Sl
svakoj	svaki	Pi-fsl
od	od	Sg
linijom	linija	Ncfsi
poslovanja	poslovanje	Ncnsg
od	od	Sg
1	1	Mdc
do	do	Sg
12.	12.	Mdo

C.	C.	Y
Neproporcionalne	neproporcionalan	Agpfpny
obveze	obveza	Ncfpn
neživotnog	neživotan	Agpnsgy
reosiguranja	reosiguranje	Ncnsg
25.	25.	Mdo

Neproporcionalno	neproporcionalan	Agpnsny
zdravstveno	zdravstven	Agpnsny
reosiguranje	reosiguranje	Ncnsn
Neproporcionalne	neproporcionalan	Agpfsgy
obveze	obveza	Ncfsg
reosiguranja	reosiguranje	Ncnsg
koje	koji	Pi-fpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
obveze	obveza	Ncfpa
osiguranja	osiguranje	Ncnsg
navedene	naveden	Agpfsgy
u	u	Sa
linijom	linija	Ncmsan
poslovanja	poslovanje	Ncnsg
od	od	Sg
1	1	Mdc
do	do	Sg
3.	3.	Mdo
26.	26.	Mdo

Neproporcionalno	neproporcionalan	Agpnsny
reosiguranje	reosiguranje	Ncnsn
od	od	Sg
odgovornosti	odgovornost	Ncfsg
Neproporcionalne	neproporcionalan	Agpfsgy
obveze	obveza	Ncfsg
reosiguranja	reosiguranje	Ncnsg
koje	koji	Pi-fpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
obveze	obveza	Ncfpa
osiguranja	osiguranje	Ncnsg
navedene	naveden	Agpfsgy
u	u	Sa
linijom	linija	Ncfsi
poslovanja	poslovanje	Ncnsg
4	4	Mdc
i	i	Cc
8.	8.	Mdo
27.	27.	Mdo

Neproporcionalno	neproporcionalan	Agpnsny
pomorsko	pomorski	Agpnsny
reosiguranje	reosiguranje	Ncnsn
,	,	Z
reosiguranje	reosiguranje	Ncnsa
zračnih	zračan	Agpfpgy
letjelica	letjelica	Ncfpg
i	i	Cc
transportno	transportni	Agpnsny
reosiguranje	reosiguranje	Ncnsn
Neproporcionalne	neproporcionalan	Agpfsgy
obveze	obveza	Ncfsg
reosiguranja	reosiguranje	Ncnsg
koje	koji	Pi-fpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
obveze	obveza	Ncfpa
osiguranja	osiguranje	Ncnsg
navedene	naveden	Agpfsgy
u	u	Sl
linijom	linija	Ncfsi
poslovanja	poslovanje	Ncnsg
6.	6.	Mdo
28.	28.	Mdo

Neproporcionalno	neproporcionalan	Agpnsny
reosiguranje	reosiguranje	Ncnsn
imovine	imovina	Ncfsg
Neproporcionalne	neproporcionalan	Agpfsgy
obveze	obveza	Ncfsg
reosiguranja	reosiguranje	Ncnsg
koje	koji	Pi-fpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
obveze	obveza	Ncfpa
osiguranja	osiguranje	Ncnsg
navedene	naveden	Agpfsgy
u	u	Sa
linijom	linija	Ncnsa
poslovanja	poslovanje	Ncnsg
5	5	Mdc
,	,	Z
7	7	Mdc
te	te	Cc
od	od	Sg
9	9	Mdc
do	do	Sg
12.	12.	Mdo

D.	di	Agpfpny
Obveze	obveza	Ncfpn
životnog	životan	Agpnsgy
osiguranja	osiguranje	Ncnsg
29.	29.	Mdo

Zdravstveno	zdravstven	Agpnsny
osiguranje	osiguranje	Ncnsn
Obveze	obveza	Ncfsg
zdravstvenog	zdravstven	Agpnsgy
osiguranja	osiguranje	Ncnsg
pri	pri	Sl
kojima	koji	Pi-npl
se	sebe	Px--sa
temeljna	temeljan	Agpfsny
djelatnost	djelatnost	Ncfsn
obavlja	obavljati	Vmr3s
po	po	Sl
tehničkoj	tehnički	Agpfsly
osnovi	osnova	Ncfsl
sličnoj	sličan	Agpfsly
onoj	onaj	Ncfsl
kod	kod	Sg
životnog	životan	Agpnsgy
osiguranja	osiguranje	Ncnsg
,	,	Z
osim	osim	Sg
obveza	obveza	Ncfpg
navedenih	naveden	Agpfpgy
pod	pod	Si
linijom	linija	Ncfsi
poslovanja	poslovanje	Ncnsg
33.	33.	Mdo

Obuhvaća	obuhvaćati	Vmr3s
rizik	rizik	Ncmsan
iz	iz	Sg
članka	članak	Ncmsg
7.	7.	Mdo
navedene	naveden	Agpfsgy
pod	pod	Si
19.05.	19.05.	Mds
30.	30.	Mdo

Osiguranje	osiguranje	Ncnsn
sa	sa	Si
sudjelovanjem	sudjelovanje	Ncnsi
u	u	Sl
dobiti	dobit	Ncfsl
Obveze	obveza	Ncfsg
osiguranja	osiguranje	Ncnsg
sa	sa	Si
sudjelovanjem	sudjelovanje	Ncnsi
u	u	Sl
dobiti	dobit	Ncfsl
osim	osim	Sg
onih	onaj	Pd-mpg
u	u	Sl
linijom	linija	Ncfsi
poslovanja	poslovanje	Ncnsg
33	33	Mdc
i	i	Cc
34.	34.	Mdo

Obuhvaćaju	obuhvaćati	Vmr3p
rizike	rizik	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
7.	7.	Mdo
navedene	naveden	Agpfsgy
pod	pod	Si
19.01	19.01	Mds
,	,	Z
19.03	19.03	Mds
,	,	Z
19.04	19.04	Mds
,	,	Z
20.01	20.01	Mds
,	,	Z
20.02	20.02	Mds
,	,	Z
20.99	20.99	Mds
,	,	Z
22.01	22.01	Mdc
,	,	Z
22.02	22.02	Mdc
i	i	Cc
25.01.	25.01.	Mds
31.	31.	Mdo

Osiguranje	osiguranje	Ncnsn
vezano	vezano	Rgp
uz	uz	Sa
indekse	indeks	Ncmpa
i	i	Cc
udjele	udjel	Ncmpa
u	u	Sl
investicijskim	investicijski	Agpmply
fondovima	fond	Ncmpl
Obveze	obveza	Ncfpn
osiguranja	osiguranje	Ncnsg
s	sa	Si
naknadama	naknada	Ncfpi
vezanim	vezan	Agpfpiy
uz	uz	Sa
indekse	indeks	Ncmpa
i	i	Cc
udjele	udjel	Ncmpa
u	u	Sl
investicijskim	investicijski	Agpmply
fondovima	fond	Ncmpl
osim	osim	Sg
onih	onaj	Pd-mpg
navedenih	navesti	Appmpgy
u	u	Sl
linijom	linija	Ncfsi
poslovanja	poslovanje	Ncnsg
33	33	Mdc
i	i	Cc
34.	34.	Mdo

Obuhvaćaju	obuhvaćati	Vmr3p
rizike	rizik	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
7.	7.	Mdo
navedene	naveden	Agpfsgy
pod	pod	Si
23.01	23.01	Mds
,	,	Z
23.02	23.02	Mds
,	,	Z
23.03	23.03	Mdc
,	,	Z
23.04	23.04	Mdc
i	i	Cc
23.99.	23.99.	Mds
32.	32.	Mdo

Ostala	ostali	Agpnsgy
životna	životan	Agpnsgy
osiguranja	osiguranje	Ncnsg
Ostale	ostali	Agpfsgy
obveze	obveza	Ncfsg
životnog	životan	Agpnsgy
osiguranja	osiguranje	Ncnsg
osim	osim	Sg
obveza	obveza	Ncfpg
navedenih	naveden	Agpfpgy
u	u	Sl
linijom	linija	Ncfsi
poslovanja	poslovanje	Ncnsg
od	od	Sg
29	29	Mdc
do	do	Sg
31	31	Mdc
te	te	Cc
u	u	Sa
33	33	Mdc
i	i	Cc
34.	34.	Mdo

Obuhvaća	obuhvaćati	Vmr3s
rizik	rizik	Ncmsan
iz	iz	Sg
članka	članak	Ncmsg
7.	7.	Mdo
naveden	navesti	Appmsnn
pod	pod	Si
19.02,19.99	19.02,19.99	Mdc
,	,	Z
21.01	21.01	Mds
,	,	Z
21.02	21.02	Mdc
,	,	Z
21.99	21.99	Mdc
i	i	Cc
24.01.	24.01.	Mds
33.	33.	Mdo

Rente	renta	Ncfpn
koje	koji	Pi-fpn
proizlaze	proizlaziti	Vmr3p
iz	iz	Sg
ugovora	ugovor	Ncmsg
o	o	Sl
neživotnom	neživotan	Agpnsly
osiguranju	osiguranje	Ncnsl
i	i	Cc
odnose	odnositi	Vmr3p
