ispunjeni	ispuniti	Appmpny
uvjeti	uvjet	Ncmpn
za	za	Sa
primjenu	primjena	Ncfsa
članka	članak	Ncmsg
64.	64.	Mdo
stavka	stavak	Ncmsg
8.	8.	Mdo
ZZTN-a	ZZTN	Npmsg
i	i	Cc
izricanje	izricanje	Ncnsa
simbolične	simboličan	Agpfsgy
upravno-kaznene	upravno-kaznen	Agpfsgy
mjere	mjera	Ncfsg
,	,	Z
iz	iz	Sg
razloga	razlog	Ncmsg
što	što	Cs
je	biti	Var3s
riječ	riječ	Ncfsn
o	o	Sl
teškom	težak	Agpnsly
narušavanju	narušavanje	Ncnsl
tržišnog	tržišni	Agpnsgy
natjecanja	natjecanje	Ncnsg
koje	koji	Pi-nsn
je	biti	Var3s
trajalo	trajati	Vmp-sn
u	u	Sl
kontinuitetu	kontinuitet	Ncmsl
gotovo	gotovo	Rgp
pune	pun	Agpfsgy
četiri	četiri	Mlc
godine	godina	Ncfsg
.	.	Z

Vijeće	vijeće	Ncnsn
nije	biti	Var3s
utvrdilo	utvrditi	Vmp-sn
postojanje	postojanje	Ncnsn
otegotnih	otegotan	Agpfpgy
okolnosti	okolnost	Ncfpg
na	na	Sl
strani	strana	Ncfsl
Kraša	kraše	Ncnsg
ili	ili	Cc
NTL-a	NTL	Npmsg
.	.	Z

Slijedom	slijed	Ncmsi
navedenog	naveden	Agpmsgy
,	,	Z
razmatrajući	razmatrati	Rr
sve	sav	Agpfpay
okolnosti	okolnost	Ncfpa
relevantne	relevantan	Agpfpny
za	za	Sa
utvrđivanje	utvrđivanje	Ncnsa
visine	visina	Ncfsg
upravno-kaznene	upravno-kaznen	Agpfsgy
mjere	mjera	Ncfsg
,	,	Z
Vijeće	vijeće	Ncnsn
je	biti	Var3s
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sl
Kraš	Kra	Npmsl
donijelo	donijeti	Vmp-sn
odluku	odluka	Ncfsa
o	o	Sl
izricanju	izricanje	Ncnsl
upravno-kaznene	upravno-kaznen	Agpfsgy
mjere	mjera	Ncfsg
u	u	Sl
iznosu	iznos	Ncmsl
od	od	Sg
1.560.600,00	1.560.600,00	Mdc
kuna	kuna	Ncfpg
,	,	Z
dok	dok	Cs
je	biti	Var3s
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
NTL	nt	Ncmsl
donijelo	donijeti	Vmp-sn
odluku	odluka	Ncfsa
o	o	Sl
izricanju	izricanje	Ncnsl
upravno-kaznene	upravno-kaznen	Agpfsgy
mjere	mjera	Ncfsg
u	u	Sl
iznosu	iznos	Ncmsl
od	od	Sg
1.022.000,00	1.022.000,00	Mdc
kuna	kuna	Ncfpg
.	.	Z

Vijeće	vijeće	Ncnsn
smatra	smatrati	Vmr3s
kako	kako	Cs
će	htjeti	Var3s
se	sebe	Px--sa
izricanjem	izricanje	Ncnsi
