sredstvima	sredstvo	Ncnpl
rada	rad	Ncmsg
,	,	Z
poslovnoj	poslovan	Agpfsly
dokumentaciji	dokumentacija	Ncfsl
i	i	Cc
slično	sličan	Agpnsay
,	,	Z

–	i	Agpfpay
uštede	ušteda	Ncfpa
u	u	Sl
troškovima	trošak	Ncmpl
ili	ili	Cc
drugim	drugi	Mlomsi
financijskim	financijski	Agpmpiy
doprinosima	doprinos	Ncmpi
,	,	Z

–	i	Agpfpny
inicijative	inicijativa	Ncfpn
i	i	Cc
kreativnosti	kreativnost	Ncfsg
u	u	Sl
obavljanju	obavljanje	Ncnsl
poslova	posao	Ncmpg

–	–	Sg
odnosa	odnos	Ncmsg
prema	prema	Sl
suradnicima	suradnik	Ncmpl
,	,	Z
strankama	stranka	Ncfpl
i	i	Cc
poslovnim	poslovan	Agpmpiy
partnerima	partner	Ncmpi
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Stimulativno	stimulativan	Agpnsny
nagrađivanje	nagrađivanje	Ncnsn
zaposlenika	zaposlenik	Ncmpg
određuje	određivati	Vmr3s
se	sebe	Px--sa
ukoliko	ukoliko	Cs
su	biti	Var3p
rad	rad	Ncmsn
i	i	Cc
učinkovitost	učinkovitost	Ncfsn
zaposlenika	zaposlenik	Ncmpg
najviše	mnogo	Rgs
kvalitete	kvaliteta	Ncfsg
,	,	Z
te	te	Cc
ukoliko	ukoliko	Cs
zaposlenik	zaposlenik	Ncmsn
ostvari	ostvariti	Vmr3s
iznimne	izniman	Agpmpay
rezultate	rezultat	Ncmpa
u	u	Sl
obavljanju	obavljanje	Ncnsl
radnih	radni	Agpmpgy
zadataka	zadatak	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Stimulacija	stimulacija	Ncfsn
je	biti	Var3s
novčana	novčan	Agpfsny
nagrada	nagrada	Ncfsn
koja	koji	Pi-fsn
se	sebe	Px--sa
isplaćuje	isplaćivati	Vmr3s
zaposlenima	zaposlen	Agpmpiy
za	za	Sa
kvalitetno	kvalitetan	Agpnsay
i	i	Cc
efikasno	efikasan	Agpnsay
obavljanje	obavljanje	Ncnsa
poslova	posao	Ncmpg
i	i	Cc
zadataka	zadatak	Ncmpg
prije	prije	Sg
planiranih	planiran	Agpmpgy
rokova	rok	Ncmpg
i	i	Cc
/	/	Z
ili	ili	Cc
kada	kada	Rgp
obavljaju	obavljati	Vmr3p
poslove	posao	Ncmpa
čiji	čiji	Pi-msn
je	biti	Var3s
obim	obim	Ncmsn
izvanredno	izvanredno	Rgp
povećan	povećati	Appmsnn
,	,	Z
i	i	Cc
/	/	Z
ili	ili	Cc
na	na	Sl
svom	svoj	Px-msl
radnom	radni	Agpnsly
mjestu	mjesto	Ncnsl
trpe	trpjeti	Vmr3p
povećani	povećan	Agpmsayn
napor	napor	Ncmsan
i	i	Cc
/	/	Z
ili	ili	Cc
koji	koji	Pi-mpn
obavljaju	obavljati	Vmr3p
poslove	posao	Ncmpa
nepopunjenog	nepopunjen	Agpnsgy
radnog	radni	Agpnsgy
mjesta	mjesto	Ncnsg
,	,	Z
a	a	Cc
isplata	isplata	Ncfsn
naknade	naknada	Ncfsg
po	po	Sl
drugim	drugi	Mlofpl
osnovama	osnova	Ncfpl
nije	biti	Var3s
moguća	moguć	Agpfsny
i	i	Cc
/	/	Z
ili	ili	Cc
doprinose	doprinositi	Vmr3p
rezultatima	rezultat	Ncmpi
poslovanja	poslovanje	Ncnsg
kroz	kroz	Sa
znatnu	znatan	Agpfsay
uštedu	ušteda	Ncfsa
troškova	trošak	Ncmpg
ili	ili	Cc
drugim	drugi	Mlomsi
financijskim	financijski	Agpmpiy
doprinosima	doprinos	Ncmpi
te	te	Cc
u	u	Sl
drugim	drugi	Agpmply
slučajevima	slučaj	Ncmpl
kada	kada	Cs
nadređeni	nadrediti	Appmpny
ocijeni	ocijeniti	Vmr3s
da	da	Cs
rad	rad	Ncmsn
zaposlenog	zaposlen	Agpmsgy
doprinosi	doprinositi	Vmr3s
unapređenju	unapređean	Agpnsgy
poslovanja	poslovanje	Ncnsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Pod	pod	Si
povećanim	povećan	Agpmsiy
naporom	napor	Ncmsi
podrazumijeva	podrazumijevati	Vmr3s
se	sebe	Px--sa
povećani	povećan	Agpmsny
fizički	fizički	Agpmsny
ili	ili	Cc
psihički	psihički	Agpmsayn
napor	napor	Ncmsan
koji	koji	Pi-msn
nastaje	nastajati	Vmr3s
zbog	zbog	Sg
težine	težina	Ncfsg
redovnog	redovan	Agpmsgy
posla	posao	Ncmsg
koji	koji	Pi-msn
zaposleni	zaposlen	Agpmpny
mora	morati	Vmr3s
obaviti	obaviti	Vmn
na	na	Sl
svom	svoj	Px-msl
radnom	radni	Agpnsly
mjestu	mjesto	Ncnsl
ili	ili	Cc
zbog	zbog	Sg
znatno	znatno	Rgp
povećanog	povećan	Agpmsgy
obima	obim	Ncmsg
redovnog	redovan	Agpmsgy
posla	posao	Ncmsg
koji	koji	Pi-msn
zaposleni	zaposlen	Agpmpny
mora	morati	Vmr3s
obaviti	obaviti	Vmn
na	na	Sl
svom	svoj	Px-msl
radnom	radni	Agpnsly
mjestu	mjesto	Ncnsl
po	po	Sl
nalogu	nalog	Ncmsl
pretpostavljenoga	pretpostaviti	Ncmpg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Stimulacija	stimulacija	Ncfsn
plaće	plaća	Ncfsg
pojedinog	pojedini	Agpmsgy
radnika	radnik	Ncmsg
može	moći	Vmr3s
iznositi	iznositi	Vmn
mjesečno	mjesečno	Rgp
do	do	Sg
+20	+20	Mdc
%	%	Z
radnikove	radnikov	Aspfpny
osnovne	osnovan	Agpfsgy
mjesečne	mjesečan	Agpfsgy
plaće	plaća	Ncfsg
,	,	Z
a	a	Cc
sukladno	sukladno	Rgp
odredbi	odredba	Ncfsl
članka	članak	Ncmsg
59.	59.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
