dopune	dopuniti	Vmr3p
dostaviti	dostaviti	Vmn
na	na	Sa
mišljenje	mišljenje	Ncnsa
Ministarstvu	ministarstvo	Ncnsl
financija	financije	Ncfpg
.	.	Z

XI	xi	Mrc
.	.	Z

Ova	ovaj	Pd-fsn
Odluka	odluka	Ncfsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
osmoga	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
022	022	Mdc
-	-	Z
03/16	03/16	Mdc
-	-	Z
04/56	04/56	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
50301	50301	Mdc
-	-	Z
04/04	04/04	Mdc
-	-	Z
16	16	Mdc
-	-	Z
2	2	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
6.	6.	Mdo
travnja	travanj	Ncmsg
2016.	2016.	Mdo

Predsjednik	predsjednik	Ncmsn
Tihomir	Tihomir	Npmsn
Orešković	Orešković	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

ŽUPANIJA	županija	Ncfsn
:	:	Z
IZVJEŠTAJ	izvještaj	Ncmsn
O	o	Sl
OSTVARENIM	ostvariti	Agpmply
PRIHODIMA	prihod	Ncmpl
I	i	Cc
RASHODIMA	rashod	Ncmpl
ZDRAVSTVENIH	zdravstven	Agpfpgy
USTANOVA	ustanova	Ncfpg
(	(	Z
Odluka	odluka	Ncfsn
o	o	Sl
minimalnim	minimalan	Agpmply
financijskim	financijski	Agpmply
standardima	standard	Ncmpl
za	za	Sa
decentralizirane	decentraliziran	Agpfpay
funkcije	funkcija	Ncfpa
za	za	Sa
zdravstvene	zdravstven	Agpfpay
ustanove	ustanova	Ncfpa
u	u	Sl
2016.	2016.	Mdo
godini	godina	Ncfsl
)	)	Z
Zbirna	zbirni	Agpfsny
tablica	tablica	Ncfsn
za	za	Sa
zdravstvene	zdravstven	Agpfpay
ustanove	ustanova	Ncfpa
TABLICA	tablica	Ncfpg
:	:	Z
Z-1	Z-1	Mdc
R.	R.	Y
br.	br.	Y

Naziv	naziv	Ncmsn
Plan	plan	Ncmsn
Ostvarenje	ostvarenje	Ncnsn
Indeks	indeks	Ncmsn
(	(	Z
Ostvarenje	ostvarenje	Ncnsn
/	/	Z
Plan	plan	Ncmsn
*	*	Z
100	100	Mdc
)	)	Z
